#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.45486e-08 1.55147e-10 1.93934e-10 8.625 8.875 33808
9.00 2.54977e-08 6.24822e-09 3.39696e-09 8.875 9.125 61167
9.25 8.13661e-05 1.69418e-05 2.357e-05 9.125 9.375 294978
9.50 8.31711e-05 1.72494e-05 1.27367e-05 9.375 9.625 1.2203e+06
9.75 5.5587e-05 1.45795e-05 1.37513e-05 9.625 9.875 3.23249e+06
10.00 8.0819e-05 4.04106e-05 3.57305e-05 9.875 10.125 3.99062e+06
10.25 0.000638442 0.000479287 0.000388174 10.125 10.375 2.77897e+06
10.50 0.0035544 0.00204591 0.00192636 10.375 10.625 1.73497e+06
10.75 0.00723892 0.0040977 0.00379783 10.625 10.875 1.07626e+06
11.00 0.0112355 0.00596672 0.00597648 10.875 11.125 639290
11.25 0.0137513 0.00556532 0.00671941 11.125 11.375 366076
11.50 0.012945 0.00375049 0.00594954 11.375 11.625 209090
11.75 0.0117552 0.00250101 0.00441316 11.625 11.875 119155
12.00 0.0146862 0.00161729 0.00481547 11.875 12.125 67076
12.25 0.030037 0.00302625 0.00918157 12.125 12.375 37293
12.50 0.0703179 0.00739845 0.0205832 12.375 12.625 20554
12.75 0.1314 0.018209 0.0390123 12.625 12.875 10822
13.00 0.209261 0.0306315 0.0591626 12.875 13.125 5601
13.25 0.287551 0.0422938 0.0797396 13.125 13.375 2755
13.50 0.356719 0.0588865 0.0912125 13.375 13.625 1259
13.75 0.421668 0.0712083 0.112397 13.625 13.875 549
14.00 0.548639 0.0743518 0.159313 13.875 14.125 194
14.25 0.620676 0.0768846 0.145089 14.125 14.375 50
14.50 0.672577 0.108282 0.167616 14.375 14.625 9
14.75 0.800399 0.0750956 0.212662 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
