#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.45873e-08 4.63842e-11 2.50258e-10 8.625 8.875 55256
9.00 1.45203e-08 1.66493e-10 6.28155e-11 8.875 9.125 97734
9.25 9.81702e-05 2.0817e-05 2.32174e-05 9.125 9.375 443079
9.50 8.76876e-05 1.69221e-05 1.6676e-05 9.375 9.625 1.68428e+06
9.75 6.64938e-05 1.43073e-05 1.3015e-05 9.625 9.875 3.8473e+06
10.00 9.7631e-05 4.73566e-05 3.74068e-05 9.875 10.125 4.16282e+06
10.25 0.000627115 0.000444907 0.000377875 10.125 10.375 2.82702e+06
10.50 0.00319697 0.00184599 0.00186959 10.375 10.625 1.76112e+06
10.75 0.00646544 0.00376928 0.0035587 10.625 10.875 1.08561e+06
11.00 0.0096084 0.00593983 0.0049419 10.875 11.125 622915
11.25 0.0119206 0.00545034 0.0056899 11.125 11.375 349507
11.50 0.012565 0.004478 0.00567395 11.375 11.625 195414
11.75 0.0124307 0.00278151 0.00512718 11.625 11.875 108408
12.00 0.0135589 0.00169928 0.00492302 11.875 12.125 59297
12.25 0.0234023 0.00288172 0.00785151 12.125 12.375 31839
12.50 0.0475653 0.00667699 0.01546 12.375 12.625 16467
12.75 0.0917131 0.016349 0.0307892 12.625 12.875 8345
13.00 0.148235 0.0286217 0.0493113 12.875 13.125 3959
13.25 0.209777 0.0401298 0.0635119 13.125 13.375 1762
13.50 0.271927 0.0588436 0.08892 13.375 13.625 722
13.75 0.386265 0.0769279 0.127948 13.625 13.875 264
14.00 0.465387 0.0762827 0.159591 13.875 14.125 65
14.25 0.548814 0.141943 0.125547 14.125 14.375 12
14.50 0 0 0 14.375 14.625 0
14.75 0.349609 0.325695 0.235 14.625 14.875 1
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
