#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.47486e-08 -2.606e-11 3.59353e-10 8.625 8.875 43457
9.00 1.44051e-08 4.31109e-10 -1.23567e-10 8.875 9.125 65120
9.25 0.00016838 1.8335e-05 5.58155e-05 9.125 9.375 260726
9.50 0.00011804 1.87672e-05 2.66893e-05 9.375 9.625 773440
9.75 4.01347e-05 1.36923e-05 9.90362e-06 9.625 9.875 1.97132e+06
10.00 4.71191e-05 3.27456e-05 2.28494e-05 9.875 10.125 3.08137e+06
10.25 0.000834854 0.000410322 0.000506642 10.125 10.375 2.37334e+06
10.50 0.00437268 0.0018987 0.00241777 10.375 10.625 1.51831e+06
10.75 0.00955121 0.00432297 0.00546715 10.625 10.875 945115
11.00 0.0153249 0.00528084 0.0083325 10.875 11.125 585099
11.25 0.0192062 0.00394179 0.00909799 11.125 11.375 352230
11.50 0.0193845 0.00268159 0.00706384 11.375 11.625 209127
11.75 0.0223749 0.00192539 0.00649145 11.625 11.875 123816
12.00 0.0351938 0.00274475 0.00747146 11.875 12.125 72586
12.25 0.0695219 0.0034666 0.0143318 12.125 12.375 42315
12.50 0.137291 0.00796136 0.0291341 12.375 12.625 24758
12.75 0.244381 0.0145755 0.0523356 12.625 12.875 14427
13.00 0.362996 0.0251459 0.0749871 12.875 13.125 8084
13.25 0.46542 0.0343648 0.0892538 13.125 13.375 4566
13.50 0.558354 0.0404202 0.111891 13.375 13.625 2464
13.75 0.633897 0.047763 0.112888 13.625 13.875 1321
14.00 0.70235 0.0483168 0.115877 13.875 14.125 642
14.25 0.75299 0.0491605 0.119024 14.125 14.375 318
14.50 0.788008 0.0445793 0.103276 14.375 14.625 130
14.75 0.850728 0.0412923 0.0895717 14.625 14.875 43
15.00 0.789117 0.0555594 0.155827 14.875 15.125 6
15.25 0.943743 0.0195124 0.0631932 15.125 15.375 2
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
