#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.76132e-06 5.31835e-07 4.73194e-07 8.625 8.875 29335
9.00 2.37063e-06 7.29917e-08 3.38445e-07 8.875 9.125 52658
9.25 0.0001078 1.84731e-05 2.94965e-05 9.125 9.375 250858
9.50 8.48265e-05 1.56518e-05 1.48311e-05 9.375 9.625 1.00633e+06
9.75 4.94997e-05 1.54007e-05 1.04772e-05 9.625 9.875 2.84502e+06
10.00 7.0696e-05 4.04811e-05 2.92158e-05 9.875 10.125 3.81988e+06
10.25 0.000655657 0.000496275 0.000390769 10.125 10.375 2.71077e+06
10.50 0.00373314 0.00216067 0.00193844 10.375 10.625 1.69747e+06
10.75 0.0076879 0.00455152 0.00405981 10.625 10.875 1.05402e+06
11.00 0.011972 0.00635228 0.00652542 10.875 11.125 637934
11.25 0.0145633 0.0056071 0.00732708 11.125 11.375 368289
11.50 0.0130485 0.0032244 0.00559444 11.375 11.625 212947
11.75 0.0120635 0.00242537 0.00425161 11.625 11.875 122775
12.00 0.0167132 0.00171208 0.00518494 11.875 12.125 70082
12.25 0.0372574 0.00289617 0.0105296 12.125 12.375 39684
12.50 0.0848977 0.00760668 0.0229355 12.375 12.625 22089
12.75 0.159888 0.0181937 0.0442843 12.625 12.875 12098
13.00 0.248466 0.0316295 0.0613074 12.875 13.125 6427
13.25 0.335885 0.0387997 0.083651 13.125 13.375 3296
13.50 0.412049 0.0565118 0.0980921 13.375 13.625 1599
13.75 0.474055 0.0706813 0.116684 13.625 13.875 734
14.00 0.586913 0.0705433 0.141005 13.875 14.125 300
14.25 0.654584 0.0778909 0.146747 14.125 14.375 102
14.50 0.712928 0.0812304 0.15751 14.375 14.625 20
14.75 0.818982 0.0524286 0.156805 14.625 14.875 4
15.00 0.852826 0.0622618 0.0486028 14.875 15.125 1
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
