#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.42098e-08 6.66951e-11 6.04183e-11 8.625 8.875 303854
9.00 5.36917e-07 7.40271e-08 1.56732e-07 8.875 9.125 482128
9.25 5.82583e-05 1.72976e-05 2.05181e-05 9.125 9.375 1.38594e+06
9.50 9.84153e-05 2.02756e-05 2.3081e-05 9.375 9.625 2.82533e+06
9.75 9.05511e-05 1.59062e-05 1.55093e-05 9.625 9.875 3.03566e+06
10.00 0.000145489 5.10484e-05 4.66844e-05 9.875 10.125 2.04412e+06
10.25 0.000513271 0.000372865 0.000274511 10.125 10.375 1.10244e+06
10.50 0.00138466 0.00107455 0.000790246 10.375 10.625 537575
10.75 0.00257452 0.00173029 0.00136492 10.625 10.875 250387
11.00 0.0029532 0.00186069 0.00153162 10.875 11.125 110839
11.25 0.00317885 0.00190898 0.00162335 11.125 11.375 45652
11.50 0.00408749 0.00206819 0.00209994 11.375 11.625 17481
11.75 0.00542091 0.00266865 0.00267906 11.625 11.875 5991
12.00 0.00835309 0.00300176 0.00446523 11.875 12.125 1773
12.25 0.0118591 0.0046448 0.00611743 12.125 12.375 457
12.50 0.0168653 0.00660119 0.00830698 12.375 12.625 107
12.75 0.0387327 0.0111067 0.0311555 12.625 12.875 16
13.00 0.0538581 0.0890393 0.039068 12.875 13.125 3
13.25 0 0 0 13.125 13.375 0
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
