#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.45891e-08 1.25827e-10 2.73759e-10 8.625 8.875 35054
9.00 1.45882e-08 2.09335e-10 1.00985e-10 8.875 9.125 56662
9.25 0.000162747 2.05995e-05 3.93163e-05 9.125 9.375 239540
9.50 0.000114786 1.91253e-05 2.91005e-05 9.375 9.625 759711
9.75 4.31871e-05 1.34245e-05 1.03309e-05 9.625 9.875 1.99812e+06
10.00 4.87325e-05 3.15967e-05 2.27139e-05 9.875 10.125 3.13052e+06
10.25 0.000817609 0.000403543 0.000500965 10.125 10.375 2.39942e+06
10.50 0.00435888 0.00199972 0.00239387 10.375 10.625 1.53325e+06
10.75 0.00940212 0.0043661 0.00532158 10.625 10.875 954013
11.00 0.0149092 0.00554941 0.00811124 10.875 11.125 590752
11.25 0.0184595 0.00401261 0.00888775 11.125 11.375 354268
11.50 0.0183847 0.00276285 0.00666743 11.375 11.625 210062
11.75 0.0208544 0.00203498 0.00621043 11.625 11.875 124274
12.00 0.0331722 0.00271411 0.00742103 11.875 12.125 72657
12.25 0.0667009 0.00347845 0.0141741 12.125 12.375 42360
12.50 0.133532 0.007845 0.0292556 12.375 12.625 24652
12.75 0.239148 0.0150544 0.0521409 12.625 12.875 14353
13.00 0.354104 0.0256749 0.0733116 12.875 13.125 7995
13.25 0.455408 0.0339198 0.0889593 13.125 13.375 4547
13.50 0.550139 0.0410877 0.112559 13.375 13.625 2398
13.75 0.628564 0.047864 0.1176 13.625 13.875 1277
14.00 0.696027 0.0469156 0.117717 13.875 14.125 627
14.25 0.743287 0.0527515 0.115388 14.125 14.375 300
14.50 0.787634 0.0456898 0.103042 14.375 14.625 112
14.75 0.848885 0.0424032 0.101304 14.625 14.875 43
15.00 0.827131 0.0458426 0.16361 14.875 15.125 5
15.25 0.950147 0.0166066 0.0387678 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
