#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.43275e-08 4.44516e-10 3.72262e-11 8.625 8.875 27220
9.00 1.45822e-08 2.33152e-10 1.15309e-10 8.875 9.125 47039
9.25 0.000164057 1.90815e-05 3.83694e-05 9.125 9.375 216224
9.50 0.000105269 1.89975e-05 2.55547e-05 9.375 9.625 764529
9.75 4.07745e-05 1.33381e-05 8.44512e-06 9.625 9.875 2.10193e+06
10.00 5.69726e-05 3.23262e-05 2.61753e-05 9.875 10.125 3.29443e+06
10.25 0.000785389 0.000439025 0.00046824 10.125 10.375 2.47777e+06
10.50 0.00422425 0.0020428 0.00229756 10.375 10.625 1.57444e+06
10.75 0.00892953 0.00454021 0.00496109 10.625 10.875 978845
11.00 0.0137596 0.00566795 0.00738845 10.875 11.125 604974
11.25 0.0167618 0.00423306 0.00817826 11.125 11.375 359867
11.50 0.0158905 0.00301054 0.00586019 11.375 11.625 212076
11.75 0.0175946 0.00190496 0.00536057 11.625 11.875 124852
12.00 0.0278851 0.00227869 0.00645585 11.875 12.125 72720
12.25 0.059018 0.00330839 0.0130622 12.125 12.375 42224
12.50 0.12414 0.00756512 0.0292752 12.375 12.625 24315
12.75 0.223704 0.0143986 0.051955 12.625 12.875 13938
13.00 0.334391 0.0287491 0.0720724 12.875 13.125 7848
13.25 0.431035 0.0363108 0.0888677 13.125 13.375 4306
13.50 0.525536 0.0446101 0.112346 13.375 13.625 2306
13.75 0.602487 0.0515756 0.121196 13.625 13.875 1184
14.00 0.659932 0.0511669 0.121022 13.875 14.125 545
14.25 0.72838 0.0547277 0.125187 14.125 14.375 261
14.50 0.761091 0.0531633 0.115053 14.375 14.625 75
14.75 0.813789 0.0435276 0.0989412 14.625 14.875 30
15.00 0.87314 0.0305205 0.181958 14.875 15.125 2
15.25 0.947352 0.0196646 0.0444768 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
