#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.41866e-08 8.94902e-11 2.90603e-11 8.625 8.875 309711
9.00 1.4348e-08 9.66896e-07 2.0381e-11 8.875 9.125 459143
9.25 3.86584e-05 1.21886e-05 1.37794e-05 9.125 9.375 1.17666e+06
9.50 8.80884e-05 1.81899e-05 1.71285e-05 9.375 9.625 2.14959e+06
9.75 0.000106712 1.47491e-05 1.53903e-05 9.625 9.875 2.11322e+06
10.00 0.000134913 4.51828e-05 3.4237e-05 9.875 10.125 1.32498e+06
10.25 0.000436604 0.000266875 0.000221204 10.125 10.375 682373
10.50 0.00112232 0.0008126 0.000610089 10.375 10.625 308737
10.75 0.00212456 0.00146606 0.0011511 10.625 10.875 133486
11.00 0.00250196 0.00170745 0.00131188 10.875 11.125 53381
11.25 0.00256738 0.00175692 0.00132951 11.125 11.375 19867
11.50 0.00326465 0.00198212 0.00152972 11.375 11.625 6455
11.75 0.00434517 0.0025392 0.00221319 11.625 11.875 1811
12.00 0.00536336 0.00512052 0.00253541 11.875 12.125 490
12.25 0.00541909 0.00399123 0.00245536 12.125 12.375 78
12.50 0.00365919 0.0084468 0.00157454 12.375 12.625 20
12.75 0.13024 0.0220851 0.122332 12.625 12.875 2
13.00 0 0 0 12.875 13.125 0
13.25 0 0 0 13.125 13.375 0
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
