#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.4213e-08 5.72915e-10 -1.6369e-10 8.625 8.875 27674
9.00 2.51342e-08 8.32723e-09 2.43777e-09 8.875 9.125 48852
9.25 0.00011247 1.56654e-05 2.79331e-05 9.125 9.375 230225
9.50 9.09342e-05 1.82966e-05 1.98763e-05 9.375 9.625 859117
9.75 4.46981e-05 1.45894e-05 9.34994e-06 9.625 9.875 2.42071e+06
10.00 6.20049e-05 3.69064e-05 2.77244e-05 9.875 10.125 3.5852e+06
10.25 0.000716294 0.00050607 0.000417429 10.125 10.375 2.60704e+06
10.50 0.00405629 0.00212645 0.00207547 10.375 10.625 1.64245e+06
10.75 0.00829125 0.00437452 0.00444053 10.625 10.875 1.02078e+06
11.00 0.0127452 0.00601628 0.00681065 10.875 11.125 626376
11.25 0.0153485 0.00520206 0.00749043 11.125 11.375 365642
11.50 0.0137491 0.00307898 0.00536167 11.375 11.625 214259
11.75 0.013961 0.00205327 0.00437129 11.625 11.875 124346
12.00 0.0208623 0.00216221 0.00557246 11.875 12.125 72088
12.25 0.0471201 0.00264181 0.0119008 12.125 12.375 41526
12.50 0.105926 0.00700925 0.0264536 12.375 12.625 23220
12.75 0.191411 0.0178298 0.0490795 12.625 12.875 13163
13.00 0.294657 0.0302154 0.0672407 12.875 13.125 7257
13.25 0.387374 0.0355996 0.0856541 13.125 13.375 3835
13.50 0.471111 0.051828 0.102594 13.375 13.625 1959
13.75 0.537961 0.0599878 0.120722 13.625 13.875 976
14.00 0.622493 0.0600911 0.132358 13.875 14.125 430
14.25 0.689694 0.0627996 0.132877 14.125 14.375 172
14.50 0.753426 0.0673217 0.133874 14.375 14.625 38
14.75 0.771707 0.0856333 0.128363 14.625 14.875 10
15.00 0.909787 0.0374713 0.0790103 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
