#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.49261e-08 -2.22609e-10 6.56469e-10 8.625 8.875 26240
9.00 1.4287e-08 5.09014e-10 -1.82066e-10 8.875 9.125 46488
9.25 0.000147996 2.13218e-05 4.42553e-05 9.125 9.375 215934
9.50 0.000101361 1.79052e-05 2.6647e-05 9.375 9.625 777438
9.75 4.14494e-05 1.32666e-05 8.27336e-06 9.625 9.875 2.15478e+06
10.00 5.56255e-05 3.44085e-05 2.41905e-05 9.875 10.125 3.36206e+06
10.25 0.000767782 0.000470915 0.0004537 10.125 10.375 2.50784e+06
10.50 0.00418465 0.00210261 0.00224236 10.375 10.625 1.58947e+06
10.75 0.00870732 0.00466983 0.00480583 10.625 10.875 988274
11.00 0.013519 0.00562273 0.0072828 10.875 11.125 609814
11.25 0.0162764 0.00425741 0.00793193 11.125 11.375 361656
11.50 0.0152403 0.00311797 0.00589395 11.375 11.625 212818
11.75 0.016629 0.00195635 0.00510624 11.625 11.875 124810
12.00 0.0260699 0.00218303 0.00624557 11.875 12.125 72771
12.25 0.0565778 0.00329985 0.0128621 12.125 12.375 42099
12.50 0.120447 0.00755106 0.0292444 12.375 12.625 24172
12.75 0.218065 0.013962 0.0514928 12.625 12.875 13788
13.00 0.326207 0.0298142 0.0703561 12.875 13.125 7734
13.25 0.422401 0.0369899 0.0899691 13.125 13.375 4223
13.50 0.514482 0.0452502 0.111539 13.375 13.625 2230
13.75 0.585209 0.0557448 0.120043 13.625 13.875 1139
14.00 0.658546 0.051965 0.124759 13.875 14.125 527
14.25 0.715551 0.0578956 0.127803 14.125 14.375 239
14.50 0.784266 0.0473953 0.114887 14.375 14.625 63
14.75 0.793495 0.0493631 0.109529 14.625 14.875 26
15.00 0.834498 0.0463291 0.175226 14.875 15.125 2
15.25 0.947673 0.0184177 0.0446281 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
