#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 2.46644e-07 3.29859e-06 1.08291e-07 8.625 8.875 147278
9.00 1.44894e-06 1.47552e-06 6.55376e-07 8.875 9.125 243063
9.25 7.36552e-05 1.75779e-05 2.04314e-05 9.125 9.375 907100
9.50 0.000103485 2.33972e-05 1.90266e-05 9.375 9.625 2.77098e+06
9.75 9.63251e-05 1.90999e-05 1.65787e-05 9.625 9.875 4.80838e+06
10.00 0.000164655 7.08348e-05 5.22773e-05 9.875 10.125 3.95647e+06
10.25 0.000705248 0.000477488 0.000423321 10.125 10.375 2.52784e+06
10.50 0.00272126 0.00188051 0.00170385 10.375 10.625 1.56581e+06
10.75 0.00505465 0.00320493 0.00287945 10.625 10.875 899107
11.00 0.00636357 0.00379109 0.00316986 10.875 11.125 483368
11.25 0.00750884 0.00394973 0.00344572 11.125 11.375 255224
11.50 0.00914312 0.00417037 0.00419744 11.375 11.625 131690
11.75 0.0111702 0.00392322 0.00500848 11.625 11.875 66937
12.00 0.0131769 0.00366614 0.00565264 11.875 12.125 32648
12.25 0.0175713 0.00373098 0.00687039 12.125 12.375 15051
12.50 0.0258037 0.00733607 0.00923758 12.375 12.625 6688
12.75 0.0375793 0.0123769 0.0143984 12.625 12.875 2656
13.00 0.0740095 0.0251497 0.029827 12.875 13.125 962
13.25 0.097422 0.0357595 0.0348751 13.125 13.375 315
13.50 0.133338 0.0791324 0.0615388 13.375 13.625 70
13.75 0.217467 0.0675324 0.0980503 13.625 13.875 9
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
