#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.47359e-08 -1.24775e-10 3.99989e-10 8.625 8.875 67355
9.00 1.45648e-08 1.44111e-10 7.81029e-11 8.875 9.125 118290
9.25 9.62612e-05 2.2315e-05 2.9997e-05 9.125 9.375 516930
9.50 9.00556e-05 1.644e-05 1.99809e-05 9.375 9.625 1.88816e+06
9.75 7.16286e-05 1.67231e-05 1.47285e-05 9.625 9.875 4.0837e+06
10.00 0.000110704 5.13914e-05 3.58308e-05 9.875 10.125 4.18155e+06
10.25 0.00062751 0.000413158 0.000383374 10.125 10.375 2.81482e+06
10.50 0.00303227 0.00180164 0.00182415 10.375 10.625 1.75508e+06
10.75 0.00619121 0.00350427 0.00346832 10.625 10.875 1.07446e+06
11.00 0.00895484 0.00533006 0.00457199 10.875 11.125 608719
11.25 0.0112108 0.0053512 0.0052248 11.125 11.375 337726
11.50 0.0120621 0.00454185 0.00535914 11.375 11.625 186881
11.75 0.0125407 0.00321234 0.00524328 11.625 11.875 102496
12.00 0.0136978 0.00207122 0.00513847 11.875 12.125 55237
12.25 0.0216055 0.0030846 0.00759373 12.125 12.375 28932
12.50 0.0406458 0.00719833 0.0134483 12.375 12.625 14854
12.75 0.080867 0.014926 0.0286057 12.625 12.875 7204
13.00 0.12649 0.0285309 0.0421581 12.875 13.125 3323
13.25 0.180394 0.0408866 0.0605639 13.125 13.375 1387
13.50 0.244002 0.0667373 0.0761079 13.375 13.625 528
13.75 0.337488 0.082675 0.116311 13.625 13.875 181
14.00 0.463099 0.0965955 0.171987 13.875 14.125 38
14.25 0.552387 0.150919 0.114728 14.125 14.375 5
14.50 0.332019 0.287264 0.236229 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
