#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.4399e-08 1.83886e-10 5.81082e-11 8.625 8.875 81035
9.00 1.46949e-08 -3.89102e-11 2.27116e-10 8.875 9.125 140931
9.25 8.98274e-05 1.86094e-05 1.97661e-05 9.125 9.375 590345
9.50 8.28652e-05 1.56795e-05 1.67174e-05 9.375 9.625 2.07715e+06
9.75 7.67961e-05 1.98381e-05 1.51324e-05 9.625 9.875 4.28834e+06
10.00 0.000119135 5.98626e-05 3.95429e-05 9.875 10.125 4.17086e+06
10.25 0.000637099 0.000411368 0.000385619 10.125 10.375 2.78607e+06
10.50 0.00295284 0.00183393 0.00178921 10.375 10.625 1.73847e+06
10.75 0.00591095 0.00342469 0.00331772 10.625 10.875 1.05552e+06
11.00 0.00842118 0.00485076 0.00424383 10.875 11.125 590603
11.25 0.0103681 0.00507683 0.0048352 11.125 11.375 324452
11.50 0.0115895 0.00452321 0.00505686 11.375 11.625 178226
11.75 0.0125005 0.00331923 0.00541977 11.625 11.875 96370
12.00 0.013855 0.00260193 0.00531883 11.875 12.125 51104
12.25 0.0194978 0.00346936 0.00669301 12.125 12.375 26176
12.50 0.0368377 0.00727312 0.012755 12.375 12.625 13201
12.75 0.0693909 0.0158724 0.0250602 12.625 12.875 6150
13.00 0.109049 0.0265755 0.0387509 12.875 13.125 2698
13.25 0.154424 0.0410311 0.0533375 13.125 13.375 1107
13.50 0.234031 0.0587275 0.0812803 13.375 13.625 403
13.75 0.308204 0.0857618 0.117951 13.625 13.875 120
14.00 0.45363 0.0903078 0.138189 13.875 14.125 20
14.25 0.345531 0.179397 0.0628632 14.125 14.375 3
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
