#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.45431e-08 1.00666e-10 1.92943e-10 8.625 8.875 56842
9.00 1.45747e-08 1.17143e-10 9.17018e-11 8.875 9.125 100747
9.25 0.000105582 2.50198e-05 2.84469e-05 9.125 9.375 454380
9.50 8.94586e-05 1.66188e-05 1.62536e-05 9.375 9.625 1.71647e+06
9.75 6.81099e-05 1.45093e-05 1.37211e-05 9.625 9.875 3.88490e+06
10.00 9.81791e-05 4.78827e-05 3.60404e-05 9.875 10.125 4.16879e+06
10.25 0.00062391 0.000440882 0.000378728 10.125 10.375 2.82643e+06
10.50 0.00316899 0.00182526 0.00186003 10.375 10.625 1.7608e+06
10.75 0.00643429 0.00372316 0.00355717 10.625 10.875 1.08451e+06
11.00 0.00948893 0.00587076 0.00488481 10.875 11.125 620850
11.25 0.0117973 0.00545757 0.0055868 11.125 11.375 347828
11.50 0.0125036 0.004576 0.00566562 11.375 11.625 194098
11.75 0.012445 0.002799 0.00512171 11.625 11.875 107554
12.00 0.0135869 0.0018418 0.00496809 11.875 12.125 58699
12.25 0.0230651 0.00285973 0.00777547 12.125 12.375 31310
12.50 0.0464272 0.00681127 0.0150907 12.375 12.625 16249
12.75 0.0897603 0.0163784 0.0307368 12.625 12.875 8156
13.00 0.143488 0.0286184 0.0481798 12.875 13.125 3853
13.25 0.204471 0.0428724 0.0639288 13.125 13.375 1710
13.50 0.267515 0.0618288 0.0834355 13.375 13.625 691
13.75 0.37387 0.0775185 0.12645 13.625 13.875 252
14.00 0.458687 0.0710056 0.151056 13.875 14.125 59
14.25 0.570284 0.147018 0.137886 14.125 14.375 11
14.50 0.348414 0.275658 0.241623 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
