#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.44002e-08 1.76792e-11 1.17758e-10 8.625 8.875 188799
9.00 7.62512e-07 5.7819e-08 3.08943e-07 8.875 9.125 304319
9.25 7.44852e-05 2.175e-05 2.22024e-05 9.125 9.375 1.07348e+06
9.50 0.000107218 2.15526e-05 1.87447e-05 9.375 9.625 3.11905e+06
9.75 0.000100825 1.98906e-05 1.77167e-05 9.625 9.875 4.82264e+06
10.00 0.000179692 7.01283e-05 5.86767e-05 9.875 10.125 3.71718e+06
10.25 0.000733033 0.00054775 0.000427789 10.125 10.375 2.28265e+06
10.50 0.00260647 0.00194269 0.0016001 10.375 10.625 1.36469e+06
10.75 0.0044182 0.00301732 0.00251104 10.625 10.875 745959
11.00 0.00532872 0.00336808 0.00266249 10.875 11.125 390572
11.25 0.00605077 0.00383805 0.00286932 11.125 11.375 198422
11.50 0.00758684 0.00374503 0.00363306 11.375 11.625 97423
11.75 0.0093812 0.00382196 0.00440591 11.625 11.875 46284
12.00 0.0120891 0.00356253 0.005204 11.875 12.125 21117
12.25 0.0149624 0.00468671 0.00593503 12.125 12.375 8917
12.50 0.0206617 0.00681988 0.00813725 12.375 12.625 3563
12.75 0.0326274 0.0104705 0.0130903 12.625 12.875 1139
13.00 0.0530646 0.0245059 0.0196235 12.875 13.125 374
13.25 0.079706 0.0462004 0.0366727 13.125 13.375 83
13.50 0.238745 0.0663581 0.112012 13.375 13.625 14
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
