#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.46636e-08 5.32818e-11 3.72973e-10 8.625 8.875 26848
9.00 1.91169e-05 2.35561e-07 7.7529e-07 8.875 9.125 46643
9.25 0.000157107 1.93002e-05 3.9528e-05 9.125 9.375 215637
9.50 0.000104799 1.92603e-05 2.58022e-05 9.375 9.625 770400
9.75 4.2015e-05 1.3444e-05 8.71616e-06 9.625 9.875 2.12687e+06
10.00 5.53968e-05 3.37332e-05 2.42083e-05 9.875 10.125 3.32778e+06
10.25 0.000773733 0.000459343 0.000457606 10.125 10.375 2.49266e+06
10.50 0.00418578 0.00205883 0.00227517 10.375 10.625 1.58185e+06
10.75 0.00883059 0.0046023 0.00489255 10.625 10.875 983401
11.00 0.0135876 0.00566134 0.00728784 10.875 11.125 607437
11.25 0.0165336 0.00424729 0.00805498 11.125 11.375 360695
11.50 0.0155612 0.0030622 0.00588077 11.375 11.625 212495
11.75 0.017071 0.00190586 0.00523425 11.625 11.875 124764
12.00 0.0269775 0.00219505 0.00638997 11.875 12.125 72748
12.25 0.0577382 0.0032293 0.0130126 12.125 12.375 42188
12.50 0.12245 0.00744469 0.0292145 12.375 12.625 24253
12.75 0.221173 0.0139687 0.0515768 12.625 12.875 13859
13.00 0.329177 0.0286027 0.0715498 12.875 13.125 7814
13.25 0.427941 0.0380825 0.0895495 13.125 13.375 4264
13.50 0.521037 0.0461947 0.111024 13.375 13.625 2274
13.75 0.594034 0.0535917 0.120769 13.625 13.875 1154
14.00 0.660221 0.0520646 0.12106 13.875 14.125 536
14.25 0.719927 0.0592785 0.125647 14.125 14.375 250
14.50 0.774269 0.0495365 0.115975 14.375 14.625 72
14.75 0.801218 0.0460136 0.102548 14.625 14.875 26
15.00 0.859966 0.0422536 0.177024 14.875 15.125 2
15.25 0.947606 0.019022 0.0446267 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
