#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.43585e-08 3.60481e-10 5.50209e-11 8.625 8.875 31416
9.00 2.60896e-08 6.38527e-09 3.60773e-09 8.875 9.125 56503
9.25 8.72824e-05 1.91943e-05 1.89446e-05 9.125 9.375 272251
9.50 7.45016e-05 1.42263e-05 1.06519e-05 9.375 9.625 1.12371e+06
9.75 5.38237e-05 1.51437e-05 1.21255e-05 9.625 9.875 3.07933e+06
10.00 7.7386e-05 3.83508e-05 3.25518e-05 9.875 10.125 3.9275e+06
10.25 0.000644255 0.000484455 0.000388 10.125 10.375 2.75391e+06
10.50 0.00361951 0.00213402 0.00192518 10.375 10.625 1.72102e+06
10.75 0.00744579 0.00426417 0.00393908 10.625 10.875 1.06842e+06
11.00 0.0115433 0.00617681 0.00620992 10.875 11.125 640045
11.25 0.0141089 0.0055182 0.00704099 11.125 11.375 367705
11.50 0.0129802 0.00357003 0.0057978 11.375 11.625 210842
11.75 0.0118355 0.00255697 0.00430534 11.625 11.875 120812
12.00 0.0153914 0.00150201 0.00485371 11.875 12.125 68453
12.25 0.0325968 0.00297347 0.00943335 12.125 12.375 38355
12.50 0.0768711 0.00717966 0.022314 12.375 12.625 21182
12.75 0.141292 0.0184537 0.0397912 12.625 12.875 11413
13.00 0.227855 0.0302866 0.0612578 12.875 13.125 5924
13.25 0.307426 0.0414671 0.0808268 13.125 13.375 2956
13.50 0.379222 0.0550613 0.0955046 13.375 13.625 1407
13.75 0.443045 0.0683047 0.11887 13.625 13.875 629
14.00 0.557834 0.0756638 0.144371 13.875 14.125 237
14.25 0.662361 0.0681942 0.154017 14.125 14.375 70
14.50 0.651765 0.090934 0.161317 14.375 14.625 11
14.75 0.875465 0.0562717 0.141184 14.625 14.875 2
15.00 0.851825 0.0581953 0.0535064 14.875 15.125 1
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
