#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.4208e-08 8.67031e-11 3.26787e-11 8.625 8.875 315543
9.00 3.22835e-07 2.52752e-07 9.33893e-08 8.875 9.125 477643
9.25 4.63537e-05 1.31332e-05 1.95255e-05 9.125 9.375 1.25682e+06
9.50 8.24587e-05 1.68104e-05 1.78005e-05 9.375 9.625 2.33341e+06
9.75 9.97804e-05 1.35541e-05 1.43024e-05 9.625 9.875 2.34142e+06
10.00 0.000133956 4.72219e-05 3.18272e-05 9.875 10.125 1.49959e+06
10.25 0.000440968 0.000287139 0.000225087 10.125 10.375 784869
10.50 0.00115786 0.000846646 0.000615147 10.375 10.625 362590
10.75 0.00219802 0.00150873 0.0012036 10.625 10.875 160223
11.00 0.00261886 0.00175611 0.0013721 10.875 11.125 66159
11.25 0.00276103 0.00183337 0.00145654 11.125 11.375 25306
11.50 0.00342603 0.00209174 0.00166895 11.375 11.625 8632
11.75 0.00435219 0.00218755 0.00225965 11.625 11.875 2565
12.00 0.00762684 0.00476337 0.0035402 11.875 12.125 699
12.25 0.00567431 0.00346403 0.00284137 12.125 12.375 126
12.50 0.00829918 0.0117057 0.00377689 12.375 12.625 27
12.75 0.0529338 0.011795 0.0494527 12.625 12.875 5
13.00 0 0 0 12.875 13.125 0
13.25 0 0 0 13.125 13.375 0
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
