#Peak halo masses in Msun
#Average fraction of mass accreted from galaxy mergers as opposed to formed in situ.
#Log10(HM) F_ex_situ Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.42255e-08 7.11555e-11 6.13412e-11 8.625 8.875 242923
9.00 1.44042e-08 5.24913e-13 1.18137e-10 8.875 9.125 340562
9.25 3.81312e-05 1.64818e-05 1.07677e-05 9.125 9.375 844873
9.50 8.8403e-05 1.36946e-05 1.40928e-05 9.375 9.625 1.52421e+06
9.75 0.000122881 1.14315e-05 1.5449e-05 9.625 9.875 1.39546e+06
10.00 0.000140091 5.58684e-05 4.0757e-05 9.875 10.125 804013
10.25 0.000421382 0.000234993 0.000191387 10.125 10.375 375832
10.50 0.00103419 0.000696507 0.000553241 10.375 10.625 155480
10.75 0.00166226 0.00121663 0.00088489 10.625 10.875 60701
11.00 0.00181176 0.00150023 0.000930838 10.875 11.125 21780
11.25 0.00218625 0.00131391 0.00126018 11.125 11.375 6869
11.50 0.00313608 0.0011485 0.00182814 11.375 11.625 1834
11.75 0.00457229 0.00151419 0.00302596 11.625 11.875 447
12.00 0.00833672 0.00555247 0.00607554 11.875 12.125 69
12.25 0.000381311 0.000847582 0.000248055 12.125 12.375 15
12.50 0.118741 0.00890573 0.112487 12.375 12.625 3
12.75 0 0 0 12.625 12.875 0
13.00 0 0 0 12.875 13.125 0
13.25 0 0 0 13.125 13.375 0
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
