#HM Med_All Med_Cen Med_Sat Med_SF Med_Q Cen-All Sat-All SF-All Q-All Cen-Sat SF-Q True True_Cen
9.100000 -0.006909 0.058956 -0.206015 0.055542 -0.117798 0.065865 -0.199106 0.000000 -0.110888 0.264971 0.173340 -0.251425 -0.230052
9.300000 -0.183998 -0.122442 -0.372472 -0.127733 -0.271940 0.061555 -0.188475 0.000000 -0.087943 0.250030 0.144207 -0.429626 -0.408737
9.500000 -0.359893 -0.302725 -0.495519 -0.309816 -0.417083 0.057168 -0.135625 0.050077 -0.057189 0.192794 0.107267 -0.575837 -0.559424
9.700000 -0.340539 -0.304055 -0.268995 -0.297022 -0.191091 0.036484 0.071544 0.043517 0.149448 -0.035060 -0.105931 -0.318346 -0.317319
9.900000 -0.069462 -0.036246 -0.099009 -0.031809 -0.069457 0.033216 -0.029548 0.037652 0.000005 0.062763 0.037647 -0.054295 -0.050246
10.100000 -0.007064 0.019357 -0.034359 0.024463 -0.005949 0.026421 -0.027295 0.031528 0.001115 0.053716 0.030412 0.003586 0.005752
10.300000 -0.000284 0.005927 0.021294 0.025160 0.013059 0.006211 0.021578 0.025444 0.013343 -0.015367 0.012101 0.008294 -0.004982
10.500000 -0.014462 -0.010707 -0.010254 0.005319 -0.025495 0.003755 0.004208 0.019781 -0.011033 -0.000453 0.030814 -0.007446 -0.019189
10.700000 -0.024066 -0.021039 -0.001623 -0.010134 -0.017161 0.003026 0.022443 0.013932 0.006905 -0.019417 0.007027 -0.017479 -0.026098
10.900000 -0.027038 -0.024948 0.002276 -0.018344 -0.017307 0.002090 0.029314 0.008693 0.009731 -0.027224 -0.001037 -0.021967 -0.027771
11.100000 -0.028106 -0.025864 0.003255 -0.023956 -0.026464 0.002241 0.031361 0.004150 0.001642 -0.029119 0.002508 -0.026528 -0.029117
11.300000 -0.032803 -0.030671 0.000812 -0.033864 -0.013077 0.002131 0.033615 -0.001061 0.019726 -0.031483 -0.020787 -0.030291 -0.029736
11.500000 -0.033859 -0.032871 0.006119 -0.038385 -0.002851 0.000987 0.039978 -0.004527 0.031008 -0.038990 -0.035534 -0.032235 -0.030423
11.700000 -0.032870 -0.027149 -0.050656 -0.037323 -0.033406 0.005721 -0.017786 -0.004453 -0.000537 0.023507 -0.003917 -0.030982 -0.023635
11.900000 -0.020763 -0.024615 0.021125 -0.023889 -0.006493 -0.003852 0.041888 -0.003126 0.014270 -0.045740 -0.017396 -0.023466 -0.021284
12.100000 -0.014506 -0.020796 0.069130 -0.017118 -0.011913 -0.006290 0.083635 -0.002612 0.002593 -0.089926 -0.005206 -0.011100 -0.009521
12.300000 -0.001921 -0.004070 0.003819 0.012793 0.034130 -0.002149 0.005741 0.014715 0.036052 -0.007889 -0.021337 -0.007000 -0.009241
12.500000 0.025542 0.019663 0.114334 0.031096 -0.044503 -0.005879 0.088792 0.005555 -0.070045 -0.094671 0.075600 0.011461 0.013529
12.700000 -0.043048 -0.046218 0.000000 -0.021909 -0.178849 -0.003170 0.000000 0.021139 -0.135801 0.000000 0.156940 -0.028158 -0.031882
12.900000 -0.001185 -0.055034 0.000000 -0.037593 -0.036868 -0.053849 0.000000 -0.036408 -0.035684 0.000000 -0.000725 0.024795 0.013039
13.100000 -0.229406 -0.231657 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.018739 -0.003018
13.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
