#HM Med_All Med_Cen Med_Sat Med_SF Med_Q Cen-All Sat-All SF-All Q-All Cen-Sat SF-Q True True_Cen
9.100000 0.332229 0.424592 0.000000 0.300261 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.106685 0.192270
9.300000 0.130885 0.217585 -0.016768 0.103650 0.000000 0.000000 -0.147653 -0.027236 0.000000 0.234353 0.000000 -0.096849 -0.015256
9.500000 -0.070354 0.010664 -0.217602 -0.092859 0.000000 0.081017 -0.147248 -0.022505 0.000000 0.228266 0.000000 -0.300128 -0.222570
9.700000 -0.269581 -0.194512 -0.352650 -0.287358 1.094717 0.075069 -0.083068 0.000000 1.364298 0.158137 -1.382075 -0.437878 -0.380626
9.900000 -0.157580 -0.118627 -0.120064 -0.170649 1.039449 0.038954 0.037516 -0.013069 1.197030 0.001437 -1.210099 -0.149741 -0.110492
10.100000 0.022977 0.061997 0.000654 0.014632 1.088821 0.039020 -0.022323 -0.008345 1.065843 0.061343 -1.074188 0.024634 0.065349
10.300000 0.055356 0.085512 0.022559 0.051686 0.000000 0.030156 -0.032797 -0.003670 0.000000 0.062953 0.000000 0.054419 0.088520
10.500000 0.036598 0.047645 0.032107 0.037466 0.000000 0.011047 -0.004491 0.000868 0.000000 0.015538 0.000000 0.032722 0.049899
10.700000 0.019222 0.009099 0.025567 0.024159 0.000000 -0.010123 0.006344 0.004937 0.000000 -0.016468 0.000000 0.012471 0.010843
10.900000 0.001522 -0.012974 0.003852 0.009180 0.558442 -0.014497 0.002330 0.007658 0.556919 -0.016826 -0.549261 -0.007299 -0.012133
11.100000 -0.009469 -0.026278 -0.001484 -0.002049 0.227548 -0.016809 0.007985 0.007420 0.237017 -0.024794 -0.229598 -0.018697 -0.025361
11.300000 -0.023472 -0.036118 -0.015936 -0.020368 0.106182 -0.012646 0.007536 0.003104 0.129654 -0.020182 -0.126550 -0.030748 -0.035052
11.500000 -0.032920 -0.039669 -0.014597 -0.036063 -0.007827 -0.006749 0.018323 -0.003143 0.025093 -0.025073 -0.028235 -0.034602 -0.035206
11.700000 -0.017768 -0.017253 0.008786 -0.022707 -0.033085 0.000515 0.026555 -0.004938 -0.015316 -0.026039 0.010378 -0.011377 -0.008902
11.900000 0.005781 0.008662 0.027637 0.010639 -0.062972 0.002881 0.021856 0.004858 -0.068753 -0.018974 0.073611 0.015652 0.022650
12.100000 0.009076 0.006481 0.020160 0.026441 -0.004262 -0.002594 0.011085 0.017365 -0.013338 -0.013679 0.030703 0.013999 0.019517
12.300000 -0.014328 -0.022901 -0.005750 0.015333 0.014349 -0.008572 0.008578 0.029661 0.028677 -0.017150 0.000984 -0.012045 -0.012092
12.500000 -0.034465 -0.040909 -0.015310 0.000650 0.013758 -0.006444 0.019155 0.035115 0.048223 -0.025599 -0.013108 -0.026026 -0.030050
12.700000 -0.031835 -0.032564 -0.007043 -0.009421 0.005806 -0.000729 0.024792 0.022414 0.037642 -0.025521 -0.015228 -0.027541 -0.030692
12.900000 -0.029678 -0.028954 -0.019152 -0.008116 -0.008437 0.000724 0.010525 0.021561 0.021241 -0.009801 0.000320 -0.018010 -0.018551
13.100000 -0.005531 -0.009548 0.030254 0.004877 -0.001573 -0.004017 0.035785 0.010408 0.003958 -0.039801 0.006450 -0.003114 -0.004050
13.300000 0.015294 0.013839 0.016675 0.023231 0.017153 -0.001455 0.001381 0.007937 0.001859 -0.002836 0.006078 0.010396 0.009187
13.500000 -0.009258 -0.017948 0.018124 0.002741 0.001564 -0.008689 0.027383 0.011999 0.010822 -0.036072 0.001177 -0.023227 -0.025052
13.700000 -0.016641 -0.031686 0.000000 -0.079401 -0.025398 -0.015045 0.000000 -0.062760 -0.008757 0.000000 -0.054004 0.002825 0.001391
13.900000 -0.011580 -0.016485 0.000000 0.000000 -0.051378 -0.004904 0.000000 0.000000 -0.039797 0.000000 0.000000 -0.046130 -0.049968
14.100000 0.116257 0.107793 0.000000 0.000000 0.061287 0.000000 0.000000 0.000000 -0.054970 0.000000 0.000000 0.059012 0.052711
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
