#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 0.000000 0.000000 4.385529 0.000000 0.000000 4.402821 0.000000 0.000000 4.325613 0.000000 0.000000 4.350104 0.000000 0.000000 4.183280 0.000000 0.000000 4.286635 0.000000 0.000000 4.369543 0.000000 0.000000 4.280622 0.000000 0.000000 4.307802 0.000000 0.000000 4.209313 0.000000 0.000000 4.246326 0.000000 0.000000 4.049486 0.000000 0.000000 4.189277 0.000000 0.000000 4.273362
9.300000 -4.176816 0.080374 0.138706 -4.291337 0.146610 0.084171 -4.101216 4.101216 0.143253 -4.253260 0.145761 0.133333 -3.922805 0.012478 0.282546 -4.108356 0.242786 0.127762 -4.445977 0.380325 0.036457 -4.089674 0.178034 0.111689 -4.062324 0.121767 0.211129 -4.013382 0.255443 0.138028 -4.053111 0.134172 0.193101 -3.796024 0.082297 0.242215 -3.898388 0.136666 0.242107 -4.290896 0.398588 0.065721
9.500000 -3.977382 0.071889 0.121661 -4.083407 0.131094 0.071602 -3.916485 0.109338 0.168983 -4.056533 0.135910 0.117938 -3.737554 0.007883 0.248327 -3.917599 0.120661 0.140694 -4.217664 0.343648 0.029109 -3.884873 0.163417 0.106799 -3.862703 0.119200 0.195235 -3.823539 0.165151 0.156174 -3.861106 0.131218 0.187107 -3.606688 0.070519 0.222575 -3.719534 0.093654 0.244974 -4.061431 0.363591 0.072048
9.700000 -3.777992 0.063315 0.108924 -3.875509 0.118968 0.064116 -3.731796 0.093277 0.142075 -3.859834 0.130327 0.102725 -3.552353 0.011492 0.205603 -3.726883 0.104569 0.123855 -3.989148 0.313587 0.018547 -3.680115 0.157314 0.100718 -3.663117 0.122978 0.180361 -3.633730 0.162234 0.137879 -3.669132 0.137434 0.173675 -3.417401 0.069404 0.208107 -3.540712 0.090284 0.222843 -3.831788 0.327430 0.061920
9.900000 -3.578689 0.054751 0.093289 -3.667675 0.105248 0.053602 -3.547186 0.081188 0.118533 -3.663192 0.118318 0.089655 -3.367252 0.012673 0.162843 -3.536246 0.085796 0.112561 -3.760253 0.285046 0.011708 -3.475440 0.154071 0.089783 -3.463601 0.117476 0.164500 -3.443963 0.148797 0.122604 -3.477219 0.126464 0.164060 -3.228211 0.075643 0.192081 -3.361890 0.086248 0.188390 -3.601810 0.289945 0.065758
10.100000 -3.379556 0.050215 0.074427 -3.459971 0.091935 0.039776 -3.362721 0.063592 0.098207 -3.466659 0.109974 0.081676 -3.182347 0.009629 0.126632 -3.345739 0.067260 0.099422 -3.530722 0.237115 0.007674 -3.270933 0.152879 0.087011 -3.264225 0.110256 0.142356 -3.254189 0.153518 0.104230 -3.285428 0.127121 0.150755 -3.039212 0.082736 0.167536 -3.182873 0.090896 0.161068 -3.371278 0.254622 0.061300
10.300000 -3.180754 0.045872 0.060655 -3.252531 0.078841 0.032548 -3.178482 0.050056 0.079546 -3.270345 0.100420 0.077292 -2.997817 0.011106 0.095612 -3.155383 0.055467 0.082464 -3.300271 0.198019 0.018155 -3.066759 0.152642 0.080749 -3.065128 0.110264 0.128316 -3.064137 0.147811 0.098966 -3.093872 0.120712 0.133117 -2.850588 0.089833 0.144950 -3.003016 0.106172 0.144140 -3.139953 0.226872 0.066706
10.500000 -2.982545 0.045241 0.051642 -3.045616 0.066931 0.025403 -2.994448 0.042893 0.063009 -3.074454 0.094541 0.067495 -2.813957 0.020680 0.073492 -2.964962 0.041753 0.064236 -3.068732 0.164527 0.020664 -2.863227 0.147221 0.072164 -2.866579 0.117815 0.118378 -2.872933 0.141720 0.101246 -2.902763 0.120137 0.117518 -2.662650 0.094250 0.130211 -2.820719 0.111749 0.112383 -2.907731 0.194260 0.078508
10.700000 -2.785184 0.043608 0.036639 -2.839678 0.057026 0.021373 -2.810067 0.042098 0.044776 -2.879335 0.085109 0.055901 -2.631025 0.034775 0.045097 -2.773506 0.029589 0.048609 -2.836381 0.130570 0.024877 -2.660803 0.142471 0.068879 -2.669060 0.121053 0.101883 -2.678531 0.139986 0.099751 -2.712445 0.124435 0.110237 -2.475745 0.106486 0.116190 -2.632900 0.115848 0.105735 -2.674957 0.162907 0.087189
10.900000 -2.588293 0.044678 0.023690 -2.635216 0.047976 0.018994 -2.623364 0.041023 0.026948 -2.685449 0.083434 0.045656 -2.448486 0.050411 0.025661 -2.578591 0.025969 0.038759 -2.604511 0.104129 0.032393 -2.459688 0.146519 0.072487 -2.473197 0.116147 0.096215 -2.477464 0.135275 0.097201 -2.523297 0.130110 0.101694 -2.289616 0.117317 0.098244 -2.435226 0.128464 0.100760 -2.443001 0.146919 0.096152
