#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00218559 0 0 0.0775633 0 0 8.625 8.875
9.00 0.00390986 0 0 0.129866 0 0 8.875 9.125
9.25 0.0184779 0 0 0.170988 0 0 9.125 9.375
9.50 0.0686696 0 0 0.128721 0 0 9.375 9.625
9.75 0.193201 4.82968e-07 1.5294e-06 0.131761 2.16067e-06 6.88434e-06 9.625 9.875
10.00 0.287475 2.9783e-06 1.11083e-05 0.163512 8.67248e-06 3.23206e-05 9.875 10.125
10.25 0.209346 2.95415e-05 0.000126698 0.215279 0.000110716 0.000475213 10.125 10.375
10.50 0.131935 0.000109473 0.000559759 0.26294 0.000611067 0.00314045 10.375 10.625
10.75 0.0819944 0.000235527 0.00120895 0.298265 0.00200993 0.0105014 10.625 10.875
11.00 0.0503402 0.000208642 0.00118263 0.322634 0.00279585 0.016296 10.875 11.125
11.25 0.029417 0.000112692 0.000637517 0.314574 0.00261575 0.0151834 11.125 11.375
11.50 0.0172299 6.07734e-05 0.000341539 0.298779 0.00246465 0.014181 11.375 11.625
11.75 0.0100142 3.46127e-05 0.000187311 0.283688 0.00246733 0.0136537 11.625 11.875
12.00 0.00580905 1.50525e-05 0.000100296 0.272077 0.00188133 0.0127888 11.875 12.125
12.25 0.00334375 8.77391e-06 5.18385e-05 0.251565 0.00195873 0.0117858 12.125 12.375
12.50 0.00187351 3.62226e-06 2.89781e-05 0.232266 0.00148147 0.0120613 12.375 12.625
12.75 0.00106567 2.41484e-06 1.36036e-05 0.218294 0.00176737 0.0101077 12.625 12.875
13.00 0.000585196 1.28791e-06 6.11759e-06 0.197249 0.00176284 0.00848055 12.875 13.125
13.25 0.00031087 4.82968e-07 2.33434e-06 0.186691 0.00126159 0.0061534 13.125 13.375
13.50 0.000158655 0 1.28791e-06 0.155251 0 0.00691354 13.375 13.625
13.75 7.98506e-05 8.04946e-08 4.02473e-07 0.125 0.000881165 0.00443263 13.625 13.875
14.00 3.46127e-05 0 4.02473e-07 0.072093 0 0.0109166 13.875 14.125
14.25 1.44085e-05 0 0 0.0726257 0 0 14.125 14.375
14.50 3.05879e-06 0 0 0.0263158 0 0 14.375 14.625
14.75 8.04946e-07 0 0 0 0 0 14.625 14.875
15.00 1.60989e-07 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
