#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.0037401 0 0 0.0437543 0 0 8.625 8.875
9.00 0.00544337 0 0 0.0838755 0 0 8.875 9.125
9.25 0.0214373 0 0 0.11829 0 0 9.125 9.375
9.50 0.0625049 0 0 0.0872403 0 0 9.375 9.625
9.75 0.158338 0 4.82968e-07 0.101117 0 2.74181e-06 9.625 9.875
10.00 0.247314 1.04643e-06 4.5077e-06 0.157728 3.56138e-06 1.53482e-05 9.875 10.125
10.25 0.190634 1.28791e-05 5.53803e-05 0.209404 5.34058e-05 0.000229746 10.125 10.375
10.50 0.122005 5.19995e-05 0.000256134 0.254409 0.000317633 0.00156859 10.375 10.625
10.75 0.075945 0.000124767 0.000640656 0.284896 0.00117287 0.00608379 10.625 10.875
11.00 0.0470035 0.000154711 0.000855979 0.31332 0.00225279 0.0127371 10.875 11.125
11.25 0.0283134 9.94913e-05 0.000563784 0.316208 0.00239438 0.0138925 11.125 11.375
11.50 0.0168146 5.65877e-05 0.00031578 0.30469 0.00233215 0.0133079 11.375 11.625
11.75 0.00996676 3.10709e-05 0.000176847 0.292637 0.00219831 0.0127779 11.625 11.875
12.00 0.0058398 1.77893e-05 0.000102309 0.285986 0.00216842 0.012732 11.875 12.125
12.25 0.0034075 1.07863e-05 5.61047e-05 0.265497 0.0023177 0.0122961 12.125 12.375
12.50 0.00199425 5.07116e-06 3.21978e-05 0.249566 0.00190343 0.0123148 12.375 12.625
12.75 0.0011613 3.86374e-06 1.76283e-05 0.23664 0.00253135 0.0117663 12.625 12.875
13.00 0.000653133 1.12692e-06 1.09473e-05 0.218634 0.00134586 0.0133198 12.875 13.125
13.25 0.000368021 1.20742e-06 5.63462e-06 0.200131 0.00261566 0.0124369 13.125 13.375
13.50 0.000199063 5.63462e-07 2.89781e-06 0.183987 0.00230326 0.0120544 13.375 13.625
13.75 0.000106655 0 9.65935e-07 0.160755 0 0.00767016 13.625 13.875
14.00 5.1919e-05 8.04946e-08 2.41484e-07 0.134884 0.0013392 0.0040426 13.875 14.125
14.25 2.60802e-05 0 8.04946e-08 0.117284 0 0.00273287 14.125 14.375
14.50 1.05448e-05 0 8.04946e-08 0.0305344 0 0.00745743 14.375 14.625
14.75 3.70275e-06 0 0 0 0 0 14.625 14.875
15.00 4.82968e-07 0 0 0.166667 0 0 14.875 15.125
15.25 1.60989e-07 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
