#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00370106 0 0 0.040649 0 0 8.625 8.875
9.00 0.00664563 0 0 0.0691739 0 0 8.875 9.125
9.25 0.0308472 0 0 0.109015 0 0 9.125 9.375
9.50 0.121428 0 1.60989e-07 0.122361 0 1.16229e-06 9.375 9.625
9.75 0.291794 4.02473e-07 3.30028e-06 0.13706 1.19209e-06 9.76026e-06 9.625 9.875
10.00 0.331485 8.53243e-06 3.7752e-05 0.160707 2.16067e-05 9.55909e-05 9.875 10.125
10.25 0.22718 8.21045e-05 0.000406176 0.211653 0.000284806 0.00141202 10.125 10.375
10.50 0.141445 0.000287768 0.00153753 0.270789 0.00148058 0.00801376 10.375 10.625
10.75 0.087595 0.000389272 0.00217867 0.316223 0.00302526 0.0174407 10.625 10.875
11.00 0.0509115 0.000203088 0.00121748 0.316375 0.00271615 0.0167485 10.875 11.125
11.25 0.0287346 9.27298e-05 0.000571673 0.293577 0.00227237 0.0143395 11.125 11.375
11.50 0.0162482 4.51575e-05 0.000274326 0.271716 0.00201848 0.0125071 11.375 11.625
11.75 0.00907858 2.43094e-05 0.000141831 0.254094 0.00199196 0.011838 11.625 11.875
12.00 0.00505176 1.11887e-05 6.6408e-05 0.231935 0.00169738 0.0102311 11.875 12.125
12.25 0.00272716 4.91017e-06 2.88171e-05 0.207231 0.00142479 0.00846641 12.125 12.375
12.50 0.00146476 1.60989e-06 1.31206e-05 0.189207 0.000890151 0.00732835 12.375 12.625
12.75 0.000741919 8.04946e-07 5.07116e-06 0.16654 0.000903293 0.00573607 12.625 12.875
13.00 0.000370517 4.82968e-07 1.93187e-06 0.134043 0.00112732 0.00453874 12.875 13.125
13.25 0.000171132 2.41484e-07 4.82968e-07 0.101129 0.00126661 0.00254398 13.125 13.375
13.50 7.22841e-05 8.04946e-08 0 0.0824053 0.00102068 0 13.375 13.625
13.75 2.78511e-05 0 8.04946e-08 0.0867052 0 0.00264723 13.625 13.875
14.00 9.33737e-06 0 0 0.0431034 0 0 13.875 14.125
14.25 1.4489e-06 0 0 0 0 0 14.125 14.375
14.50 1.60989e-07 0 0 0 0 0 14.375 14.625
14.75 8.04946e-08 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
