#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.0110757 0 0 0.0138959 0 0 8.625 8.875
9.00 0.0183215 0 0 0.0157242 0 0 8.875 9.125
9.25 0.069485 0 0 0.0328141 0 0 9.125 9.375
9.50 0.215791 0 8.04946e-08 0.0806771 0 3.42727e-07 9.375 9.625
9.75 0.383931 1.20742e-06 7.32501e-06 0.117743 2.77162e-06 1.68309e-05 9.625 9.875
10.00 0.321926 2.51948e-05 0.000123157 0.152527 6.63102e-05 0.000324339 9.875 10.125
10.25 0.207427 0.000201558 0.00112129 0.204409 0.000772342 0.00432409 10.125 10.375
10.50 0.128885 0.00040038 0.00250064 0.274177 0.00224778 0.0143612 10.375 10.625
10.75 0.0747148 0.000243899 0.00145486 0.285565 0.00232461 0.0141879 10.625 10.875
11.00 0.0404421 9.44202e-05 0.00058592 0.261303 0.00172061 0.0108595 10.875 11.125
11.25 0.0214583 3.6786e-05 0.000247199 0.232965 0.00131267 0.00893919 11.125 11.375
11.50 0.0112279 1.4811e-05 0.000100296 0.198248 0.00105621 0.00722639 11.375 11.625
11.75 0.00574434 5.9566e-06 3.78325e-05 0.173858 0.000855789 0.00547709 11.625 11.875
12.00 0.0028409 2.01236e-06 1.47305e-05 0.152722 0.000599742 0.00441618 11.875 12.125
12.25 0.00134313 3.21978e-07 6.84204e-06 0.125974 0.000209481 0.00447516 12.125 12.375
12.50 0.000608459 8.04946e-08 1.60989e-06 0.101468 0.000118852 0.00238369 12.375 12.625
12.75 0.000246716 8.04946e-08 2.41484e-07 0.0763458 0.000301257 0.000904948 12.625 12.875
13.00 9.22468e-05 0 2.41484e-07 0.069808 0 0.00244145 12.875 13.125
13.25 2.9461e-05 0 0 0.0409836 0 0 13.125 13.375
13.50 8.53243e-06 0 1.60989e-07 0.0566038 0 0.0181422 13.375 13.625
13.75 1.5294e-06 0 0 0 0 0 13.625 13.875
14.00 0 0 0 0 0 0 13.875 14.125
14.25 0 0 0 0 0 0 14.125 14.375
14.50 0 0 0 0 0 0 14.375 14.625
14.75 0 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
