#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00211854 0 0 0.0691136 0 0 8.625 8.875
9.00 0.00378357 0 0 0.118607 0 0 8.875 9.125
9.25 0.0178514 0 0 0.156756 0 0 9.125 9.375
9.50 0.0656731 0 0 0.119183 0 0 9.375 9.625
9.75 0.183499 3.21978e-07 1.12692e-06 0.129254 1.51992e-06 5.34952e-06 9.625 9.875
10.00 0.280658 2.01236e-06 8.85441e-06 0.164711 5.99027e-06 2.63453e-05 9.875 10.125
10.25 0.206275 2.47923e-05 0.000110358 0.216355 9.41753e-05 0.000419483 10.125 10.375
10.50 0.130258 9.62715e-05 0.000491983 0.262512 0.000544667 0.00279602 10.375 10.625
10.75 0.0809347 0.000212908 0.00109368 0.296063 0.00184694 0.00964269 10.625 10.875
11.00 0.0498324 0.000202766 0.00115067 0.322585 0.00274521 0.0160118 10.875 11.125
11.25 0.0292964 0.000114785 0.000638644 0.316209 0.00266868 0.0152384 11.125 11.375
11.50 0.0171979 6.04514e-05 0.000342504 0.299729 0.00245288 0.0142296 11.375 11.625
11.75 0.0100426 3.26808e-05 0.000189323 0.285586 0.00231734 0.0137269 11.625 11.875
12.00 0.00584069 1.66624e-05 0.00010247 0.275096 0.00206211 0.0129449 11.875 12.125
12.25 0.00336202 9.82034e-06 5.50583e-05 0.25434 0.0021717 0.0124147 12.125 12.375
12.50 0.00190643 4.66869e-06 2.95415e-05 0.236278 0.00186571 0.0120207 12.375 12.625
12.75 0.00109094 2.33434e-06 1.4811e-05 0.220763 0.00166382 0.0107248 12.625 12.875
13.00 0.000599685 1.4489e-06 7.80798e-06 0.208322 0.00190817 0.0104437 12.875 13.125
13.25 0.000324796 8.85441e-07 3.30028e-06 0.189343 0.00220396 0.00832172 13.125 13.375
13.50 0.000168556 1.60989e-07 1.60989e-06 0.168577 0.000793353 0.00801757 13.375 13.625
13.75 8.44388e-05 8.04946e-08 6.43957e-07 0.140133 0.000818923 0.00660799 13.625 13.875
14.00 3.86374e-05 8.04946e-08 2.41484e-07 0.0729167 0.00192741 0.00583071 13.875 14.125
14.25 1.71453e-05 0 0 0.0610329 0 0 14.125 14.375
14.50 4.10522e-06 0 0 0.0196078 0 0 14.375 14.625
14.75 1.28791e-06 0 0 0 0 0 14.625 14.875
15.00 1.60989e-07 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
