#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00652288 0 0 0.0198063 0 0 8.625 8.875
9.00 0.0113442 0 0 0.0318028 0 0 8.875 9.125
9.25 0.0475196 0 0 0.0608746 0 0 9.125 9.375
9.50 0.1672 8.04946e-08 0 0.101047 4.32134e-07 0 9.375 9.625
9.75 0.345189 8.04946e-07 4.5077e-06 0.130641 2.04146e-06 1.13398e-05 9.625 9.875
10.00 0.335732 1.40866e-05 6.6891e-05 0.157252 3.53605e-05 0.000167951 9.875 10.125
10.25 0.224263 0.000131367 0.000712538 0.208025 0.00046365 0.0025243 10.125 10.375
10.50 0.139937 0.000397643 0.00221859 0.274729 0.00205508 0.0116838 10.375 10.625
10.75 0.0849632 0.000355706 0.00210187 0.31147 0.00287056 0.0174654 10.625 10.875
11.00 0.0475403 0.000154067 0.000957483 0.296101 0.0022738 0.0144682 10.875 11.125
11.25 0.0261166 6.85009e-05 0.000433141 0.270456 0.00190851 0.0123034 11.125 11.375
11.50 0.0143462 3.0427e-05 0.000196407 0.242277 0.00160366 0.0105176 11.375 11.625
11.75 0.00775726 1.38451e-05 8.53243e-05 0.219031 0.00139138 0.00868562 11.625 11.875
12.00 0.0041136 6.27858e-06 3.80739e-05 0.199378 0.00122012 0.0074795 11.875 12.125
12.25 0.00210703 2.33434e-06 1.42475e-05 0.169545 0.000919029 0.00565371 12.125 12.375
12.50 0.00106261 5.63462e-07 5.55413e-06 0.147943 0.00045158 0.00447699 12.375 12.625
12.75 0.000495042 0 1.93187e-06 0.118699 0 0.0034527 12.625 12.875
13.00 0.000217174 8.04946e-08 6.43957e-07 0.100074 0.000333428 0.00267636 12.875 13.125
13.25 8.91075e-05 0 1.60989e-07 0.071364 0 0.00168078 13.125 13.375
13.50 3.24393e-05 0 1.60989e-07 0.0421836 0 0.00477714 13.375 13.625
13.75 9.65935e-06 0 0 0.025 0 0 13.625 13.875
14.00 1.60989e-06 0 0 0 0 0 13.875 14.125
14.25 2.41484e-07 0 0 0 0 0 14.125 14.375
14.50 0 0 0 0 0 0 14.375 14.625
14.75 0 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
