#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.0251189 0 0 0.0153498 0 0 8.625 8.875
9.00 0.039326 0 0 0.0110182 0 0 8.875 9.125
9.25 0.109518 0 0 0.0124184 0 0 9.125 9.375
9.50 0.215449 0 1.60989e-07 0.0334712 0 7.22706e-07 9.375 9.625
9.75 0.225913 2.9783e-06 1.56964e-05 0.0632927 1.23456e-05 6.50883e-05 9.625 9.875
10.00 0.149772 2.55973e-05 0.000207676 0.0950161 0.000154644 0.00125661 9.875 10.125
10.25 0.0801703 5.94855e-05 0.000457209 0.148611 0.000631243 0.0048833 10.125 10.375
10.50 0.0384907 2.62412e-05 0.000196165 0.14852 0.000580102 0.00436175 10.375 10.625
10.75 0.0176398 5.87611e-06 5.06311e-05 0.124845 0.000291429 0.00251917 10.625 10.875
11.00 0.00763483 1.93187e-06 1.23157e-05 0.109543 0.000225261 0.00143871 10.875 11.125
11.25 0.00308021 8.04946e-07 3.38077e-06 0.0919354 0.000237241 0.000997767 11.125 11.375
11.50 0.00114141 8.04946e-08 1.28791e-06 0.0720733 6.54384e-05 0.00104821 11.375 11.625
11.75 0.000371563 0 1.60989e-07 0.0532929 0 0.000410363 11.625 11.875
12.00 0.00010907 0 1.60989e-07 0.0523985 0 0.00140074 11.875 12.125
12.25 2.52753e-05 0 0 0.022293 0 0 12.125 12.375
12.50 5.47363e-06 0 0 0.0882353 0 0 12.375 12.625
12.75 8.04946e-07 0 0 0 0 0 12.625 12.875
13.00 8.04946e-08 0 0 0 0 0 12.875 13.125
13.25 0 0 0 0 0 0 13.125 13.375
13.50 0 0 0 0 0 0 13.375 13.625
13.75 0 0 0 0 0 0 13.625 13.875
14.00 0 0 0 0 0 0 13.875 14.125
14.25 0 0 0 0 0 0 14.125 14.375
14.50 0 0 0 0 0 0 14.375 14.625
14.75 0 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
