#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00542171 0 0 0.0261005 0 0 8.625 8.875
9.00 0.00952171 0 0 0.040722 0 0 8.875 9.125
9.25 0.0416101 0 0 0.0735999 0 0 9.125 9.375
9.50 0.151987 8.04946e-08 0 0.107559 4.76837e-07 0 9.375 9.625
9.75 0.328716 1.12692e-06 3.38077e-06 0.133502 2.96533e-06 8.91089e-06 9.625 9.875
10.00 0.336592 1.19132e-05 5.61047e-05 0.158343 2.98023e-05 0.000140309 9.875 10.125
10.25 0.226577 0.000117039 0.000595177 0.209271 0.000408232 0.00208257 10.125 10.375
10.50 0.141275 0.000362226 0.00202033 0.273453 0.00185812 0.0105409 10.375 10.625
10.75 0.0864885 0.000373656 0.0022004 0.315005 0.00294667 0.0178823 10.625 10.875
11.00 0.0489986 0.000181757 0.00106462 0.303434 0.00257432 0.0154708 10.875 11.125
11.25 0.0271851 7.80798e-05 0.00048329 0.278824 0.00206539 0.0130529 11.125 11.375
11.50 0.0150429 3.36467e-05 0.000223775 0.253429 0.00166616 0.0112735 11.375 11.625
11.75 0.00825037 1.70649e-05 0.000104562 0.231599 0.00158605 0.00986347 11.625 11.875
12.00 0.00444628 7.4055e-06 4.93432e-05 0.211796 0.0013106 0.00884536 11.875 12.125
12.25 0.00232887 2.89781e-06 1.93992e-05 0.182117 0.00101642 0.00687009 12.125 12.375
12.50 0.00119567 5.63462e-07 6.92253e-06 0.162044 0.000394702 0.00487976 12.375 12.625
12.75 0.000579883 3.21978e-07 2.65632e-06 0.134786 0.00048013 0.00398161 12.625 12.875
13.00 0.000267484 0 7.24451e-07 0.104725 0 0.00243135 12.875 13.125
13.25 0.000111646 0 0 0.0951694 0 0 13.125 13.375
13.50 4.25011e-05 0 1.60989e-07 0.0625 0 0.00356464 13.375 13.625
13.75 1.45695e-05 8.04946e-08 0 0.0441989 0.00525165 0 13.625 13.875
14.00 3.05879e-06 0 0 0.0263158 0 0 13.875 14.125
14.25 4.02473e-07 0 0 0 0 0 14.125 14.375
14.50 8.04946e-08 0 0 0 0 0 14.375 14.625
14.75 0 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
