#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.005605 0 0 0.0100959 0 0 8.625 8.875
9.00 0.00729144 0 0 0.00790435 0 0 8.875 9.125
9.25 0.0152419 0 0 0.00708729 0 0 9.125 9.375
9.50 0.0230807 0 0 0.0114949 0 0 9.375 9.625
9.75 0.0175249 8.04946e-08 4.02473e-07 0.0200354 4.50015e-06 2.25063e-05 9.625 9.875
10.00 0.00753542 0 1.4489e-06 0.0344607 0 0.000185687 9.875 10.125
10.25 0.00249815 0 8.04946e-07 0.0425326 0 0.00030861 10.125 10.375
10.50 0.000746024 0 3.21978e-07 0.0421882 0 0.000413563 10.375 10.625
10.75 0.000197936 0 8.04946e-08 0.0370069 0 0.000391781 10.625 10.875
11.00 4.35476e-05 0 0 0.025878 0 0 10.875 11.125
11.25 6.76155e-06 0 0 0.0238095 0 0 11.125 11.375
11.50 1.12692e-06 0 0 0 0 0 11.375 11.625
11.75 8.04946e-08 0 0 0 0 0 11.625 11.875
12.00 0 0 0 0 0 0 11.875 12.125
12.25 0 0 0 0 0 0 12.125 12.375
12.50 0 0 0 0 0 0 12.375 12.625
12.75 0 0 0 0 0 0 12.625 12.875
13.00 0 0 0 0 0 0 12.875 13.125
13.25 0 0 0 0 0 0 13.125 13.375
13.50 0 0 0 0 0 0 13.375 13.625
13.75 0 0 0 0 0 0 13.625 13.875
14.00 0 0 0 0 0 0 13.875 14.125
14.25 0 0 0 0 0 0 14.125 14.375
14.50 0 0 0 0 0 0 14.375 14.625
14.75 0 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
