#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00262984 0 0 0.0632671 0 0 8.625 8.875
9.00 0.00475465 0 0 0.110804 0 0 8.875 9.125
9.25 0.0229426 0 0 0.15801 0 0 9.125 9.375
9.50 0.0949737 0 8.04946e-08 0.137448 0 7.30157e-07 9.375 9.625
9.75 0.255228 4.02473e-07 2.65632e-06 0.138078 1.37091e-06 8.9705e-06 9.625 9.875
10.00 0.319177 5.63462e-06 2.50338e-05 0.163174 1.4782e-05 6.56396e-05 9.875 10.125
10.25 0.22296 5.80366e-05 0.000256778 0.213951 0.000204548 0.000906318 10.125 10.375
10.50 0.139211 0.00021162 0.00108571 0.268732 0.00110996 0.005748 10.375 10.625
10.75 0.0864002 0.00034508 0.00189782 0.311688 0.00273818 0.0154586 10.625 10.875
11.00 0.0514871 0.000223051 0.00126779 0.32334 0.00291875 0.0170824 10.875 11.125
11.25 0.0295269 0.000113256 0.000622384 0.304878 0.00265607 0.0149676 11.125 11.375
11.50 0.0169002 5.04701e-05 0.000311595 0.284985 0.00212893 0.0134306 11.375 11.625
11.75 0.00963826 2.92195e-05 0.000164289 0.268662 0.00221044 0.0126823 11.625 11.875
12.00 0.00544651 1.32011e-05 8.16215e-05 0.251038 0.00181094 0.0113947 11.875 12.125
12.25 0.0030427 7.00303e-06 3.55786e-05 0.227328 0.00177428 0.00914185 12.125 12.375
12.50 0.00167067 3.30028e-06 1.95602e-05 0.208962 0.00155956 0.00937121 12.375 12.625
12.75 0.000892202 8.85441e-07 8.69342e-06 0.190996 0.00080207 0.00796032 12.625 12.875
13.00 0.000461636 5.63462e-07 3.13929e-06 0.162162 0.0010214 0.00573659 12.875 13.125
13.25 0.000229732 8.04946e-08 8.04946e-07 0.134548 0.000303134 0.00304309 13.125 13.375
13.50 0.000104401 0 6.43957e-07 0.115652 0 0.00548859 13.375 13.625
13.75 4.81358e-05 0 1.60989e-07 0.102007 0 0.0030134 13.625 13.875
14.00 1.71453e-05 0 0 0.0610329 0 0 13.875 14.125
14.25 4.34671e-06 0 0 0.0185185 0 0 14.125 14.375
14.50 8.04946e-07 0 0 0.1 0 0 14.375 14.625
14.75 1.60989e-07 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
