#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00851496 0 0 0.0154845 0 0 8.625 8.875
9.00 0.0143893 0 0 0.0226448 0 0 8.875 9.125
9.25 0.0576168 0 0 0.0457665 0 0 9.125 9.375
9.50 0.190761 8.04946e-08 0 0.0912611 3.7998e-07 0 9.375 9.625
9.75 0.367061 6.43957e-07 6.19808e-06 0.124786 1.53482e-06 1.4782e-05 9.625 9.875
10.00 0.331068 1.61794e-05 9.11199e-05 0.155522 4.12613e-05 0.000232488 9.875 10.125
10.25 0.217933 0.000158735 0.000897515 0.206655 0.000577435 0.00328074 10.125 10.375
10.50 0.136076 0.000420745 0.00245178 0.27578 0.00223237 0.0132883 10.375 10.625
10.75 0.0811443 0.000297749 0.00183093 0.302372 0.00255051 0.0161046 10.625 10.875
11.00 0.0446153 0.000124686 0.000781844 0.281293 0.00200295 0.0128193 10.875 11.125
11.25 0.0242025 5.18385e-05 0.000345563 0.254696 0.0015929 0.0107956 11.125 11.375
11.50 0.0129753 2.1814e-05 0.000152457 0.223841 0.00130269 0.0092281 11.375 11.625
11.75 0.00688873 1.00618e-05 5.9727e-05 0.197908 0.00116985 0.00701515 11.625 11.875
12.00 0.00353959 4.34671e-06 2.64827e-05 0.177177 0.00100921 0.00620267 11.875 12.125
12.25 0.00176179 8.04946e-07 9.49836e-06 0.148307 0.00038895 0.00461665 12.125 12.375
12.50 0.000838271 4.82968e-07 3.21978e-06 0.122911 0.000505038 0.00338188 12.375 12.625
12.75 0.000370919 8.04946e-08 6.43957e-07 0.0998264 0.00019531 0.00156552 12.625 12.875
13.00 0.000154711 0 0 0.0827263 0 0 12.875 13.125
13.25 5.60242e-05 0 0 0.0488506 0 0 13.125 13.375
13.50 1.85943e-05 0 1.60989e-07 0.04329 0 0.00835555 13.375 13.625
13.75 4.18572e-06 0 0 0.0192308 0 0 13.625 13.875
14.00 4.02473e-07 0 0 0 0 0 13.875 14.125
14.25 8.04946e-08 0 0 0 0 0 14.125 14.375
14.50 0 0 0 0 0 0 14.375 14.625
14.75 0 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
