#1+z Log10(Mass/Msun) Log10(Median_SFR_for_SF_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
1.35519 10.7 -1.69136 0.129747
1.35519 10.75 -1.57521 0.126693
1.35519 10.8 -1.45788 0.123151
1.35519 10.85 -1.33873 0.122678
1.35519 10.9 -1.217 0.121346
1.35519 10.95 -1.09196 0.1196
1.35519 11 -0.963089 0.117907
1.35519 11.05 -0.830357 0.114988
1.35519 11.1 -0.694401 0.110357
1.35519 11.15 -0.556581 0.10803
1.35519 11.2 -0.41886 0.108817
1.35519 11.25 -0.283542 0.111422
1.35519 11.3 -0.152979 0.111842
1.35519 11.35 -0.0293276 0.114577
1.35519 11.4 0.0856101 0.117404
1.35519 11.45 0.190458 0.116515
1.35519 11.5 0.284283 0.115647
1.35519 11.55 0.366576 0.115762
1.35519 11.6 0.437229 0.11565
1.35519 11.65 0.496514 0.114043
1.35519 11.7 0.545064 0.114256
1.35519 11.75 0.583851 0.114229
1.35519 11.8 0.614153 0.115141
1.35519 11.85 0.637497 0.117585
1.35519 11.9 0.655553 0.121935
1.35519 11.95 0.670004 0.120885
1.35519 12 0.682379 0.120807
1.35519 12.05 0.693909 0.12326
1.35519 12.1 0.705434 0.129688
1.35519 12.15 0.717396 0.136307
1.35519 12.2 0.729901 0.146514
1.35519 12.25 0.742831 0.157016
1.35519 12.3 0.755969 0.166456
1.35519 12.35 0.769086 0.173835
1.35519 12.4 0.782 0.182313
1.35519 12.45 0.794597 0.197317
1.35519 12.5 0.806826 0.212718
1.35519 12.55 0.818681 0.22203
1.35519 12.6 0.830191 0.232846
1.35519 12.65 0.841399 0.243636
1.35519 12.7 0.852351 0.256433
1.35519 12.75 0.863093 0.268774
1.35519 12.8 0.873666 0.278311
1.35519 12.85 0.884103 0.285893
1.35519 12.9 0.894433 0.293212
1.35519 12.95 0.904678 0.30461
1.35519 13 0.914857 0.313773
1.35519 13.05 0.924982 0.324991
1.35519 13.1 0.935067 0.336255
1.35519 13.15 0.945119 0.345874
1.35519 13.2 0.955146 0.357567
1.35519 13.25 0.965152 0.369482
1.35519 13.3 0.975143 0.378952
1.35519 13.35 0.985121 0.395384
1.35519 13.4 0.99509 0.405672
1.35519 13.45 1.00505 0.417174
1.35519 13.5 1.01501 0.427596
1.35519 13.55 1.02496 0.441535
1.35519 13.6 1.0349 0.450254
1.35519 13.65 1.04485 0.463774
1.35519 13.7 1.05479 0.474171
1.35519 13.75 1.06473 0.482991
1.35519 13.8 1.07467 0.492752
1.35519 13.85 1.0846 0.503035
1.35519 13.9 1.09454 0.51643
1.35519 13.95 1.10448 0.531111
1.35519 14 1.11441 0.541424
1.35519 14.05 1.12435 0.551956
1.35519 14.1 1.13428 0.563677
1.35519 14.15 1.14421 0.574686
1.35519 14.2 1.15415 0.584512
1.35519 14.25 1.16408 0.596556
1.35519 14.3 1.17402 0.608781
1.35519 14.35 1.18395 0.61949
1.35519 14.4 1.19388 0.630199
1.35519 14.45 1.20382 0.641835
1.35519 14.5 1.21375 0.653922
1.35519 14.55 1.22368 0.665004
1.35519 14.6 1.23362 0.677471
1.35519 14.65 1.24355 0.690548
1.35519 14.7 1.25348 0.70343
1.35519 14.75 1.26342 0.716197
1.35519 14.8 1.27335 0.72683
1.35519 14.85 1.28328 0.738321
1.35519 14.9 1.29322 0.748285
1.35519 14.95 1.30315 0.75691
1.35519 15 1.31308 0.767716
1.36773 10 -3.30209 0.168277
1.36773 10.05 -3.18709 0.166078
1.36773 10.1 -3.0721 0.158593
1.36773 10.15 -2.95712 0.153329
1.36773 10.2 -2.84214 0.150138
1.36773 10.25 -2.72719 0.147179
1.36773 10.3 -2.61225 0.143537
1.36773 10.35 -2.49734 0.143561
1.36773 10.4 -2.38245 0.137832
1.36773 10.45 -2.26758 0.137611
1.36773 10.5 -2.15274 0.133504
1.36773 10.55 -2.03789 0.130428
1.36773 10.6 -1.92299 0.129394
1.36773 10.65 -1.80792 0.128955
1.36773 10.7 -1.6925 0.129546
1.36773 10.75 -1.5764 0.127552
1.36773 10.8 -1.45916 0.122749
1.36773 10.85 -1.34012 0.122549
1.36773 10.9 -1.21852 0.121299
1.36773 10.95 -1.09357 0.119048
1.36773 11 -0.964714 0.11982
1.36773 11.05 -0.83182 0.114568
1.36773 11.1 -0.695454 0.111459
1.36773 11.15 -0.55692 0.108445
1.36773 11.2 -0.418165 0.107796
1.36773 11.25 -0.281514 0.111088
1.36773 11.3 -0.149376 0.110793
1.36773 11.35 -0.0239744 0.113622
1.36773 11.4 0.0928137 0.117457
1.36773 11.45 0.199541 0.116032
1.36773 11.5 0.295209 0.115585
1.36773 11.55 0.379247 0.115804
1.36773 11.6 0.451494 0.115712
1.36773 11.65 0.512169 0.114522
1.36773 11.7 0.561859 0.113261
1.36773 11.75 0.601495 0.113536
1.36773 11.8 0.632327 0.115391
1.36773 11.85 0.655872 0.117317
1.36773 11.9 0.673818 0.121064
1.36773 11.95 0.687894 0.122235
1.36773 12 0.699705 0.120932
1.36773 12.05 0.710574 0.121779
1.36773 12.1 0.721432 0.127515
1.36773 12.15 0.732794 0.134444
1.36773 12.2 0.744807 0.146695
1.36773 12.25 0.757371 0.155478
1.36773 12.3 0.770256 0.16334
1.36773 12.35 0.783211 0.173693
1.36773 12.4 0.796028 0.184643
1.36773 12.45 0.808567 0.198469
1.36773 12.5 0.820758 0.215363
1.36773 12.55 0.832584 0.225508
1.36773 12.6 0.844064 0.238993
1.36773 12.65 0.855238 0.247895
1.36773 12.7 0.866151 0.260512
1.36773 12.75 0.876849 0.273613
1.36773 12.8 0.887371 0.283451
1.36773 12.85 0.897754 0.290978
1.36773 12.9 0.908026 0.300808
1.36773 12.95 0.918211 0.309951
1.36773 13 0.928326 0.319948
1.36773 13.05 0.938387 0.333864
1.36773 13.1 0.948405 0.345585
1.36773 13.15 0.958389 0.354994
1.36773 13.2 0.968347 0.365423
1.36773 13.25 0.978284 0.381034
1.36773 13.3 0.988205 0.393881
1.36773 13.35 0.998114 0.404996
1.36773 13.4 1.00801 0.418206
1.36773 13.45 1.0179 0.427641
1.36773 13.5 1.02779 0.440665
1.36773 13.55 1.03767 0.450551
1.36773 13.6 1.04754 0.463558
1.36773 13.65 1.05741 0.473727
1.36773 13.7 1.06728 0.483486
1.36773 13.75 1.07715 0.493735
1.36773 13.8 1.08702 0.506989
1.36773 13.85 1.09689 0.520744
1.36773 13.9 1.10675 0.53139
1.36773 13.95 1.11661 0.543814
1.36773 14 1.12648 0.556238
1.36773 14.05 1.13634 0.56895
1.36773 14.1 1.1462 0.581878
1.36773 14.15 1.15607 0.594099
1.36773 14.2 1.16593 0.605521
1.36773 14.25 1.17579 0.615486
1.36773 14.3 1.18565 0.627711
1.36773 14.35 1.19552 0.63943
1.36773 14.4 1.20538 0.651208
1.36773 14.45 1.21524 0.666006
1.36773 14.5 1.2251 0.678595
1.36773 14.55 1.23496 0.690305
1.36773 14.6 1.24483 0.702015
1.36773 14.65 1.25469 0.713725
1.36773 14.7 1.26455 0.725264
1.36773 14.75 1.27441 0.734662
1.36773 14.8 1.28427 0.744648
1.36773 14.85 1.29413 0.754764
1.36773 14.9 1.304 0.765464
1.36773 14.95 1.31386 0.77899
1.36773 15 1.32372 0.792516
1.38038 10 -3.30329 0.169047
1.38038 10.05 -3.18828 0.16494
1.38038 10.1 -3.07328 0.159893
1.38038 10.15 -2.95828 0.153671
1.38038 10.2 -2.8433 0.148392
1.38038 10.25 -2.72834 0.148169
1.38038 10.3 -2.61339 0.14464
1.38038 10.35 -2.49846 0.143338
1.38038 10.4 -2.38356 0.138056
1.38038 10.45 -2.26868 0.136617
1.38038 10.5 -2.15382 0.135045
1.38038 10.55 -2.03897 0.131535
1.38038 10.6 -1.92406 0.129497
1.38038 10.65 -1.809 0.129371
1.38038 10.7 -1.6936 0.131104
1.38038 10.75 -1.57755 0.128434
1.38038 10.8 -1.4604 0.124612
1.38038 10.85 -1.34148 0.122065
1.38038 10.9 -1.22003 0.121382
1.38038 10.95 -1.09521 0.1191
1.38038 11 -0.966396 0.119745
1.38038 11.05 -0.833391 0.113973
1.38038 11.1 -0.696671 0.112628
1.38038 11.15 -0.55748 0.109329
1.38038 11.2 -0.41774 0.10839
1.38038 11.25 -0.279797 0.110746
1.38038 11.3 -0.146108 0.11079
1.38038 11.35 -0.0189673 0.112073
1.38038 11.4 0.0996745 0.116513
1.38038 11.45 0.208298 0.116145
1.38038 11.5 0.305836 0.115144
1.38038 11.55 0.39166 0.115967
1.38038 11.6 0.465551 0.115213
1.38038 11.65 0.527676 0.113194
1.38038 11.7 0.578573 0.113525
1.38038 11.75 0.619128 0.113874
1.38038 11.8 0.650562 0.114905
1.38038 11.85 0.674373 0.116642
1.38038 11.9 0.692262 0.121017
1.38038 11.95 0.705998 0.121323
1.38038 12 0.717258 0.121616
1.38038 12.05 0.727456 0.122475
1.38038 12.1 0.737619 0.127136
1.38038 12.15 0.748341 0.133812
1.38038 12.2 0.759822 0.145378
1.38038 12.25 0.77198 0.154996
1.38038 12.3 0.78458 0.165334
1.38038 12.35 0.79735 0.174149
1.38038 12.4 0.810053 0.185859
1.38038 12.45 0.822523 0.19866
1.38038 12.5 0.83467 0.217898
1.38038 12.55 0.846462 0.22742
1.38038 12.6 0.857911 0.242209
1.38038 12.65 0.869049 0.254123
1.38038 12.7 0.879922 0.263252
1.38038 12.75 0.890573 0.275188
1.38038 12.8 0.901044 0.286733
1.38038 12.85 0.911371 0.294413
1.38038 12.9 0.921583 0.306397
1.38038 12.95 0.931705 0.317234
1.38038 13 0.941755 0.330929
1.38038 13.05 0.951749 0.341511
1.38038 13.1 0.961699 0.352598
1.38038 13.15 0.971614 0.362444
1.38038 13.2 0.981501 0.376345
1.38038 13.25 0.991368 0.38733
1.38038 13.3 1.00122 0.40129
1.38038 13.35 1.01105 0.414879
1.38038 13.4 1.02088 0.426415
1.38038 13.45 1.0307 0.438355
1.38038 13.5 1.04051 0.451057
1.38038 13.55 1.05031 0.463125
1.38038 13.6 1.06012 0.474357
1.38038 13.65 1.06992 0.484651
1.38038 13.7 1.07971 0.496917
1.38038 13.75 1.08951 0.508747
1.38038 13.8 1.0993 0.519183
1.38038 13.85 1.10909 0.533582
1.38038 13.9 1.11889 0.547051
1.38038 13.95 1.12868 0.559884
1.38038 14 1.13847 0.572717
1.38038 14.05 1.14826 0.585549
1.38038 14.1 1.15805 0.599357
1.38038 14.15 1.16783 0.612244
1.38038 14.2 1.17762 0.624431
1.38038 14.25 1.18741 0.635404
1.38038 14.3 1.1972 0.649164
1.38038 14.35 1.20699 0.66171
1.38038 14.4 1.21678 0.675226
1.38038 14.45 1.22657 0.687478
1.38038 14.5 1.23635 0.698838
1.38038 14.55 1.24614 0.709786
1.38038 14.6 1.25593 0.720186
1.38038 14.65 1.26572 0.729355
1.38038 14.7 1.27551 0.739846
1.38038 14.75 1.28529 0.75196
1.38038 14.8 1.29508 0.764337
1.38038 14.85 1.30487 0.778389
1.38038 14.9 1.31466 0.792344
1.38038 14.95 1.32445 0.805236
1.38038 15 1.33423 0.818431
1.39316 10 -3.30441 0.169269
1.39316 10.05 -3.18939 0.163638
1.39316 10.1 -3.07438 0.159641
1.39316 10.15 -2.95938 0.152735
1.39316 10.2 -2.84439 0.149349
1.39316 10.25 -2.72942 0.149388
1.39316 10.3 -2.61446 0.145324
1.39316 10.35 -2.49952 0.142997
1.39316 10.4 -2.38461 0.137824
1.39316 10.45 -2.26972 0.13706
1.39316 10.5 -2.15485 0.134387
1.39316 10.55 -2.03998 0.130475
1.39316 10.6 -1.92507 0.130084
1.39316 10.65 -1.81002 0.130707
1.39316 10.7 -1.69465 0.131947
1.39316 10.75 -1.57866 0.128732
1.39316 10.8 -1.4616 0.125765
1.39316 10.85 -1.34282 0.12263
1.39316 10.9 -1.22152 0.121084
1.39316 10.95 -1.09685 0.119986
1.39316 11 -0.968128 0.118599
1.39316 11.05 -0.835061 0.114579
1.39316 11.1 -0.698044 0.112567
1.39316 11.15 -0.558254 0.110063
1.39316 11.2 -0.417583 0.108736
1.39316 11.25 -0.27839 0.110091
1.39316 11.3 -0.14318 0.109722
1.39316 11.35 -0.0143139 0.111108
1.39316 11.4 0.106182 0.115458
1.39316 11.45 0.216715 0.116438
1.39316 11.5 0.31615 0.115471
1.39316 11.55 0.403797 0.11559
1.39316 11.6 0.479379 0.114147
1.39316 11.65 0.543012 0.114847
1.39316 11.7 0.59518 0.114052
1.39316 11.75 0.636727 0.11389
1.39316 11.8 0.668835 0.113461
1.39316 11.85 0.692982 0.114503
1.39316 11.9 0.710872 0.120009
1.39316 11.95 0.724309 0.120429
1.39316 12 0.735037 0.121734
1.39316 12.05 0.744559 0.122644
1.39316 12.1 0.754003 0.126571
1.39316 12.15 0.764048 0.132916
1.39316 12.2 0.774955 0.14346
1.39316 12.25 0.786667 0.154438
1.39316 12.3 0.798949 0.163633
1.39316 12.35 0.811507 0.175435
1.39316 12.4 0.824077 0.186805
1.39316 12.45 0.836467 0.202168
1.39316 12.5 0.848562 0.219689
1.39316 12.55 0.860317 0.230125
1.39316 12.6 0.87173 0.244161
1.39316 12.65 0.882831 0.256532
1.39316 12.7 0.893662 0.266813
1.39316 12.75 0.904266 0.278994
1.39316 12.8 0.914684 0.290129
1.39316 12.85 0.924954 0.29924
1.39316 12.9 0.935105 0.312839
1.39316 12.95 0.945162 0.324954
1.39316 13 0.955145 0.338177
1.39316 13.05 0.965071 0.351999
1.39316 13.1 0.97495 0.361607
1.39316 13.15 0.984794 0.373949
1.39316 13.2 0.994609 0.383788
1.39316 13.25 1.0044 0.39515
1.39316 13.3 1.01418 0.406864
1.39316 13.35 1.02394 0.419539
1.39316 13.4 1.03369 0.434344
1.39316 13.45 1.04343 0.450415
1.39316 13.5 1.05317 0.463908
1.39316 13.55 1.0629 0.475922
1.39316 13.6 1.07263 0.487441
1.39316 13.65 1.08235 0.500369
1.39316 13.7 1.09207 0.512806
1.39316 13.75 1.10179 0.52525
1.39316 13.8 1.11151 0.538772
1.39316 13.85 1.12123 0.551272
1.39316 13.9 1.13094 0.562479
1.39316 13.95 1.14066 0.57583
1.39316 14 1.15037 0.59188
1.39316 14.05 1.16009 0.605343
1.39316 14.1 1.1698 0.617468
1.39316 14.15 1.17952 0.629886
1.39316 14.2 1.18923 0.640266
1.39316 14.25 1.19894 0.653392
1.39316 14.3 1.20865 0.664907
1.39316 14.35 1.21837 0.679538
1.39316 14.4 1.22808 0.693109
1.39316 14.45 1.23779 0.70415
1.39316 14.5 1.24751 0.714056
1.39316 14.55 1.25722 0.724827
1.39316 14.6 1.26693 0.737221
1.39316 14.65 1.27664 0.750347
1.39316 14.7 1.28636 0.764885
1.39316 14.75 1.29607 0.779485
1.39316 14.8 1.30578 0.791905
1.39316 14.85 1.31549 0.803665
1.39316 14.9 1.3252 0.818027
1.39316 14.95 1.33492 0.830244
1.39316 15 1.34463 0.842287
1.40605 10 -3.30544 0.17109
1.40605 10.05 -3.19042 0.16335
1.40605 10.1 -3.07541 0.159496
1.40605 10.15 -2.9604 0.153647
1.40605 10.2 -2.84541 0.150519
1.40605 10.25 -2.73043 0.150035
1.40605 10.3 -2.61546 0.148223
1.40605 10.35 -2.50051 0.144215
1.40605 10.4 -2.38559 0.139579
1.40605 10.45 -2.2707 0.137598
1.40605 10.5 -2.15582 0.13338
1.40605 10.55 -2.04095 0.130465
1.40605 10.6 -1.92604 0.130365
1.40605 10.65 -1.81099 0.130271
1.40605 10.7 -1.69565 0.132776
1.40605 10.75 -1.57972 0.128383
1.40605 10.8 -1.46276 0.126192
1.40605 10.85 -1.34411 0.12363
1.40605 10.9 -1.22299 0.122182
1.40605 10.95 -1.0985 0.119569
1.40605 11 -0.9699 0.119287
1.40605 11.05 -0.83682 0.11471
1.40605 11.1 -0.699564 0.112752
1.40605 11.15 -0.559235 0.111176
1.40605 11.2 -0.41769 0.111135
1.40605 11.25 -0.277294 0.109996
1.40605 11.3 -0.140594 0.109645
1.40605 11.35 -0.0100207 0.110919
1.40605 11.4 0.112325 0.11367
1.40605 11.45 0.224778 0.117584
1.40605 11.5 0.326133 0.115713
1.40605 11.55 0.415638 0.115857
1.40605 11.6 0.492958 0.113585
1.40605 11.65 0.558153 0.114088
1.40605 11.7 0.611658 0.114207
1.40605 11.75 0.654267 0.114595
1.40605 11.8 0.687123 0.114099
1.40605 11.85 0.711677 0.114965
1.40605 11.9 0.729632 0.118239
1.40605 11.95 0.742817 0.119178
1.40605 12 0.753037 0.121166
1.40605 12.05 0.761886 0.122588
1.40605 12.1 0.770591 0.12748
1.40605 12.15 0.779925 0.132278
1.40605 12.2 0.790216 0.142269
1.40605 12.25 0.801441 0.155241
1.40605 12.3 0.813369 0.163939
1.40605 12.35 0.825687 0.176364
1.40605 12.4 0.838105 0.188782
1.40605 12.45 0.850401 0.204492
1.40605 12.5 0.862437 0.222114
1.40605 12.55 0.874148 0.235716
1.40605 12.6 0.885524 0.248893
1.40605 12.65 0.896586 0.259438
1.40605 12.7 0.907373 0.271277
1.40605 12.75 0.917927 0.282496
1.40605 12.8 0.928292 0.292034
1.40605 12.85 0.938502 0.30351
1.40605 12.9 0.948591 0.318439
1.40605 12.95 0.958582 0.330639
1.40605 13 0.968497 0.345062
1.40605 13.05 0.978352 0.358548
1.40605 13.1 0.988159 0.371469
1.40605 13.15 0.997929 0.382511
1.40605 13.2 1.00767 0.394308
1.40605 13.25 1.01739 0.40613
1.40605 13.3 1.02709 0.418284
1.40605 13.35 1.03677 0.427835
1.40605 13.4 1.04645 0.445882
1.40605 13.45 1.05612 0.459907
1.40605 13.5 1.06577 0.472423
1.40605 13.55 1.07543 0.484652
1.40605 13.6 1.08508 0.498184
1.40605 13.65 1.09473 0.511812
1.40605 13.7 1.10437 0.527947
1.40605 13.75 1.11401 0.540879
1.40605 13.8 1.12365 0.553517
1.40605 13.85 1.13329 0.568336
1.40605 13.9 1.14293 0.581261
1.40605 13.95 1.15257 0.593043
1.40605 14 1.1622 0.604329
1.40605 14.05 1.17184 0.617071
1.40605 14.1 1.18148 0.631353
1.40605 14.15 1.19111 0.645878
1.40605 14.2 1.20075 0.658297
1.40605 14.25 1.21038 0.670024
1.40605 14.3 1.22002 0.683023
1.40605 14.35 1.22965 0.695694
1.40605 14.4 1.23929 0.705015
1.40605 14.45 1.24892 0.71423
1.40605 14.5 1.25856 0.726378
1.40605 14.55 1.26819 0.742205
1.40605 14.6 1.27783 0.756214
1.40605 14.65 1.28746 0.768261
1.40605 14.7 1.2971 0.782155
1.40605 14.75 1.30673 0.794173
1.40605 14.8 1.31637 0.807129
1.40605 14.85 1.326 0.819255
1.40605 14.9 1.33563 0.831346
1.40605 14.95 1.34527 0.843449
1.40605 15 1.3549 0.855551
1.41906 10 -3.3064 0.168699
1.41906 10.05 -3.19137 0.164391
1.41906 10.1 -3.07636 0.158924
1.41906 10.15 -2.96135 0.153664
1.41906 10.2 -2.84635 0.150509
1.41906 10.25 -2.73136 0.149291
1.41906 10.3 -2.61639 0.147184
1.41906 10.35 -2.50144 0.144656
1.41906 10.4 -2.38652 0.140238
1.41906 10.45 -2.27161 0.1384
1.41906 10.5 -2.15673 0.134168
1.41906 10.55 -2.04186 0.131443
1.41906 10.6 -1.92695 0.129608
1.41906 10.65 -1.81191 0.131317
1.41906 10.7 -1.6966 0.131365
1.41906 10.75 -1.58073 0.129668
1.41906 10.8 -1.46387 0.125828
1.41906 10.85 -1.34537 0.124186
1.41906 10.9 -1.22443 0.122191
1.41906 10.95 -1.10014 0.119518
1.41906 11 -0.971701 0.118823
1.41906 11.05 -0.838657 0.116509
1.41906 11.1 -0.70122 0.113724
1.41906 11.15 -0.560415 0.111104
1.41906 11.2 -0.418054 0.111352
1.41906 11.25 -0.276503 0.109264
1.41906 11.3 -0.138351 0.109375
1.41906 11.35 -0.00609128 0.111688
1.41906 11.4 0.118099 0.112554
1.41906 11.45 0.232478 0.117319
1.41906 11.5 0.335773 0.116053
1.41906 11.55 0.427166 0.116395
1.41906 11.6 0.506266 0.113296
1.41906 11.65 0.573078 0.113257
1.41906 11.7 0.627982 0.113822
1.41906 11.75 0.671724 0.113788
1.41906 11.8 0.705402 0.114027
1.41906 11.85 0.730439 0.113321
1.41906 11.9 0.748524 0.116381
1.41906 11.95 0.76151 0.119647
1.41906 12 0.771255 0.12064
1.41906 12.05 0.779438 0.123128
1.41906 12.1 0.78739 0.124923
1.41906 12.15 0.79598 0.131327
1.41906 12.2 0.805614 0.140779
1.41906 12.25 0.816311 0.154813
1.41906 12.3 0.827847 0.164905
1.41906 12.35 0.839897 0.174905
1.41906 12.4 0.852141 0.19009
1.41906 12.45 0.864329 0.20528
1.41906 12.5 0.876295 0.222386
1.41906 12.55 0.887958 0.238844
1.41906 12.6 0.899292 0.251505
1.41906 12.65 0.910313 0.262929
1.41906 12.7 0.921055 0.275132
1.41906 12.75 0.931559 0.28686
1.41906 12.8 0.941868 0.295932
1.41906 12.85 0.952018 0.308031
1.41906 12.9 0.962042 0.324621
1.41906 12.95 0.971966 0.337918
1.41906 13 0.98181 0.350006
1.41906 13.05 0.991592 0.367292
1.41906 13.1 1.00133 0.379685
1.41906 13.15 1.01102 0.391871
1.41906 13.2 1.02069 0.401957
1.41906 13.25 1.03033 0.411145
1.41906 13.3 1.03995 0.42419
1.41906 13.35 1.04956 0.438622
1.41906 13.4 1.05915 0.457754
1.41906 13.45 1.06874 0.468816
1.41906 13.5 1.07832 0.480237
1.41906 13.55 1.0879 0.496227
1.41906 13.6 1.09747 0.508461
1.41906 13.65 1.10703 0.521552
1.41906 13.7 1.1166 0.534979
1.41906 13.75 1.12616 0.549711
1.41906 13.8 1.13572 0.567446
1.41906 13.85 1.14528 0.582366
1.41906 13.9 1.15484 0.597024
1.41906 13.95 1.1644 0.61107
1.41906 14 1.17395 0.623671
1.41906 14.05 1.18351 0.636043
1.41906 14.1 1.19307 0.648774
1.41906 14.15 1.20262 0.661732
1.41906 14.2 1.21218 0.673733
1.41906 14.25 1.22173 0.684376
1.41906 14.3 1.23129 0.695788
1.41906 14.35 1.24084 0.705717
1.41906 14.4 1.2504 0.717447
1.41906 14.45 1.25995 0.729245
1.41906 14.5 1.26951 0.741989
1.41906 14.55 1.27906 0.756087
1.41906 14.6 1.28862 0.768157
1.41906 14.65 1.29817 0.779919
1.41906 14.7 1.30773 0.792418
1.41906 14.75 1.31728 0.80437
1.41906 14.8 1.32684 0.817153
1.41906 14.85 1.33639 0.832232
1.41906 14.9 1.34595 0.847391
1.41906 14.95 1.3555 0.863178
1.41906 15 1.36506 0.877471
1.43219 10 -3.30726 0.17028
1.43219 10.05 -3.19224 0.165504
1.43219 10.1 -3.07722 0.157465
1.43219 10.15 -2.96221 0.152082
1.43219 10.2 -2.84722 0.148823
1.43219 10.25 -2.73223 0.149145
1.43219 10.3 -2.61726 0.147292
1.43219 10.35 -2.5023 0.14511
1.43219 10.4 -2.38737 0.139827
1.43219 10.45 -2.27247 0.138483
1.43219 10.5 -2.15758 0.135456
1.43219 10.55 -2.04271 0.132343
1.43219 10.6 -1.9278 0.131611
1.43219 10.65 -1.81278 0.130898
1.43219 10.7 -1.6975 0.12984
1.43219 10.75 -1.58169 0.129458
1.43219 10.8 -1.46493 0.125945
1.43219 10.85 -1.34658 0.125345
1.43219 10.9 -1.22584 0.121966
1.43219 10.95 -1.10178 0.120365
1.43219 11 -0.973527 0.118257
1.43219 11.05 -0.840566 0.117009
1.43219 11.1 -0.703006 0.11446
1.43219 11.15 -0.561788 0.112065
1.43219 11.2 -0.418673 0.112296
1.43219 11.25 -0.27602 0.109591
1.43219 11.3 -0.136454 0.109211
1.43219 11.35 -0.00253352 0.11022
1.43219 11.4 0.12349 0.111556
1.43219 11.45 0.2398 0.116675
1.43219 11.5 0.345051 0.115944
1.43219 11.55 0.438363 0.117411
1.43219 11.6 0.519284 0.11424
1.43219 11.65 0.587763 0.114441
1.43219 11.7 0.644128 0.11331
1.43219 11.75 0.689072 0.114019
1.43219 11.8 0.723648 0.115025
1.43219 11.85 0.749243 0.11334
1.43219 11.9 0.76753 0.115304
1.43219 11.95 0.780374 0.119636
1.43219 12 0.789682 0.121474
1.43219 12.05 0.797214 0.121235
1.43219 12.1 0.804402 0.123908
1.43219 12.15 0.812222 0.129538
1.43219 12.2 0.821159 0.141334
1.43219 12.25 0.831285 0.152404
1.43219 12.3 0.842392 0.164582
1.43219 12.35 0.854142 0.175413
1.43219 12.4 0.866189 0.190075
1.43219 12.45 0.878252 0.206184
1.43219 12.5 0.890139 0.22354
1.43219 12.55 0.901747 0.239973
1.43219 12.6 0.913036 0.253618
1.43219 12.65 0.924013 0.266418
1.43219 12.7 0.934708 0.280108
1.43219 12.75 0.94516 0.289221
1.43219 12.8 0.955412 0.298792
1.43219 12.85 0.9655 0.314569
1.43219 12.9 0.975458 0.329208
1.43219 12.95 0.985313 0.341746
1.43219 13 0.995085 0.356223
1.43219 13.05 1.00479 0.370538
1.43219 13.1 1.01445 0.38474
1.43219 13.15 1.02407 0.399655
1.43219 13.2 1.03365 0.410097
1.43219 13.25 1.04322 0.422186
1.43219 13.3 1.05276 0.430623
1.43219 13.35 1.06229 0.449092
1.43219 13.4 1.0718 0.464225
1.43219 13.45 1.08131 0.478621
1.43219 13.5 1.09081 0.494553
1.43219 13.55 1.1003 0.50913
1.43219 13.6 1.10979 0.521082
1.43219 13.65 1.11928 0.535436
1.43219 13.7 1.12876 0.548643
1.43219 13.75 1.13824 0.561633
1.43219 13.8 1.14772 0.574311
1.43219 13.85 1.1572 0.58816
1.43219 13.9 1.16667 0.602008
1.43219 13.95 1.17615 0.615855
1.43219 14 1.18563 0.629701
1.43219 14.05 1.1951 0.642486
1.43219 14.1 1.20457 0.655067
1.43219 14.15 1.21405 0.667386
1.43219 14.2 1.22352 0.680167
1.43219 14.25 1.233 0.694096
1.43219 14.3 1.24247 0.707089
1.43219 14.35 1.25194 0.716192
1.43219 14.4 1.26142 0.7295
1.43219 14.45 1.27089 0.742072
1.43219 14.5 1.28036 0.756707
1.43219 14.55 1.28984 0.769301
1.43219 14.6 1.29931 0.781537
1.43219 14.65 1.30878 0.794314
1.43219 14.7 1.31825 0.808744
1.43219 14.75 1.32773 0.825522
1.43219 14.8 1.3372 0.842314
1.43219 14.85 1.34667 0.859105
1.43219 14.9 1.35615 0.873912
1.43219 14.95 1.36562 0.888148
1.43219 15 1.37509 0.901199
1.44544 10 -3.30804 0.171352
1.44544 10.05 -3.19302 0.164695
1.44544 10.1 -3.07801 0.158743
1.44544 10.15 -2.963 0.154269
1.44544 10.2 -2.848 0.149477
1.44544 10.25 -2.73302 0.149028
1.44544 10.3 -2.61805 0.147431
1.44544 10.35 -2.50309 0.144934
1.44544 10.4 -2.38816 0.139789
1.44544 10.45 -2.27326 0.137727
1.44544 10.5 -2.15837 0.134996
1.44544 10.55 -2.04349 0.133295
1.44544 10.6 -1.92859 0.130758
1.44544 10.65 -1.81359 0.131942
1.44544 10.7 -1.69834 0.130277
1.44544 10.75 -1.5826 0.129178
1.44544 10.8 -1.46594 0.12672
1.44544 10.85 -1.34775 0.125446
1.44544 10.9 -1.22721 0.123043
1.44544 10.95 -1.10339 0.120264
1.44544 11 -0.975364 0.118175
1.44544 11.05 -0.842531 0.117255
1.44544 11.1 -0.704907 0.114042
1.44544 11.15 -0.563341 0.113284
1.44544 11.2 -0.419535 0.113245
1.44544 11.25 -0.275836 0.11058
1.44544 11.3 -0.1349 0.109515
1.44544 11.35 0.000652935 0.110268
1.44544 11.4 0.128497 0.111971
1.44544 11.45 0.246737 0.1161
1.44544 11.5 0.353959 0.116431
1.44544 11.55 0.449214 0.117131
1.44544 11.6 0.531993 0.114589
1.44544 11.65 0.602188 0.113813
