#1+z Log10(Mass/Msun) Log10(Median_SFR_for_SF_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
1 13.05 0.456223 0.366202
1 13.1 0.467448 0.375535
1 13.15 0.478661 0.383687
1 13.2 0.489865 0.390113
1 13.25 0.501062 0.398766
1 13.3 0.512253 0.408312
1 13.35 0.52344 0.417283
1 13.4 0.534623 0.424355
1 13.45 0.545803 0.432986
1 13.5 0.556981 0.441346
1 13.55 0.568157 0.449894
1 13.6 0.579331 0.458441
1 13.65 0.590505 0.468998
1 13.7 0.601678 0.482839
1 13.75 0.61285 0.4937
1 13.8 0.624021 0.507069
1 13.85 0.635192 0.516522
1 13.9 0.646363 0.528775
1 13.95 0.657533 0.541101
1 14 0.668703 0.548174
1 14.05 0.679873 0.557238
1 14.1 0.691043 0.571121
1 14.15 0.702213 0.58477
1 14.2 0.713383 0.596048
1 14.25 0.724552 0.606089
1 14.3 0.735722 0.615278
1 14.35 0.746891 0.624863
1 14.4 0.758061 0.635429
1 14.45 0.76923 0.645929
1 14.5 0.7804 0.659185
1 14.55 0.791569 0.671072
1 14.6 0.802738 0.684071
1 14.65 0.813908 0.694938
1 14.7 0.825077 0.706512
1 14.75 0.836246 0.721348
1 14.8 0.847416 0.734873
1 14.85 0.858585 0.745871
1 14.9 0.869755 0.756523
1 14.95 0.880924 0.766172
1 15 0.892093 0.775531
1.00925 10 -3.22911 0.239719
1.00925 10.05 -3.11605 0.232509
1.00925 10.1 -3.00303 0.219037
1.00925 10.15 -2.89004 0.210324
1.00925 10.2 -2.7771 0.201159
1.00925 10.25 -2.66421 0.192152
1.00925 10.3 -2.55138 0.186653
1.00925 10.35 -2.43863 0.182264
1.00925 10.4 -2.32595 0.17292
1.00925 10.45 -2.21334 0.170524
1.00925 10.5 -2.10079 0.165054
1.00925 10.55 -1.98825 0.160026
1.00925 10.6 -1.87567 0.157636
1.00925 10.65 -1.76296 0.152886
1.00925 10.7 -1.65006 0.149138
1.00925 10.75 -1.5369 0.149766
1.00925 10.8 -1.42349 0.152388
1.00925 10.85 -1.30996 0.152506
1.00925 10.9 -1.19661 0.155362
1.00925 10.95 -1.08394 0.155375
1.00925 11 -0.972642 0.156174
1.00925 11.05 -0.863573 0.154955
1.00925 11.1 -0.757683 0.153773
1.00925 11.15 -0.655941 0.154876
1.00925 11.2 -0.559246 0.154372
1.00925 11.25 -0.468373 0.151448
1.00925 11.3 -0.383916 0.14695
1.00925 11.35 -0.306269 0.145732
1.00925 11.4 -0.235611 0.143708
1.00925 11.45 -0.171911 0.14361
1.00925 11.5 -0.114945 0.142259
1.00925 11.55 -0.064316 0.142938
1.00925 11.6 -0.0194931 0.143326
1.00925 11.65 0.020142 0.14515
1.00925 11.7 0.0552455 0.146665
1.00925 11.75 0.0864633 0.151941
1.00925 11.8 0.114392 0.15675
1.00925 11.85 0.139557 0.161184
1.00925 11.9 0.162399 0.162059
1.00925 11.95 0.183285 0.164554
1.00925 12 0.202516 0.169057
1.00925 12.05 0.220343 0.174917
1.00925 12.1 0.23698 0.177822
1.00925 12.15 0.252611 0.182431
1.00925 12.2 0.267399 0.185081
1.00925 12.25 0.281487 0.192901
1.00925 12.3 0.294998 0.199056
1.00925 12.35 0.308038 0.209985
1.00925 12.4 0.320698 0.216081
1.00925 12.45 0.333051 0.228176
1.00925 12.5 0.345158 0.237502
1.00925 12.55 0.35707 0.245981
1.00925 12.6 0.368827 0.251487
1.00925 12.65 0.38046 0.257913
1.00925 12.7 0.391995 0.267629
1.00925 12.75 0.403453 0.277712
1.00925 12.8 0.414849 0.290921
1.00925 12.85 0.426197 0.300102
1.00925 12.9 0.437506 0.306948
1.00925 12.95 0.448784 0.314912
1.00925 13 0.460039 0.332223
1.00925 13.05 0.471274 0.345907
1.00925 13.1 0.482495 0.35488
1.00925 13.15 0.493703 0.359996
1.00925 13.2 0.504902 0.361306
1.00925 13.25 0.516094 0.369093
1.00925 13.3 0.527279 0.379715
1.00925 13.35 0.53846 0.39051
1.00925 13.4 0.549638 0.400628
1.00925 13.45 0.560812 0.409431
1.00925 13.5 0.571984 0.419433
1.00925 13.55 0.583155 0.429651
1.00925 13.6 0.594323 0.439636
1.00925 13.65 0.605491 0.448876
1.00925 13.7 0.616658 0.459817
1.00925 13.75 0.627824 0.469447
1.00925 13.8 0.63899 0.479076
1.00925 13.85 0.650155 0.489734
1.00925 13.9 0.661319 0.499867
1.00925 13.95 0.672484 0.507964
1.00925 14 0.683648 0.517281
1.00925 14.05 0.694812 0.529139
1.00925 14.1 0.705976 0.540892
1.00925 14.15 0.71714 0.550421
1.00925 14.2 0.728304 0.560662
1.00925 14.25 0.739467 0.570472
1.00925 14.3 0.750631 0.580331
1.00925 14.35 0.761794 0.588598
1.00925 14.4 0.772958 0.599975
1.00925 14.45 0.784121 0.611353
1.00925 14.5 0.795285 0.623821
1.00925 14.55 0.806448 0.634685
1.00925 14.6 0.817612 0.647823
1.00925 14.65 0.828775 0.661327
1.00925 14.7 0.839939 0.67156
1.00925 14.75 0.851102 0.680815
1.00925 14.8 0.862265 0.690206
1.00925 14.85 0.873429 0.702447
1.00925 14.9 0.884592 0.713636
1.00925 14.95 0.895756 0.725998
1.00925 15 0.906919 0.739062
1.01859 10 -3.23194 0.232504
1.01859 10.05 -3.11877 0.229538
1.01859 10.1 -3.00563 0.215088
1.01859 10.15 -2.89253 0.205465
1.01859 10.2 -2.77947 0.195485
1.01859 10.25 -2.66646 0.18766
1.01859 10.3 -2.55351 0.182389
1.01859 10.35 -2.44063 0.17776
1.01859 10.4 -2.32783 0.170463
1.01859 10.45 -2.21509 0.167704
1.01859 10.5 -2.10239 0.16368
1.01859 10.55 -1.98971 0.156827
1.01859 10.6 -1.87696 0.155215
1.01859 10.65 -1.76407 0.150428
1.01859 10.7 -1.65095 0.148743
1.01859 10.75 -1.5375 0.147446
1.01859 10.8 -1.42374 0.149409
