#1+z Log10(Mass/Msun) Log10(Average_SFR_for_All_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
1.01859 11.7 -0.135315 0.140187
1.01859 11.75 -0.113388 0.143371
1.01859 11.8 -0.0951469 0.144351
1.01859 11.85 -0.0800605 0.145457
1.01859 11.9 -0.0676826 0.15042
1.01859 11.95 -0.0576491 0.151739
1.01859 12 -0.0496641 0.157026
1.01859 12.05 -0.0434844 0.160837
1.01859 12.1 -0.0389051 0.158471
1.01859 12.15 -0.0357493 0.164181
1.01859 12.2 -0.0338621 0.170325
1.01859 12.25 -0.0331073 0.175442
1.01859 12.3 -0.0333664 0.181376
1.01859 12.35 -0.0345376 0.187266
1.01859 12.4 -0.0365353 0.19244
1.01859 12.45 -0.0392886 0.199475
1.01859 12.5 -0.0427402 0.208235
1.01859 12.55 -0.046844 0.215201
1.01859 12.6 -0.0515639 0.222618
1.01859 12.65 -0.0568718 0.226273
1.01859 12.7 -0.062746 0.234842
1.01859 12.75 -0.0691704 0.247105
1.01859 12.8 -0.0761328 0.258644
1.01859 12.85 -0.0836245 0.269077
1.01859 12.9 -0.0916394 0.279942
1.01859 12.95 -0.100173 0.284835
1.01859 13 -0.109224 0.296928
1.01859 13.05 -0.11879 0.307649
1.01859 13.1 -0.128872 0.317287
1.01859 13.15 -0.13947 0.328387
1.01859 13.2 -0.150585 0.343467
1.01859 13.25 -0.162219 0.358329
1.01859 13.3 -0.174373 0.373405
1.01859 13.35 -0.187051 0.38539
1.01859 13.4 -0.200253 0.402027
1.01859 13.45 -0.213984 0.421159
1.01859 13.5 -0.228245 0.43273
1.01859 13.55 -0.243039 0.443003
1.01859 13.6 -0.258368 0.45846
1.01859 13.65 -0.274236 0.474552
1.01859 13.7 -0.290645 0.49106
1.01859 13.75 -0.307597 0.505882
1.01859 13.8 -0.325095 0.520745
1.01859 13.85 -0.343142 0.536162
1.01859 13.9 -0.36174 0.54845
1.01859 13.95 -0.380892 0.569662
1.01859 14 -0.4006 0.588682
1.01859 14.05 -0.420866 0.602293
1.01859 14.1 -0.441692 0.626763
1.01859 14.15 -0.463082 0.649479
1.01859 14.2 -0.485036 0.663301
1.01859 14.25 -0.507557 0.688867
1.01859 14.3 -0.530648 0.704447
1.01859 14.35 -0.55431 0.725662
1.01859 14.4 -0.578545 0.742172
1.01859 14.45 -0.603356 0.764153
1.01859 14.5 -0.628743 0.78894
1.01859 14.55 -0.654709 0.808315
1.01859 14.6 -0.681256 0.826036
1.01859 14.65 -0.708385 0.855494
1.01859 14.7 -0.736098 0.881501
1.01859 14.75 -0.764396 0.912489
1.01859 14.8 -0.793282 0.934591
1.01859 14.85 -0.822757 0.957246
1.01859 14.9 -0.852823 0.983839
1.01859 14.95 -0.88348 1.02445
1.01859 15 -0.91473 1.05261
1.02802 10 -3.27637 0.230242
1.02802 10.05 -3.16459 0.223075
1.02802 10.1 -3.05296 0.215037
1.02802 10.15 -2.94148 0.203798
1.02802 10.2 -2.83017 0.192853
1.02802 10.25 -2.71905 0.184228
1.02802 10.3 -2.60812 0.176816
1.02802 10.35 -2.49741 0.174134
1.02802 10.4 -2.38693 0.169756
1.02802 10.45 -2.27667 0.164587
1.02802 10.5 -2.16662 0.156391
1.02802 10.55 -2.05676 0.150662
1.02802 10.6 -1.947 0.150002
1.02802 10.65 -1.83728 0.147103
1.02802 10.7 -1.72748 0.143601
1.02802 10.75 -1.61753 0.141898
1.02802 10.8 -1.50739 0.140257
1.02802 10.85 -1.39717 0.1406
1.02802 10.9 -1.28712 0.142316
1.02802 10.95 -1.17773 0.144084
1.02802 11 -1.0697 0.14494
1.02802 11.05 -0.963929 0.141114
1.02802 11.1 -0.861417 0.142017
1.02802 11.15 -0.763211 0.140817
1.02802 11.2 -0.670299 0.140777
1.02802 11.25 -0.583536 0.142889
1.02802 11.3 -0.503593 0.139963
1.02802 11.35 -0.430925 0.139225
1.02802 11.4 -0.36576 0.138738
1.02802 11.45 -0.308101 0.139709
1.02802 11.5 -0.257742 0.137844
1.02802 11.55 -0.21429 0.134264
1.02802 11.6 -0.177207 0.134623
1.02802 11.65 -0.145855 0.137384
1.02802 11.7 -0.119549 0.136759
1.02802 11.75 -0.0976111 0.141409
1.02802 11.8 -0.0794137 0.139648
1.02802 11.85 -0.0644091 0.144049
1.02802 11.9 -0.0521407 0.149231
1.02802 11.95 -0.0422388 0.149088
1.02802 12 -0.0344067 0.149668
1.02802 12.05 -0.0284033 0.157115
1.02802 12.1 -0.0240271 0.15638
1.02802 12.15 -0.0211047 0.15815
1.02802 12.2 -0.0194836 0.163316
1.02802 12.25 -0.019029 0.166359
1.02802 12.3 -0.0196226 0.171096
1.02802 12.35 -0.0211622 0.178144
1.02802 12.4 -0.0235611 0.182447
1.02802 12.45 -0.0267473 0.187248
1.02802 12.5 -0.0306622 0.196248
1.02802 12.55 -0.0352588 0.203553
1.02802 12.6 -0.0405001 0.208712
1.02802 12.65 -0.0463573 0.215571
1.02802 12.7 -0.0528083 0.224893
1.02802 12.75 -0.0598365 0.234571
1.02802 12.8 -0.0674295 0.242695
1.02802 12.85 -0.0755787 0.253079
1.02802 12.9 -0.0842776 0.261701
1.02802 12.95 -0.0935225 0.266945
1.02802 13 -0.103311 0.278123
1.02802 13.05 -0.113642 0.287623
1.02802 13.1 -0.124515 0.301804
1.02802 13.15 -0.135931 0.315578
1.02802 13.2 -0.147892 0.330842
1.02802 13.25 -0.160398 0.341355
1.02802 13.3 -0.173454 0.35767
1.02802 13.35 -0.187059 0.377275
1.02802 13.4 -0.201218 0.385806
1.02802 13.45 -0.215933 0.399096
1.02802 13.5 -0.231207 0.411469
1.02802 13.55 -0.247042 0.427541
1.02802 13.6 -0.263441 0.439052
1.02802 13.65 -0.280406 0.455104
1.02802 13.7 -0.297942 0.469114
1.02802 13.75 -0.31605 0.479131
1.02802 13.8 -0.334733 0.491936
1.02802 13.85 -0.353994 0.512983
1.02802 13.9 -0.373836 0.528917
1.02802 13.95 -0.39426 0.54924
1.02802 14 -0.41527 0.569802
1.02802 14.05 -0.436869 0.588711
1.02802 14.1 -0.459057 0.603642
1.02802 14.15 -0.481838 0.617652
1.02802 14.2 -0.505214 0.638518
1.02802 14.25 -0.529188 0.659116
1.02802 14.3 -0.55376 0.680781
1.02802 14.35 -0.578934 0.701451
1.02802 14.4 -0.604712 0.719414
1.02802 14.45 -0.631095 0.737199
1.02802 14.5 -0.658086 0.757364
1.02802 14.55 -0.685686 0.774257
1.02802 14.6 -0.713898 0.802346
1.02802 14.65 -0.742722 0.828558
1.02802 14.7 -0.772161 0.852997
1.02802 14.75 -0.802217 0.893606
1.02802 14.8 -0.832891 0.920602
1.02802 14.85 -0.864185 0.947105
1.02802 14.9 -0.8961 0.971863
1.02802 14.95 -0.928638 1.00478
1.02802 15 -0.961801 1.0304
1.03753 10 -3.27682 0.228147
1.03753 10.05 -3.16487 0.218653
1.03753 10.1 -3.05306 0.21141
1.03753 10.15 -2.9414 0.197859
1.03753 10.2 -2.82991 0.188923
1.03753 10.25 -2.71861 0.179897
1.03753 10.3 -2.6075 0.173989
1.03753 10.35 -2.49661 0.173418
1.03753 10.4 -2.38594 0.167715
1.03753 10.45 -2.27549 0.160997
1.03753 10.5 -2.16525 0.153542
1.03753 10.55 -2.05519 0.150237
1.03753 10.6 -1.94523 0.14844
1.03753 10.65 -1.83528 0.145074
1.03753 10.7 -1.72524 0.142428
1.03753 10.75 -1.61498 0.139303
1.03753 10.8 -1.50448 0.13736
1.03753 10.85 -1.3938 0.139285
1.03753 10.9 -1.28318 0.139662
1.03753 10.95 -1.17308 0.142647
1.03753 11 -1.06422 0.141449
1.03753 11.05 -0.957483 0.138211
1.03753 11.1 -0.853919 0.140817
1.03753 11.15 -0.754604 0.138919
1.03753 11.2 -0.660565 0.140136
1.03753 11.25 -0.5727 0.140853
1.03753 11.3 -0.491717 0.1398
1.03753 11.35 -0.418101 0.137226
1.03753 11.4 -0.352104 0.136107
1.03753 11.45 -0.293745 0.138369
1.03753 11.5 -0.242825 0.136858
1.03753 11.55 -0.198952 0.132371
1.03753 11.6 -0.16158 0.133041
1.03753 11.65 -0.130059 0.134608
1.03753 11.7 -0.103683 0.134905
1.03753 11.75 -0.0817537 0.137292
1.03753 11.8 -0.0636217 0.139197
1.03753 11.85 -0.0487219 0.14118
1.03753 11.9 -0.0365852 0.145754
1.03753 11.95 -0.0268353 0.14659
1.03753 12 -0.0191744 0.146549
1.03753 12.05 -0.0133635 0.149986
1.03753 12.1 -0.00920522 0.153809
1.03753 12.15 -0.00653003 0.152699
1.03753 12.2 -0.00518871 0.155517
1.03753 12.25 -0.00504841 0.159832
1.03753 12.3 -0.00599155 0.163682
1.03753 12.35 -0.00791569 0.172953
1.03753 12.4 -0.0107334 0.177514
1.03753 12.45 -0.0143715 0.180488
1.03753 12.5 -0.0187704 0.187316
1.03753 12.55 -0.0238821 0.19415
1.03753 12.6 -0.0296685 0.198691
1.03753 12.65 -0.0361004 0.207746
1.03753 12.7 -0.043155 0.215428
1.03753 12.75 -0.0508155 0.221803
1.03753 12.8 -0.0590693 0.233411
1.03753 12.85 -0.0679075 0.23983
1.03753 12.9 -0.0773237 0.249251
1.03753 12.95 -0.0873141 0.256336
1.03753 13 -0.0978763 0.266432
1.03753 13.05 -0.109009 0.274535
1.03753 13.1 -0.120713 0.288088
1.03753 13.15 -0.132989 0.301948
1.03753 13.2 -0.145838 0.315155
1.03753 13.25 -0.159263 0.329077
1.03753 13.3 -0.173265 0.344232
1.03753 13.35 -0.187847 0.355427
1.03753 13.4 -0.203011 0.37316
1.03753 13.45 -0.218761 0.377052
1.03753 13.5 -0.2351 0.395666
1.03753 13.55 -0.25203 0.407055
1.03753 13.6 -0.269554 0.419141
1.03753 13.65 -0.287676 0.42723
1.03753 13.7 -0.306398 0.443996
1.03753 13.75 -0.325723 0.45783
1.03753 13.8 -0.345654 0.480323
1.03753 13.85 -0.366194 0.501301
1.03753 13.9 -0.387345 0.510989
1.03753 13.95 -0.40911 0.528897
1.03753 14 -0.431493 0.549081
1.03753 14.05 -0.454494 0.567612
1.03753 14.1 -0.478118 0.586675
1.03753 14.15 -0.502366 0.611809
1.03753 14.2 -0.52724 0.634256
1.03753 14.25 -0.552744 0.647816
1.03753 14.3 -0.578879 0.659735
1.03753 14.35 -0.605647 0.673193
1.03753 14.4 -0.633051 0.690408
1.03753 14.45 -0.661093 0.730189
1.03753 14.5 -0.689775 0.746368
1.03753 14.55 -0.719098 0.76473
1.03753 14.6 -0.749065 0.808772
1.03753 14.65 -0.779678 0.836451
1.03753 14.7 -0.810938 0.86141
1.03753 14.75 -0.842847 0.892244
1.03753 14.8 -0.875407 0.917173
1.03753 14.85 -0.908619 0.939327
1.03753 14.9 -0.942486 0.962879
1.03753 14.95 -0.977008 0.990121
1.03753 15 -1.01219 1.01653
1.04713 10 -3.27732 0.22398
1.04713 10.05 -3.1652 0.215051
1.04713 10.1 -3.05322 0.204988
1.04713 10.15 -2.94138 0.195016
1.04713 10.2 -2.82971 0.18512
1.04713 10.25 -2.71823 0.176811
1.04713 10.3 -2.60694 0.173983
1.04713 10.35 -2.49586 0.170601
1.04713 10.4 -2.385 0.164674
1.04713 10.45 -2.27437 0.157278
1.04713 10.5 -2.16395 0.152511
1.04713 10.55 -2.05369 0.151041
1.04713 10.6 -1.94353 0.147057
1.04713 10.65 -1.83336 0.144612
1.04713 10.7 -1.72307 0.14254
1.04713 10.75 -1.61253 0.137357
1.04713 10.8 -1.50167 0.135846
1.04713 10.85 -1.39053 0.136677
1.04713 10.9 -1.27934 0.138249
1.04713 10.95 -1.16855 0.139058
1.04713 11 -1.05885 0.139434
1.04713 11.05 -0.951147 0.136949
1.04713 11.1 -0.846516 0.138441
1.04713 11.15 -0.746069 0.138976
1.04713 11.2 -0.650876 0.138833
1.04713 11.25 -0.561878 0.139997
1.04713 11.3 -0.479821 0.139198
1.04713 11.35 -0.405226 0.13649
1.04713 11.4 -0.338369 0.134102
1.04713 11.45 -0.279286 0.13543
1.04713 11.5 -0.227788 0.134252
1.04713 11.55 -0.183484 0.131241
1.04713 11.6 -0.145823 0.131774
1.04713 11.65 -0.114139 0.133363
1.04713 11.7 -0.0877065 0.134486
1.04713 11.75 -0.0658045 0.135526
1.04713 11.8 -0.0477606 0.137495
1.04713 11.85 -0.0329897 0.139229
1.04713 11.9 -0.0210083 0.140967
1.04713 11.95 -0.0114327 0.141939
1.04713 12 -0.00396283 0.143321
1.04713 12.05 0.00163778 0.146462
1.04713 12.1 0.00556233 0.149319
1.04713 12.15 0.00797547 0.151315
1.04713 12.2 0.00902249 0.154454
1.04713 12.25 0.00883364 0.157275
1.04713 12.3 0.00752523 0.158246
1.04713 12.35 0.00519958 0.163582
1.04713 12.4 0.00194471 0.169306
1.04713 12.45 -0.00216539 0.171411
1.04713 12.5 -0.0070699 0.180523
1.04713 12.55 -0.0127198 0.185357
1.04713 12.6 -0.0190764 0.18721
1.04713 12.65 -0.0261095 0.194673
1.04713 12.7 -0.033796 0.205472
1.04713 12.75 -0.0421187 0.212691
1.04713 12.8 -0.0510648 0.219916
1.04713 12.85 -0.0606251 0.228882
1.04713 12.9 -0.0707935 0.238177
1.04713 12.95 -0.081566 0.243758
1.04713 13 -0.0929403 0.251456
1.04713 13.05 -0.104916 0.264161
1.04713 13.1 -0.117492 0.276195
1.04713 13.15 -0.130671 0.291387
1.04713 13.2 -0.144454 0.303741
1.04713 13.25 -0.158842 0.31758
1.04713 13.3 -0.173839 0.327398
1.04713 13.35 -0.189448 0.344273
1.04713 13.4 -0.20567 0.353098
1.04713 13.45 -0.222509 0.368987
1.04713 13.5 -0.239969 0.375395
1.04713 13.55 -0.258051 0.385679
1.04713 13.6 -0.27676 0.4033
1.04713 13.65 -0.296099 0.418311
1.04713 13.7 -0.31607 0.435541
1.04713 13.75 -0.336676 0.44686
