#1+z Log10(Mass/Msun) Log10(Average_SFR_for_All_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
1.69044 12.65 -0.0995047 0.524114
1.69044 12.7 -0.24193 0.581666
1.69044 12.75 -0.394191 0.664507
1.69044 12.8 -0.556448 0.736995
1.69044 12.85 -0.7288 0.815805
1.69044 12.9 -0.911317 0.896738
1.69044 12.95 -1.10405 0.980837
1.69044 13 -1.30703 1.06362
1.69044 13.05 -1.5203 1.16053
1.69044 13.1 -1.74389 1.25886
1.69044 13.15 -1.97785 1.37195
1.69044 13.2 -2.22219 1.47188
1.69044 13.25 -2.47695 1.58928
1.69044 13.3 -2.74217 1.71443
1.69044 13.35 -3.01787 1.84071
1.69044 13.4 -3.30408 1.96924
1.69044 13.45 -3.60082 2.07327
1.69044 13.5 -3.90812 2.15999
1.69044 13.55 -4.22601 2.31546
1.69044 13.6 -4.5545 2.45572
1.69044 13.65 -4.89362 2.59635
1.69044 13.7 -5.24338 2.7436
1.69044 13.75 -5.60381 2.88637
1.69044 13.8 -5.97492 2.93583
1.69044 13.85 -6.35672 3.06827
1.69044 13.9 -6.74923 3.23806
1.69044 13.95 -7.15247 3.3674
1.69044 14 -7.56645 3.50483
1.69044 14.05 -7.99118 3.60448
1.69044 14.1 -8.42667 3.72671
1.69044 14.15 -8.87294 3.81055
1.69044 14.2 -9.32998 4.01064
1.69044 14.25 -9.79782 4.25082
1.69044 14.3 -10.2765 4.76159
1.69044 14.35 -10.7659 5.66347
1.69044 14.4 -11.2662 5.7428
1.69044 14.45 -11.7775 5.84307
1.69044 14.5 -12.2987 5.70321
1.69044 14.55 -12.8281 5.75334
1.69044 14.6 -13.3768 5.73058
1.69044 14.65 -13.8921 5.8168
1.69044 14.7 -14.3616 5.83275
1.69044 14.75 0 5.92638
1.69044 14.8 0 6.00307
1.69044 14.85 0 5.89172
1.69044 14.9 0 5.9651
1.69044 14.95 0 5.85427
1.69044 15 0 5.68069
1.70608 10 -3.20507 0.205594
1.70608 10.05 -3.09047 0.197095
1.70608 10.1 -2.97587 0.189442
1.70608 10.15 -2.86128 0.180508
1.70608 10.2 -2.74669 0.173052
1.70608 10.25 -2.6321 0.166105
1.70608 10.3 -2.51752 0.159957
1.70608 10.35 -2.40295 0.154256
1.70608 10.4 -2.2884 0.149869
1.70608 10.45 -2.17385 0.145606
1.70608 10.5 -2.05933 0.145243
1.70608 10.55 -1.94482 0.14051
1.70608 10.6 -1.83033 0.136583
1.70608 10.65 -1.71584 0.136634
1.70608 10.7 -1.60132 0.133116
1.70608 10.75 -1.48669 0.134293
1.70608 10.8 -1.37181 0.134021
1.70608 10.85 -1.25639 0.132005
1.70608 10.9 -1.13995 0.130543
1.70608 10.95 -1.02176 0.131079
1.70608 11 -0.900773 0.130498
1.70608 11.05 -0.775688 0.12774
1.70608 11.1 -0.645142 0.123359
1.70608 11.15 -0.508061 0.119113
1.70608 11.2 -0.36413 0.115794
1.70608 11.25 -0.214153 0.112706
1.70608 11.3 -0.0601456 0.110247
1.70608 11.35 0.0949281 0.109595
1.70608 11.4 0.247629 0.108889
1.70608 11.45 0.394518 0.113026
1.70608 11.5 0.532489 0.115477
1.70608 11.55 0.658919 0.117916
1.70608 11.6 0.7717 0.121842
1.70608 11.65 0.869198 0.124876
1.70608 11.7 0.950189 0.125273
1.70608 11.75 1.01382 0.123169
1.70608 11.8 1.05957 0.125317
1.70608 11.85 1.08727 0.123196
1.70608 11.9 1.09708 0.126059
1.70608 11.95 1.08958 0.131995
1.70608 12 1.06574 0.134085
1.70608 12.05 1.02695 0.132346
1.70608 12.1 0.974985 0.126507
1.70608 12.15 0.911839 0.127182
1.70608 12.2 0.83953 0.131168
1.70608 12.25 0.759802 0.147313
1.70608 12.3 0.673864 0.167719
1.70608 12.35 0.58224 0.205781
1.70608 12.4 0.484793 0.250211
1.70608 12.45 0.380905 0.298534
1.70608 12.5 0.269715 0.356103
1.70608 12.55 0.150337 0.409299
1.70608 12.6 0.0220028 0.48134
1.70608 12.65 -0.115881 0.545921
1.70608 12.7 -0.263735 0.61231
1.70608 12.75 -0.421839 0.694013
1.70608 12.8 -0.590368 0.768033
1.70608 12.85 -0.769437 0.852729
1.70608 12.9 -0.959118 0.9322
1.70608 12.95 -1.15947 1.0297
1.70608 13 -1.37052 1.1315
1.70608 13.05 -1.59232 1.22992
1.70608 13.1 -1.82491 1.31698
1.70608 13.15 -2.06831 1.44606
1.70608 13.2 -2.32256 1.56562
1.70608 13.25 -2.58769 1.67542
1.70608 13.3 -2.86374 1.80292
1.70608 13.35 -3.15072 1.93271
1.70608 13.4 -3.44868 2.06829
1.70608 13.45 -3.75764 2.15505
1.70608 13.5 -4.07762 2.26276
1.70608 13.55 -4.40865 2.39602
1.70608 13.6 -4.75075 2.54229
1.70608 13.65 -5.10393 2.70199
1.70608 13.7 -5.46823 2.87537
1.70608 13.75 -5.84365 2.94652
1.70608 13.8 -6.23022 3.08887
1.70608 13.85 -6.62795 3.24777
1.70608 13.9 -7.03686 3.38004
1.70608 13.95 -7.45695 3.50699
1.70608 14 -7.88825 3.67328
1.70608 14.05 -8.33077 3.74506
1.70608 14.1 -8.78451 3.89365
1.70608 14.15 -9.2495 4.06579
1.70608 14.2 -9.72573 4.35208
1.70608 14.25 -10.2132 5.61678
1.70608 14.3 -10.712 5.60022
1.70608 14.35 -11.2218 5.76633
1.70608 14.4 -11.743 5.77978
1.70608 14.45 -12.2767 5.6956
1.70608 14.5 -12.8149 5.63443
1.70608 14.55 -13.3756 5.73939
1.70608 14.6 -13.891 5.80804
1.70608 14.65 -14.3606 5.78653
1.70608 14.7 0 5.87196
1.70608 14.75 0 5.90633
1.70608 14.8 0 5.9807
1.70608 14.85 0 5.80229
1.70608 14.9 0 5.8359
1.70608 14.95 0 5.58888
1.70608 15 0 5.49312
1.72187 10 -3.20338 0.206557
1.72187 10.05 -3.08882 0.196798
1.72187 10.1 -2.97426 0.190843
1.72187 10.15 -2.85971 0.183602
1.72187 10.2 -2.74516 0.174185
1.72187 10.25 -2.63061 0.168903
1.72187 10.3 -2.51607 0.162996
1.72187 10.35 -2.40155 0.156716
1.72187 10.4 -2.28703 0.15141
1.72187 10.45 -2.17252 0.145799
1.72187 10.5 -2.05804 0.145929
1.72187 10.55 -1.94357 0.13983
1.72187 10.6 -1.82912 0.136289
1.72187 10.65 -1.71467 0.135903
1.72187 10.7 -1.6002 0.133115
1.72187 10.75 -1.48563 0.133924
1.72187 10.8 -1.37083 0.135076
1.72187 10.85 -1.25553 0.133523
1.72187 10.9 -1.13929 0.130734
1.72187 10.95 -1.02139 0.130641
1.72187 11 -0.900811 0.130159
1.72187 11.05 -0.776274 0.128888
1.72187 11.1 -0.64638 0.123363
1.72187 11.15 -0.509976 0.120015
1.72187 11.2 -0.366608 0.114984
1.72187 11.25 -0.216924 0.113103
1.72187 11.3 -0.0628057 0.110532
1.72187 11.35 0.0928581 0.110062
1.72187 11.4 0.246634 0.108587
1.72187 11.45 0.395034 0.112508
1.72187 11.5 0.534874 0.113455
1.72187 11.55 0.663445 0.118347
1.72187 11.6 0.778551 0.121894
1.72187 11.65 0.878473 0.125345
1.72187 11.7 0.961911 0.126255
1.72187 11.75 1.02793 0.124186
1.72187 11.8 1.07593 0.125417
1.72187 11.85 1.10564 0.123041
1.72187 11.9 1.11716 0.125242
1.72187 11.95 1.11094 0.131123
1.72187 12 1.08787 0.134252
1.72187 12.05 1.04925 0.133046
1.72187 12.1 0.99679 0.127047
1.72187 12.15 0.932448 0.126684
1.72187 12.2 0.858263 0.132926
1.72187 12.25 0.776053 0.147944
1.72187 12.3 0.687134 0.169962
1.72187 12.35 0.592149 0.211478
1.72187 12.4 0.491054 0.256448
1.72187 12.45 0.383278 0.307657
1.72187 12.5 0.267963 0.366002
1.72187 12.55 0.144198 0.425906
1.72187 12.6 0.0111701 0.503401
1.72187 12.65 -0.131758 0.577059
1.72187 12.7 -0.285042 0.64233
1.72187 12.75 -0.448991 0.724427
1.72187 12.8 -0.6238 0.805126
1.72187 12.85 -0.809593 0.892222
1.72187 12.9 -1.00645 0.988972
1.72187 12.95 -1.21444 1.08589
1.72187 13 -1.43359 1.19217
1.72187 13.05 -1.66394 1.29298
1.72187 13.1 -1.90555 1.407
1.72187 13.15 -2.15843 1.5293
1.72187 13.2 -2.42263 1.64924
1.72187 13.25 -2.69817 1.77753
1.72187 13.3 -2.9851 1.91386
1.72187 13.35 -3.28343 1.99822
1.72187 13.4 -3.5932 2.13902
1.72187 13.45 -3.91443 2.26463
1.72187 13.5 -4.24715 2.41386
1.72187 13.55 -4.59139 2.56258
1.72187 13.6 -4.94717 2.74043
1.72187 13.65 -5.3145 2.87191
1.72187 13.7 -5.69341 2.90906
1.72187 13.75 -6.08392 3.06784
1.72187 13.8 -6.48604 3.22889
1.72187 13.85 -6.89979 3.36849
1.72187 13.9 -7.32519 3.51691
1.72187 13.95 -7.76225 3.69414
1.72187 14 -8.21098 3.79714
1.72187 14.05 -8.6714 3.9016
1.72187 14.1 -9.14351 4.10393
1.72187 14.15 -9.62733 4.30857
1.72187 14.2 -10.1229 5.59812
1.72187 14.25 -10.6302 5.63678
1.72187 14.3 -11.1492 5.71826
1.72187 14.35 -11.6795 5.73374
1.72187 14.4 -12.2217 5.68219
1.72187 14.45 -12.7795 5.58316
1.72187 14.5 -13.3328 5.70626
1.72187 14.55 -13.8897 5.79329
1.72187 14.6 -14.3594 5.71122
1.72187 14.65 0 5.84166
1.72187 14.7 0 5.82472
1.72187 14.75 0 5.95186
1.72187 14.8 0 5.81039
1.72187 14.85 0 5.78354
1.72187 14.9 0 5.51696
1.72187 14.95 0 5.4898
1.72187 15 0 5.23436
1.7378 10 -3.20157 0.206894
1.7378 10.05 -3.08705 0.198553
1.7378 10.1 -2.97254 0.191589
1.7378 10.15 -2.85803 0.185041
1.7378 10.2 -2.74352 0.177039
1.7378 10.25 -2.62902 0.170387
1.7378 10.3 -2.51453 0.164259
1.7378 10.35 -2.40004 0.157935
1.7378 10.4 -2.28557 0.150993
1.7378 10.45 -2.1711 0.146525
1.7378 10.5 -2.05666 0.147099
1.7378 10.55 -1.94223 0.141316
1.7378 10.6 -1.82782 0.137116
1.7378 10.65 -1.71341 0.13528
1.7378 10.7 -1.59899 0.134065
1.7378 10.75 -1.48448 0.135025
1.7378 10.8 -1.36977 0.134721
1.7378 10.85 -1.25459 0.13444
1.7378 10.9 -1.13853 0.130657
1.7378 10.95 -1.02091 0.130722
1.7378 11 -0.90074 0.130295
1.7378 11.05 -0.77675 0.129296
1.7378 11.1 -0.647522 0.124238
1.7378 11.15 -0.511827 0.120128
1.7378 11.2 -0.36908 0.115287
1.7378 11.25 -0.219771 0.113004
1.7378 11.3 -0.0656371 0.111701
1.7378 11.35 0.0905175 0.10871
1.7378 11.4 0.245275 0.10791
1.7378 11.45 0.395107 0.11072
1.7378 11.5 0.536755 0.113594
1.7378 11.55 0.667421 0.117755
1.7378 11.6 0.784824 0.122123
1.7378 11.65 0.887161 0.125349
1.7378 11.7 0.973052 0.125998
1.7378 11.75 1.04148 0.124901
1.7378 11.8 1.09177 0.125242
1.7378 11.85 1.12357 0.122849
1.7378 11.9 1.13686 0.124115
1.7378 11.95 1.13203 0.131219
1.7378 12 1.10985 0.134241
1.7378 12.05 1.07154 0.132437
1.7378 12.1 1.01871 0.129013
1.7378 12.15 0.953306 0.126662
1.7378 12.2 0.877365 0.132187
1.7378 12.25 0.792768 0.149531
1.7378 12.3 0.700938 0.172179
1.7378 12.35 0.602634 0.214792
1.7378 12.4 0.497914 0.263108
1.7378 12.45 0.386263 0.316286
1.7378 12.5 0.266836 0.377481
1.7378 12.55 0.138697 0.435939
1.7378 12.6 0.000993724 0.504855
1.7378 12.65 -0.146956 0.592591
1.7378 12.7 -0.305647 0.670746
1.7378 12.75 -0.475415 0.759059
1.7378 12.8 -0.656478 0.857117
1.7378 12.85 -0.848973 0.939971
1.7378 12.9 -1.05299 1.03624
1.7378 12.95 -1.26859 1.14102
1.7378 13 -1.49581 1.24735
1.7378 13.05 -1.73472 1.36619
1.7378 13.1 -1.98533 1.48402
1.7378 13.15 -2.24768 1.60821
1.7378 13.2 -2.52182 1.73987
1.7378 13.25 -2.80777 1.86817
1.7378 13.3 -3.10557 1.99193
1.7378 13.35 -3.41524 2.12056
1.7378 13.4 -3.73682 2.27617
1.7378 13.45 -4.07033 2.41326
1.7378 13.5 -4.41581 2.58553
1.7378 13.55 -4.77327 2.77191
1.7378 13.6 -5.14273 2.83007
1.7378 13.65 -5.52422 2.95469
1.7378 13.7 -5.91776 3.05477
1.7378 13.75 -6.32337 3.21695
1.7378 13.8 -6.74107 3.35025
1.7378 13.85 -7.17086 3.56083
1.7378 13.9 -7.61278 3.68179
1.7378 13.95 -8.06682 3.82228
1.7378 14 -8.53301 3.93386
1.7378 14.05 -9.01136 4.1377
1.7378 14.1 -9.50188 4.40177
1.7378 14.15 -10.0046 5.5965
1.7378 14.2 -10.5195 5.6271
1.7378 14.25 -11.0464 5.64128
1.7378 14.3 -11.5856 5.78573
1.7378 14.35 -12.1368 5.5904
1.7378 14.4 -12.6987 5.57731
1.7378 14.45 -13.2935 5.7075
1.7378 14.5 -13.8883 5.77863
1.7378 14.55 -14.3582 5.74278
1.7378 14.6 0 5.709
1.7378 14.65 0 5.78169
1.7378 14.7 0 5.86943
1.7378 14.75 0 5.90446
1.7378 14.8 0 5.66302
1.7378 14.85 0 5.45558
1.7378 14.9 0 5.38489
1.7378 14.95 0 5.21181
1.7378 15 0 5.09193
1.75388 10 -3.19965 0.208219
1.75388 10.05 -3.08518 0.201101
1.75388 10.1 -2.97071 0.193299
1.75388 10.15 -2.85625 0.186336
1.75388 10.2 -2.74179 0.17826
1.75388 10.25 -2.62733 0.169792
1.75388 10.3 -2.51288 0.16558
1.75388 10.35 -2.39844 0.158884
1.75388 10.4 -2.28401 0.151689
1.75388 10.45 -2.16959 0.147905
1.75388 10.5 -2.05519 0.146226
1.75388 10.55 -1.9408 0.142513
1.75388 10.6 -1.82643 0.137641
1.75388 10.65 -1.71207 0.13516
1.75388 10.7 -1.5977 0.134719
1.75388 10.75 -1.48325 0.13325
1.75388 10.8 -1.36861 0.135377
1.75388 10.85 -1.25355 0.134234
1.75388 10.9 -1.13767 0.131133
1.75388 10.95 -1.02033 0.130856
1.75388 11 -0.900558 0.130425
1.75388 11.05 -0.777111 0.130389
1.75388 11.1 -0.648557 0.12654
1.75388 11.15 -0.513599 0.121238
1.75388 11.2 -0.371527 0.116639
1.75388 11.25 -0.222671 0.112492
1.75388 11.3 -0.0686162 0.111395
1.75388 11.35 0.0879292 0.108558
1.75388 11.4 0.243574 0.107719
1.75388 11.45 0.394756 0.110845
1.75388 11.5 0.538143 0.11311
1.75388 11.55 0.670855 0.115816
1.75388 11.6 0.790522 0.121189
1.75388 11.65 0.89526 0.126071
1.75388 11.7 0.983607 0.127186
1.75388 11.75 1.05447 0.125028
1.75388 11.8 1.10709 0.124868
1.75388 11.85 1.14102 0.124047
1.75388 11.9 1.15618 0.123871
1.75388 11.95 1.15283 0.131574
1.75388 12 1.13165 0.133739
1.75388 12.05 1.09377 0.134269
1.75388 12.1 1.04072 0.130499
1.75388 12.15 0.974399 0.126397
1.75388 12.2 0.896835 0.133035
1.75388 12.25 0.809963 0.149269
1.75388 12.3 0.715308 0.175311
1.75388 12.35 0.613748 0.218817
1.75388 12.4 0.505445 0.26752
1.75388 12.45 0.389953 0.327331
1.75388 12.5 0.266445 0.387675
1.75388 12.55 0.133968 0.453697
1.75388 12.6 -0.00836914 0.530179
1.75388 12.65 -0.161293 0.614619
1.75388 12.7 -0.325337 0.697491
1.75388 12.75 -0.50087 0.797344
1.75388 12.8 -0.688129 0.888445
1.75388 12.85 -0.887266 0.973211
1.75388 12.9 -1.09838 1.07923
1.75388 12.95 -1.32153 1.19292
1.75388 13 -1.55678 1.30561
1.75388 13.05 -1.80416 1.42961
1.75388 13.1 -2.06372 1.56377
1.75388 13.15 -2.33549 1.69984
1.75388 13.2 -2.61951 1.85262
1.75388 13.25 -2.9158 1.96826
1.75388 13.3 -3.22442 2.10062
1.75388 13.35 -3.54538 2.26455
1.75388 13.4 -3.87871 2.41149
1.75388 13.45 -4.22444 2.5462
1.75388 13.5 -4.58261 2.68964
1.75388 13.55 -4.95323 2.84278
1.75388 13.6 -5.33632 2.93883
1.75388 13.65 -5.73192 3.05181
1.75388 13.7 -6.14003 3.2079
1.75388 13.75 -6.56068 3.31585
1.75388 13.8 -6.99389 3.48981
1.75388 13.85 -7.43967 3.66918
1.75388 13.9 -7.89804 3.84882
1.75388 13.95 -8.36901 3.92818
1.75388 14 -8.8526 4.11948
1.75388 14.05 -9.34883 4.45311
1.75388 14.1 -9.85768 5.50837
1.75388 14.15 -10.3792 5.62667
1.75388 14.2 -10.9135 5.65353
1.75388 14.25 -11.4604 5.67559
1.75388 14.3 -12.0197 5.55841
1.75388 14.35 -12.5928 5.62431
1.75388 14.4 -13.1669 5.66957
1.75388 14.45 -13.7618 5.7061
1.75388 14.5 -14.3567 5.70253
1.75388 14.55 0 5.64835
1.75388 14.6 0 5.64554
1.75388 14.65 0 5.7534
1.75388 14.7 0 5.86259
1.75388 14.75 0 5.56698
1.75388 14.8 0 5.31564
1.75388 14.85 0 5.33857
1.75388 14.9 0 5.4573
1.75388 14.95 0 5.12972
1.75388 15 0 4.95205
1.77011 10 -3.19763 0.209514
1.77011 10.05 -3.0832 0.2023
1.77011 10.1 -2.96878 0.195701
1.77011 10.15 -2.85436 0.187702
1.77011 10.2 -2.73995 0.180454
1.77011 10.25 -2.62554 0.172694
1.77011 10.3 -2.51113 0.166889
1.77011 10.35 -2.39674 0.161261
1.77011 10.4 -2.28235 0.153858
1.77011 10.45 -2.16798 0.14839
1.77011 10.5 -2.05362 0.145744
1.77011 10.55 -1.93928 0.143283
1.77011 10.6 -1.82495 0.138508
1.77011 10.65 -1.71064 0.134798
1.77011 10.7 -1.59631 0.134945
1.77011 10.75 -1.48193 0.132389
1.77011 10.8 -1.36737 0.13449
1.77011 10.85 -1.25243 0.134186
1.77011 10.9 -1.13672 0.132037
1.77011 10.95 -1.01964 0.131669
1.77011 11 -0.90026 0.130973
1.77011 11.05 -0.777352 0.130995
1.77011 11.1 -0.649477 0.127615
1.77011 11.15 -0.51528 0.123095
1.77011 11.2 -0.373932 0.117403
1.77011 11.25 -0.225601 0.112715
1.77011 11.3 -0.0717192 0.110485
1.77011 11.35 0.0851168 0.108473
1.77011 11.4 0.241552 0.10697
1.77011 11.45 0.393997 0.108286
1.77011 11.5 0.539053 0.114369
1.77011 11.55 0.673757 0.114154
1.77011 11.6 0.795652 0.120872
1.77011 11.65 0.90277 0.125886
1.77011 11.7 0.993571 0.127469
1.77011 11.75 1.06688 0.125728
1.77011 11.8 1.12186 0.124683
1.77011 11.85 1.15799 0.123322
1.77011 11.9 1.17508 0.122706
1.77011 11.95 1.17331 0.130837
1.77011 12 1.15325 0.133623
1.77011 12.05 1.11593 0.134386
1.77011 12.1 1.06281 0.130496
1.77011 12.15 0.995715 0.126498
1.77011 12.2 0.916671 0.13327
1.77011 12.25 0.827655 0.151655
1.77011 12.3 0.730281 0.178574
1.77011 12.35 0.625547 0.224141
1.77011 12.4 0.513726 0.278235
1.77011 12.45 0.394447 0.335475
1.77011 12.5 0.266913 0.403299
1.77011 12.55 0.130157 0.473237
1.77011 12.6 -0.0167466 0.545554
1.77011 12.65 -0.174568 0.624799
1.77011 12.7 -0.343883 0.727733
1.77011 12.75 -0.525091 0.824121
1.77011 12.8 -0.718452 0.930068
1.77011 12.85 -0.924133 1.01441
1.77011 12.9 -1.14224 1.13411
1.77011 12.95 -1.37285 1.24479
1.77011 13 -1.61601 1.37164
1.77011 13.05 -1.87177 1.50093
1.77011 13.1 -2.14016 1.64104
1.77011 13.15 -2.42123 1.779
1.77011 13.2 -2.71502 1.91518
1.77011 13.25 -3.02155 2.05965
1.77011 13.3 -3.34086 2.21605
1.77011 13.35 -3.67298 2.35127
1.77011 13.4 -4.01794 2.48227
1.77011 13.45 -4.37577 2.62923
1.77011 13.5 -4.74649 2.76314
1.77011 13.55 -5.13014 2.92405
1.77011 13.6 -5.52674 3.05886
1.77011 13.65 -5.9363 3.1878
1.77011 13.7 -6.35884 3.33176
1.77011 13.75 -6.7944 3.43424
1.77011 13.8 -7.24298 3.62191
1.77011 13.85 -7.7046 3.79861
1.77011 13.9 -8.17928 3.91942
1.77011 13.95 -8.66703 4.19504
1.77011 14 -9.16786 4.43685
1.77011 14.05 -9.6818 5.49947
1.77011 14.1 -10.2088 5.64976
1.77011 14.15 -10.749 5.73134
1.77011 14.2 -11.3023 5.57126
1.77011 14.25 -11.8686 5.5472
1.77011 14.3 -12.4467 5.61674
1.77011 14.35 -13.0469 5.67859
1.77011 14.4 -13.6632 5.59245
1.77011 14.45 -14.3551 5.70484
1.77011 14.5 0 5.61609
1.77011 14.55 0 5.5744
1.77011 14.6 0 5.65114
1.77011 14.65 0 5.67891
1.77011 14.7 0 5.5643
1.77011 14.75 0 5.467
1.77011 14.8 0 5.29571
1.77011 14.85 0 5.36001
1.77011 14.9 0 5.25512
1.77011 14.95 0 4.97609
1.77011 15 0 4.85921
1.78649 10 -3.19548 0.211164
1.78649 10.05 -3.08111 0.204322
1.78649 10.1 -2.96674 0.196717
1.78649 10.15 -2.85237 0.189573
1.78649 10.2 -2.738 0.18214
1.78649 10.25 -2.62364 0.175552
1.78649 10.3 -2.50928 0.167674
1.78649 10.35 -2.39493 0.16241
1.78649 10.4 -2.28059 0.155581
1.78649 10.45 -2.16627 0.148423
1.78649 10.5 -2.05196 0.146604
1.78649 10.55 -1.93766 0.142963
1.78649 10.6 -1.82338 0.13937
1.78649 10.65 -1.70912 0.135051
1.78649 10.7 -1.59484 0.134526
1.78649 10.75 -1.48052 0.13399
1.78649 10.8 -1.36603 0.133494
1.78649 10.85 -1.2512 0.134103
1.78649 10.9 -1.13567 0.133324
1.78649 10.95 -1.01884 0.132944
1.78649 11 -0.899843 0.130827
1.78649 11.05 -0.777466 0.130511
1.78649 11.1 -0.650272 0.127917
1.78649 11.15 -0.516855 0.123141
1.78649 11.2 -0.376274 0.118472
1.78649 11.25 -0.22854 0.113745
1.78649 11.3 -0.0749205 0.110181
1.78649 11.35 0.082106 0.10854
1.78649 11.4 0.239233 0.106222
1.78649 11.45 0.392852 0.108034
1.78649 11.5 0.539504 0.115859
1.78649 11.55 0.676141 0.115392
1.78649 11.6 0.800222 0.12194
1.78649 11.65 0.909696 0.12318
1.78649 11.7 1.00294 0.12833
1.78649 11.75 1.07871 0.126509
1.78649 11.8 1.13609 0.125086
1.78649 11.85 1.17446 0.123089
1.78649 11.9 1.19355 0.122906
1.78649 11.95 1.19344 0.129945
1.78649 12 1.17461 0.134457
1.78649 12.05 1.13799 0.133984
1.78649 12.1 1.08495 0.130495
1.78649 12.15 1.01724 0.127333
1.78649 12.2 0.93687 0.133708
1.78649 12.25 0.845852 0.151915
1.78649 12.3 0.745883 0.182254
1.78649 12.35 0.638078 0.226725
1.78649 12.4 0.522825 0.286979
1.78649 12.45 0.399837 0.346039
1.78649 12.5 0.268353 0.419626
1.78649 12.55 0.127403 0.492787
1.78649 12.6 -0.0239734 0.569963
1.78649 12.65 -0.186589 0.657652
1.78649 12.7 -0.361059 0.762142
1.78649 12.75 -0.547819 0.860763
1.78649 12.8 -0.747151 0.968144
1.78649 12.85 -0.95924 1.07603
1.78649 12.9 -1.1842 1.19203
1.78649 12.95 -1.42211 1.32234
1.78649 13 -1.67303 1.44828
1.78649 13.05 -1.93701 1.57753
1.78649 13.1 -2.21408 1.70903
1.78649 13.15 -2.50429 1.8118
1.78649 13.2 -2.80766 1.95878
1.78649 13.25 -3.12425 2.11542
1.78649 13.3 -3.45407 2.22388
1.78649 13.35 -3.79716 2.40258
1.78649 13.4 -4.15356 2.55747
1.78649 13.45 -4.52329 2.70388
1.78649 13.5 -4.90638 2.86595
1.78649 13.55 -5.30285 3.00736
1.78649 13.6 -5.71273 3.15889
1.78649 13.65 -6.13603 3.33984
1.78649 13.7 -6.57279 3.40495
1.78649 13.75 -7.02302 3.58633
1.78649 13.8 -7.48674 3.77233
1.78649 13.85 -7.96396 3.91132
1.78649 13.9 -8.4547 4.1546
1.78649 13.95 -8.95898 4.56807
1.78649 14 -9.47681 4.97753
1.78649 14.05 -10.0082 5.5704
1.78649 14.1 -10.5532 5.70834
1.78649 14.15 -11.1119 5.60244
1.78649 14.2 -11.6844 5.5241
1.78649 14.25 -12.2701 5.6618
1.78649 14.3 -12.8619 5.62376
1.78649 14.35 -13.4571 5.67397
1.78649 14.4 -14.0523 5.65483
1.78649 14.45 0 5.49102
1.78649 14.5 0 5.50804
1.78649 14.55 0 5.51821
1.78649 14.6 0 5.59588
1.78649 14.65 0 5.52674
1.78649 14.7 0 5.44183
1.78649 14.75 0 5.3323
1.78649 14.8 0 5.28258
1.78649 14.85 0 5.26455
1.78649 14.9 0 5.185
1.78649 14.95 0 4.91509
1.78649 15 0 4.80062
1.80302 10 -3.19323 0.211461
1.80302 10.05 -3.07891 0.206391
1.80302 10.1 -2.96458 0.199287
1.80302 10.15 -2.85026 0.192101
1.80302 10.2 -2.73595 0.183701
1.80302 10.25 -2.62163 0.176958
1.80302 10.3 -2.50733 0.169694
1.80302 10.35 -2.39303 0.163449
1.80302 10.4 -2.27874 0.156588
1.80302 10.45 -2.16446 0.149453
1.80302 10.5 -2.0502 0.14726
1.80302 10.55 -1.93595 0.142636
1.80302 10.6 -1.82172 0.139609
1.80302 10.65 -1.7075 0.136509
1.80302 10.7 -1.59328 0.133675
1.80302 10.75 -1.47901 0.134347
1.80302 10.8 -1.36461 0.133463
1.80302 10.85 -1.24989 0.134661
1.80302 10.9 -1.13451 0.132445
1.80302 10.95 -1.01794 0.132974
1.80302 11 -0.899308 0.13007
1.80302 11.05 -0.777453 0.130501
1.80302 11.1 -0.650939 0.128492
1.80302 11.15 -0.518316 0.123021
1.80302 11.2 -0.378542 0.118651
1.80302 11.25 -0.231471 0.113844
1.80302 11.3 -0.0782012 0.111027
1.80302 11.35 0.0789162 0.108276
1.80302 11.4 0.236635 0.106172
1.80302 11.45 0.391338 0.108548
1.80302 11.5 0.539508 0.115629
1.80302 11.55 0.678016 0.113387
1.80302 11.6 0.804237 0.120271
1.80302 11.65 0.916038 0.125388
1.80302 11.7 1.01172 0.12963
1.80302 11.75 1.08995 0.126485
1.80302 11.8 1.14975 0.125726
1.80302 11.85 1.1904 0.123807
1.80302 11.9 1.21156 0.123903
1.80302 11.95 1.21321 0.129173
1.80302 12 1.19572 0.135003
1.80302 12.05 1.15993 0.133384
1.80302 12.1 1.10711 0.131278
1.80302 12.15 1.03895 0.128239
1.80302 12.2 0.957423 0.133866
1.80302 12.25 0.864564 0.155274
1.80302 12.3 0.762144 0.184295
1.80302 12.35 0.651392 0.231657
1.80302 12.4 0.532815 0.29464
1.80302 12.45 0.406218 0.354108
1.80302 12.5 0.270886 0.435759
1.80302 12.55 0.125851 0.511206
1.80302 12.6 -0.0298766 0.585942
1.80302 12.65 -0.19715 0.694521
1.80302 12.7 -0.376629 0.796992
1.80302 12.75 -0.56878 0.907109
1.80302 12.8 -0.773915 1.01405
1.80302 12.85 -0.992232 1.12751
1.80302 12.9 -1.22386 1.24181
1.80302 12.95 -1.46888 1.36723
1.80302 13 -1.72736 1.50058
1.80302 13.05 -1.99934 1.64078
1.80302 13.1 -2.28487 1.73968
1.80302 13.15 -2.58398 1.89706
1.80302 13.2 -2.89672 1.99887
1.80302 13.25 -3.22311 2.15033
1.80302 13.3 -3.5632 2.31281
1.80302 13.35 -3.91701 2.48365
