#1+z Log10(Mass/Msun@50%Quenched) Err+ Err-
5.86138 16 0 0
5.91562 16 0 0
5.97035 16 0 0
6.0256 16 0 0
6.08135 16 0 0
6.13762 16 0 0
6.19441 16 0 0
6.25173 16 0 0
6.30957 16 0 0
6.36796 16 0 0
6.42688 16 0 0
6.48634 16 0 0
6.54636 16 0 0
6.60693 16 0 0
6.66807 16 0 0
6.72977 16 0 0
6.79204 16 0 0
6.85488 16 0 0
6.91831 16 0 0
6.98232 16 0 0
7.04693 16 0 0
7.11214 16 0 0
7.17794 16 0 0
7.24436 16 0 0
7.31139 16 0 0
7.37904 16 0 0
7.44732 16 0 0
7.51623 16 0 0
7.58578 16 0 0
7.65597 16 0 0
7.72681 16 0 0
7.7983 16 0 0
7.87046 16 0 0
7.94328 16 0 0
8.01678 16 0 0
8.09096 16 0 0
8.16582 16 0 0
8.24138 16 0 0
8.31764 16 0 0
8.3946 16 0 0
8.47227 16 0 0
8.55067 16 0 0
8.62979 16 0 0
8.70964 16 0 0
8.79023 16 0 0
8.87156 16 0 0
8.95365 16 0 0
9.03649 16 0 0
9.12011 16 0 0
9.2045 16 0 0
9.28966 16 0 0
9.37562 16 0 0
9.46237 16 0 0
9.54993 16 0 0
9.63829 16 0 0
9.72747 16 0 0
9.81748 16 0 0
9.90832 16 0 0
10 16 0 0
10.0925 16 0 0
10.1859 16 0 0
10.2802 16 0 0
10.3753 16 0 0
10.4713 16 0 0
10.5682 16 0 0
10.666 16 0 0
10.7647 16 0 0
10.8643 16 0 0
10.9648 16 0 0
11.0662 16 0 0
11.1686 16 0 0
11.272 16 0 0
11.3763 16 0 0
11.4815 16 0 0
11.5878 16 0 0
11.695 16 0 0
11.8032 16 0 0
11.9124 16 0 0
12.0226 16 0 0
12.1339 16 0 0
12.2462 16 0 0
12.3595 16 0 0
12.4738 16 0 0
12.5893 16 0 0
12.7057 16 0 0
12.8233 16 0 0
12.942 16 0 0
13.0617 16 0 0
13.1826 16 0 0
13.3045 16 0 0
13.4276 16 0 0
13.5519 16 0 0
13.6773 16 0 0
13.8038 16 0 0
13.9316 16 0 0
14.0605 16 0 0
14.1906 16 0 0
14.3219 16 0 0
14.4544 16 0 0
14.5881 16 0 0
14.7231 16 0 0
14.8594 16 0 0
14.9968 16 0 0
15.1356 16 0 0
15.2757 16 0 0
15.417 16 0 0
15.5597 16 0 0
15.7036 16 0 0
