#1+z Log10(Mass/Msun) Star-Forming-Fraction One-sigma-uncertainty
1.01859 12.7 0.324929 0.0767641
1.01859 12.75 0.311821 0.0784387
1.01859 12.8 0.298915 0.0801436
1.01859 12.85 0.286228 0.0816523
1.01859 12.9 0.273774 0.0829871
1.01859 12.95 0.261567 0.0842145
1.01859 13 0.249622 0.0854511
1.01859 13.05 0.237951 0.0860437
1.01859 13.1 0.226565 0.0859449
1.01859 13.15 0.215473 0.0856368
1.01859 13.2 0.204685 0.08527
1.01859 13.25 0.194208 0.0850687
1.01859 13.3 0.184049 0.0845128
1.01859 13.35 0.174214 0.0841877
1.01859 13.4 0.164707 0.0838023
1.01859 13.45 0.15553 0.082858
1.01859 13.5 0.146686 0.0816183
1.01859 13.55 0.138176 0.0802033
1.01859 13.6 0.129999 0.0786498
1.01859 13.65 0.122156 0.0769716
1.01859 13.7 0.114643 0.0751824
1.01859 13.75 0.107457 0.0732956
1.01859 13.8 0.100596 0.0713166
1.01859 13.85 0.0940536 0.0692818
1.01859 13.9 0.0878254 0.0671804
1.01859 13.95 0.0819053 0.0649264
1.01859 14 0.0762865 0.0625933
1.01859 14.05 0.070962 0.060487
1.01859 14.1 0.065924 0.0584189
1.01859 14.15 0.0611643 0.0561924
1.01859 14.2 0.0566745 0.0539705
1.01859 14.25 0.0524458 0.0517112
1.01859 14.3 0.048469 0.0495265
1.01859 14.35 0.0447349 0.0474503
1.01859 14.4 0.041234 0.0452533
1.01859 14.45 0.0379568 0.0432584
1.01859 14.5 0.0348937 0.0412279
1.01859 14.55 0.032035 0.0392461
1.01859 14.6 0.0293713 0.03729
1.01859 14.65 0.0268929 0.035389
1.01859 14.7 0.0245906 0.0335519
1.01859 14.75 0.0224551 0.0317577
1.01859 14.8 0.0204774 0.0300499
1.01859 14.85 0.0186485 0.0284151
1.01859 14.9 0.0169599 0.0267887
1.01859 14.95 0.0154032 0.0252536
1.01859 15 0.0139703 0.0237835
1.02802 10 0.870813 0.0661179
1.02802 10.05 0.867811 0.0645409
1.02802 10.1 0.864591 0.0631976
1.02802 10.15 0.861143 0.0621175
1.02802 10.2 0.857455 0.0606759
1.02802 10.25 0.853518 0.0586229
1.02802 10.3 0.849322 0.0569357
1.02802 10.35 0.844856 0.0560383
1.02802 10.4 0.840112 0.0544683
1.02802 10.45 0.835079 0.0531533
1.02802 10.5 0.829749 0.0511148
1.02802 10.55 0.824113 0.050182
1.02802 10.6 0.818163 0.0490517
1.02802 10.65 0.811893 0.0472421
1.02802 10.7 0.805294 0.0461368
1.02802 10.75 0.798362 0.0448239
1.02802 10.8 0.79109 0.0437502
1.02802 10.85 0.783476 0.042084
1.02802 10.9 0.775514 0.0417697
1.02802 10.95 0.767203 0.0408284
1.02802 11 0.758541 0.0392639
1.02802 11.05 0.749529 0.0380935
1.02802 11.1 0.740166 0.0372866
1.02802 11.15 0.730455 0.0362095
1.02802 11.2 0.720399 0.0344063
1.02802 11.25 0.710002 0.0334057
1.02802 11.3 0.699271 0.0325034
1.02802 11.35 0.688211 0.0314044
1.02802 11.4 0.676832 0.0308088
1.02802 11.45 0.665144 0.0298869
1.02802 11.5 0.653155 0.0291261
1.02802 11.55 0.64088 0.0281043
1.02802 11.6 0.628331 0.0283555
1.02802 11.65 0.615523 0.0283084
1.02802 11.7 0.60247 0.0287099
1.02802 11.75 0.589191 0.0299237
1.02802 11.8 0.575702 0.0317664
1.02802 11.85 0.562023 0.032941
1.02802 11.9 0.548172 0.0346449
1.02802 11.95 0.53417 0.0365965
1.02802 12 0.520039 0.0397075
1.02802 12.05 0.5058 0.0416093
1.02802 12.1 0.491475 0.0440038
1.02802 12.15 0.477087 0.0467253
1.02802 12.2 0.462658 0.0499109
1.02802 12.25 0.448212 0.0524961
1.02802 12.3 0.433772 0.0559564
1.02802 12.35 0.419361 0.0583856
1.02802 12.4 0.405002 0.0619092
1.02802 12.45 0.390718 0.0656404
1.02802 12.5 0.376531 0.0686908
1.02802 12.55 0.362463 0.0708758
1.02802 12.6 0.348536 0.0734138
1.02802 12.65 0.334771 0.0752615
1.02802 12.7 0.321186 0.0766058
1.02802 12.75 0.307802 0.0785254
1.02802 12.8 0.294636 0.0797291
1.02802 12.85 0.281706 0.0815403
1.02802 12.9 0.269028 0.0831803
1.02802 12.95 0.256617 0.0844402
1.02802 13 0.244487 0.085471
1.02802 13.05 0.23265 0.085747
1.02802 13.1 0.221118 0.0852082
1.02802 13.15 0.209901 0.084896
1.02802 13.2 0.199008 0.0848563
1.02802 13.25 0.188446 0.0845475
1.02802 13.3 0.178223 0.0840734
1.02802 13.35 0.168342 0.0838261
1.02802 13.4 0.158809 0.0827832
1.02802 13.45 0.149624 0.081525
1.02802 13.5 0.140791 0.0800795
1.02802 13.55 0.132308 0.0785812
1.02802 13.6 0.124176 0.0767277
1.02802 13.65 0.116391 0.0751384
1.02802 13.7 0.108952 0.0732858
1.02802 13.75 0.101854 0.0712237
1.02802 13.8 0.0950928 0.069247
1.02802 13.85 0.0886623 0.0671284
1.02802 13.9 0.0825563 0.064792
1.02802 13.95 0.0767678 0.0624042
1.02802 14 0.071289 0.0601254
1.02802 14.05 0.0661117 0.0577878
1.02802 14.1 0.0612271 0.0556149
1.02802 14.15 0.0566261 0.0534456
1.02802 14.2 0.0522991 0.0512838
1.02802 14.25 0.0482364 0.0490347
1.02802 14.3 0.044428 0.0468772
1.02802 14.35 0.0408636 0.0447503
1.02802 14.4 0.037533 0.042662
1.02802 14.45 0.0344258 0.0406479
1.02802 14.5 0.0315317 0.0386833
1.02802 14.55 0.0288404 0.0367547
1.02802 14.6 0.0263417 0.0348563
1.02802 14.65 0.0240256 0.033043
1.02802 14.7 0.0218821 0.0312976
1.02802 14.75 0.0199016 0.0295987
1.02802 14.8 0.0180746 0.0278649
1.02802 14.85 0.0163919 0.0262744
1.02802 14.9 0.0148446 0.024748
1.02802 14.95 0.0134241 0.0232856
1.02802 15 0.0121221 0.0218888
1.03753 10 0.875508 0.0658511
1.03753 10.05 0.872631 0.0640058
1.03753 10.1 0.869535 0.0624907
1.03753 10.15 0.866209 0.0613135
1.03753 10.2 0.862641 0.0602573
1.03753 10.25 0.858821 0.0585633
1.03753 10.3 0.854737 0.056628
1.03753 10.35 0.850378 0.0549463
1.03753 10.4 0.845734 0.0538248
1.03753 10.45 0.840794 0.0525958
1.03753 10.5 0.835549 0.0511679
1.03753 10.55 0.829988 0.0493629
1.03753 10.6 0.824104 0.0484228
1.03753 10.65 0.817887 0.0470944
1.03753 10.7 0.81133 0.0455117
1.03753 10.75 0.804426 0.0446384
1.03753 10.8 0.797168 0.0430154
1.03753 10.85 0.789552 0.0419006
1.03753 10.9 0.781573 0.041667
1.03753 10.95 0.773228 0.0401552
1.03753 11 0.764515 0.0383997
1.03753 11.05 0.755433 0.0373018
1.03753 11.1 0.745982 0.0362465
1.03753 11.15 0.736164 0.0350618
1.03753 11.2 0.725981 0.033282
1.03753 11.25 0.715438 0.0324754
1.03753 11.3 0.704541 0.031429
1.03753 11.35 0.693297 0.0303659
1.03753 11.4 0.681713 0.0298123
1.03753 11.45 0.669801 0.0291576
1.03753 11.5 0.65757 0.0284714
1.03753 11.55 0.645035 0.0274018
1.03753 11.6 0.632208 0.027479
1.03753 11.65 0.619106 0.02743
1.03753 11.7 0.605744 0.0278924
1.03753 11.75 0.592141 0.029541
1.03753 11.8 0.578316 0.0307604
1.03753 11.85 0.564288 0.0321656
1.03753 11.9 0.550078 0.0337628
1.03753 11.95 0.535709 0.0358972
1.03753 12 0.521203 0.0388264
1.03753 12.05 0.506583 0.0413046
1.03753 12.1 0.491874 0.0433089
1.03753 12.15 0.477099 0.0459707
1.03753 12.2 0.462284 0.0494652
1.03753 12.25 0.447453 0.0522514
1.03753 12.3 0.432631 0.0557571
1.03753 12.35 0.417843 0.0584523
1.03753 12.4 0.403114 0.0620771
1.03753 12.45 0.388469 0.0654787
1.03753 12.5 0.37393 0.0684307
1.03753 12.55 0.359523 0.0710472
1.03753 12.6 0.34527 0.0726303
1.03753 12.65 0.331192 0.0750006
1.03753 12.7 0.317311 0.0769505
1.03753 12.75 0.303648 0.0782772
1.03753 12.8 0.290221 0.0799436
1.03753 12.85 0.277049 0.0820651
1.03753 12.9 0.264148 0.0835998
1.03753 12.95 0.251535 0.084592
1.03753 13 0.239223 0.0851087
1.03753 13.05 0.227226 0.0850117
1.03753 13.1 0.215555 0.0847045
1.03753 13.15 0.204221 0.0846475
1.03753 13.2 0.193231 0.08458
1.03753 13.25 0.182595 0.0842117
1.03753 13.3 0.172317 0.0839405
1.03753 13.35 0.162403 0.0827
1.03753 13.4 0.152855 0.0811545
1.03753 13.45 0.143676 0.0797837
1.03753 13.5 0.134866 0.0784437
1.03753 13.55 0.126425 0.0768974
1.03753 13.6 0.11835 0.0751442
1.03753 13.65 0.110639 0.0733144
1.03753 13.7 0.103288 0.0713998
1.03753 13.75 0.0962912 0.0692706
1.03753 13.8 0.0896436 0.0670962
