#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 1.23027e+10 2.22578e+09 1.23027e+10 -22.5 -22
-21.75 6.7785e+09 3.11995e+09 6.03913e+09 -22 -21.5
-21.25 4.30272e+09 1.5932e+09 2.60976e+09 -21.5 -21
-20.75 1.57463e+09 1.045e+09 7.41489e+08 -21 -20.5
-20.25 7.43586e+08 4.11647e+08 3.17773e+08 -20.5 -20
-19.75 3.26751e+08 1.64529e+08 1.21203e+08 -20 -19.5
-19.25 1.60605e+08 6.62244e+07 5.47733e+07 -19.5 -19
-18.75 7.87277e+07 2.83282e+07 2.30866e+07 -19 -18.5
-18.25 3.8967e+07 1.18334e+07 8.63048e+06 -18.5 -18
-17.75 1.98979e+07 5.35547e+06 3.3105e+06 -18 -17.5
-17.25 1.04689e+07 2.58033e+06 66924 -17.5 -17
