#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 0 0 0 -22.5 -22
-21.75 0 0 0 -22 -21.5
-21.25 3.38845e+09 2.28634e+08 3.38845e+09 -21.5 -21
-20.75 1.40711e+09 1.22316e+09 1.40711e+09 -21 -20.5
-20.25 6.66124e+08 4.43051e+08 4.62155e+08 -20.5 -20
-19.75 2.52492e+08 2.5376e+08 1.37606e+08 -20 -19.5
-19.25 1.14555e+08 9.36993e+07 4.86163e+07 -19.5 -19
-18.75 4.95868e+07 4.14965e+07 8.32362e+06 -19 -18.5
-18.25 2.61535e+07 1.00994e+07 239758 -18.5 -18
-17.75 1.63695e+07 209911 73309 -18 -17.5
-17.25 1.02846e+07 71284 21365 -17.5 -17
