#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 0 0 0 -22.5 -22
-21.75 0 0 0 -22 -21.5
-21.25 0 0 0 -21.5 -21
-20.75 0 3.09029e+08 0 -21 -20.5
-20.25 3.09029e+08 2.28002e+08 3.09029e+08 -20.5 -20
-19.75 2.81838e+08 1.37438e+08 2.81838e+08 -20 -19.5
-19.25 7.99333e+07 1.24241e+08 7.99333e+07 -19.5 -19
-18.75 4.13305e+07 3.81023e+07 592496 -19 -18.5
-18.25 2.591e+07 7.9744e+06 172926 -18.5 -18
-17.75 1.62561e+07 241989 25503 -18 -17.5
-17.25 1.02446e+07 59800 7050 -17.5 -17
