#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 2.99979e+11 0 -23.5 -23
-22.75 1.11617e+11 1.63121e+10 2.90104e+10 -23 -22.5
-22.25 5.5674e+10 6.48158e+09 1.09906e+10 -22.5 -22
-21.75 2.56904e+10 1.81263e+09 5.8304e+09 -22 -21.5
-21.25 1.05627e+10 7.24011e+08 1.88412e+09 -21.5 -21
-20.75 4.73814e+09 3.43773e+08 7.74682e+08 -21 -20.5
-20.25 2.22962e+09 1.80891e+08 3.38032e+08 -20.5 -20
-19.75 1.10894e+09 1.21382e+08 1.50464e+08 -20 -19.5
-19.25 5.80701e+08 7.9566e+07 7.2688e+07 -19.5 -19
-18.75 3.18252e+08 4.51852e+07 3.78006e+07 -19 -18.5
-18.25 1.79428e+08 3.24916e+07 2.1155e+07 -18.5 -18
-17.75 1.0422e+08 2.05709e+07 1.38722e+07 -18 -17.5
-17.25 6.14777e+07 1.39667e+07 8.3536e+06 -17.5 -17
