#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 0 0 0 -22.5 -22
-21.75 0 0 0 -22 -21.5
-21.25 0 4.15241e+08 0 -21.5 -21
-20.75 7.87158e+08 2.39437e+08 7.87158e+08 -21 -20.5
-20.25 5.30884e+08 3.28301e+08 5.30884e+08 -20.5 -20
-19.75 2.28361e+08 2.93417e+08 1.26031e+08 -20 -19.5
-19.25 9.57724e+07 1.08208e+08 3.07692e+07 -19.5 -19
-18.75 4.15567e+07 4.42867e+07 594656 -19 -18.5
-18.25 2.59317e+07 6.67643e+06 152756 -18.5 -18
-17.75 1.62682e+07 184515 26664 -18 -17.5
-17.25 1.0248e+07 50126 7098 -17.5 -17
