#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 1.41254e+10 1.04481e+08 1.41254e+10 -22.5 -22
-21.75 6.85096e+09 5.45173e+09 6.85096e+09 -22 -21.5
-21.25 3.49906e+09 2.14836e+09 2.17673e+09 -21.5 -21
-20.75 1.63804e+09 9.0008e+08 9.43133e+08 -21 -20.5
-20.25 6.77478e+08 4.54074e+08 3.38345e+08 -20.5 -20
-19.75 2.96782e+08 1.80074e+08 1.28269e+08 -20 -19.5
-19.25 1.38015e+08 7.14056e+07 5.16924e+07 -19.5 -19
-18.75 6.36728e+07 3.1728e+07 2.01063e+07 -19 -18.5
-18.25 3.0586e+07 1.15612e+07 4.3987e+06 -18.5 -18
-17.75 1.65474e+07 3.49371e+06 122634 -18 -17.5
-17.25 1.03686e+07 82269 45211 -17.5 -17
