#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 2.45471e+10 0 -23 -22.5
-22.25 2.43565e+10 1.6102e+10 2.43565e+10 -22.5 -22
-21.75 9.607e+09 6.6111e+09 4.8229e+09 -22 -21.5
-21.25 3.91098e+09 2.11712e+09 1.70259e+09 -21.5 -21
-20.75 2.01817e+09 8.69363e+08 8.56429e+08 -21 -20.5
-20.25 8.23455e+08 3.20806e+08 2.95841e+08 -20.5 -20
-19.75 3.77677e+08 1.19273e+08 1.20782e+08 -20 -19.5
-19.25 1.87e+08 5.8603e+07 5.35795e+07 -19.5 -19
-18.75 9.04705e+07 2.59484e+07 2.12324e+07 -19 -18.5
-18.25 4.68189e+07 1.10238e+07 9.18625e+06 -18.5 -18
-17.75 2.47727e+07 4.96609e+06 3.92849e+06 -18 -17.5
-17.25 1.33963e+07 2.85501e+06 2.10825e+06 -17.5 -17
