#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 7.74642e+10 -1.26047e+10 7.74642e+10 -23 -22.5
-22.25 2.4882e+10 1.02758e+10 1.07546e+10 -22.5 -22
-21.75 1.12295e+10 4.85861e+09 4.54689e+09 -22 -21.5
-21.25 4.9149e+09 1.81622e+09 1.86793e+09 -21.5 -21
-20.75 2.0861e+09 6.48716e+08 6.86277e+08 -21 -20.5
-20.25 9.46403e+08 2.07948e+08 2.87789e+08 -20.5 -20
-19.75 4.36238e+08 1.09774e+08 1.16027e+08 -20 -19.5
-19.25 2.14056e+08 4.30219e+07 4.86919e+07 -19.5 -19
-18.75 1.08669e+08 2.27175e+07 2.09929e+07 -19 -18.5
-18.25 5.73565e+07 1.08955e+07 9.48777e+06 -18.5 -18
-17.75 3.1096e+07 6.1423e+06 4.56717e+06 -18 -17.5
-17.25 1.74222e+07 3.31801e+06 2.67436e+06 -17.5 -17
