#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 1.46877e+11 0 -23.5 -23
-22.75 6.16999e+10 5.09439e+10 2.66802e+10 -23 -22.5
-22.25 2.99323e+10 9.62609e+09 1.25263e+10 -22.5 -22
-21.75 1.3014e+10 3.95852e+09 3.99173e+09 -22 -21.5
-21.25 5.53226e+09 1.29951e+09 1.53376e+09 -21.5 -21
-20.75 2.42537e+09 3.68278e+08 6.27644e+08 -21 -20.5
-20.25 1.08309e+09 1.64735e+08 2.33699e+08 -20.5 -20
-19.75 5.26867e+08 7.92971e+07 1.01709e+08 -20 -19.5
-19.25 2.62218e+08 4.37254e+07 4.29934e+07 -19.5 -19
-18.75 1.36327e+08 2.42348e+07 2.18717e+07 -19 -18.5
-18.25 7.36262e+07 1.20813e+07 1.04822e+07 -18.5 -18
-17.75 4.09012e+07 7.16526e+06 5.87402e+06 -18 -17.5
-17.25 2.33921e+07 4.3161e+06 3.53904e+06 -17.5 -17
