#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 1.47911e+11 6.58853e+10 1.47911e+11 -23.5 -23
-22.75 8.6453e+10 2.31414e+10 4.31987e+10 -23 -22.5
-22.25 3.41227e+10 8.52378e+09 1.02107e+10 -22.5 -22
-21.75 1.56213e+10 2.34961e+09 4.13556e+09 -22 -21.5
-21.25 6.44468e+09 7.08434e+08 1.4016e+09 -21.5 -21
-20.75 2.73795e+09 2.67008e+08 5.46438e+08 -21 -20.5
-20.25 1.26965e+09 1.18211e+08 2.11823e+08 -20.5 -20
-19.75 6.15878e+08 7.04486e+07 8.48506e+07 -20 -19.5
-19.25 3.11739e+08 4.35381e+07 4.106e+07 -19.5 -19
-18.75 1.6491e+08 2.41123e+07 2.14346e+07 -19 -18.5
-18.25 9.04417e+07 1.55114e+07 1.19824e+07 -18.5 -18
-17.75 5.07275e+07 9.2878e+06 6.84282e+06 -18 -17.5
-17.25 2.91191e+07 5.44582e+06 4.81743e+06 -17.5 -17
