#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 1.45981e+11 9.89367e+10 8.93067e+10 -23.5 -23
-22.75 9.61662e+10 2.54494e+10 3.38279e+10 -23 -22.5
-22.25 4.39772e+10 6.13237e+09 1.04453e+10 -22.5 -22
-21.75 1.87548e+10 1.51724e+09 3.92078e+09 -22 -21.5
-21.25 7.83266e+09 6.9691e+08 1.41579e+09 -21.5 -21
-20.75 3.46011e+09 2.59287e+08 5.41159e+08 -21 -20.5
-20.25 1.63669e+09 1.26902e+08 2.21499e+08 -20.5 -20
-19.75 8.01665e+08 8.51058e+07 1.05702e+08 -20 -19.5
-19.25 4.13704e+08 5.70814e+07 4.80604e+07 -19.5 -19
-18.75 2.23227e+08 3.38731e+07 2.85564e+07 -19 -18.5
-18.25 1.23943e+08 2.1346e+07 1.65475e+07 -18.5 -18
-17.75 7.05336e+07 1.31692e+07 1.00152e+07 -18 -17.5
-17.25 4.07893e+07 8.06808e+06 6.80673e+06 -17.5 -17
