#Total_Obs_CSFR: total observed cosmic star formation rate (Msun/yr/Mpc^3)
#Total_Obs_CSFR_UV: total observed cosmic star formation rate (Msun/yr/Mpc^3) for galaxies with M_1500 < -17
#True_CSFR: total true cosmic star formation rate (Msun/yr/Mpc^3)
#Scale Total_Obs_CSFR Err+ Err- Total_Obs_CSFR_UV Err+ Err- True_CSFR Err+ Err-
0.25306 0.069969 0.00655002 0.00149236 0.0668886 0.00670142 0.0015928 0.0771857 0.0212167 0.016256
0.258123 0.074557 0.00740069 0.00161682 0.0713746 0.00726805 0.00152437 0.0792426 0.0214128 0.0164101
0.263185 0.0792665 0.00805939 0.00165038 0.0759878 0.00781415 0.00169416 0.0813397 0.0206704 0.0166543
0.268248 0.0841901 0.00873792 0.00215307 0.0808256 0.00833971 0.00209169 0.0836027 0.02062 0.0171639
0.27331 0.0891221 0.0100585 0.00235024 0.0856688 0.00967452 0.00230156 0.0858579 0.0222682 0.0175813
0.278373 0.0937579 0.0110538 0.00315767 0.0902267 0.0105091 0.00262931 0.0878566 0.0241201 0.0180042
0.283435 0.098183 0.0113453 0.00266231 0.0945609 0.0115498 0.00239824 0.089731 0.0259464 0.017966
0.288498 0.102512 0.0119623 0.00337591 0.098833 0.0118025 0.00278569 0.0916202 0.0264973 0.0183545
0.29356 0.1067 0.0122513 0.00380977 0.102963 0.012096 0.00347463 0.0935088 0.0268731 0.0187771
0.298623 0.11044 0.0128741 0.00408577 0.106649 0.0124082 0.00387632 0.0951519 0.0269881 0.0190857
0.303685 0.113903 0.013174 0.00451478 0.110071 0.0125477 0.00454955 0.0967225 0.0269822 0.0194807
0.308748 0.117059 0.0133357 0.00489846 0.113196 0.0127825 0.00477819 0.0982089 0.0271983 0.0197795
0.31381 0.120113 0.0130382 0.00534086 0.116226 0.0127463 0.00503332 0.0997888 0.0278931 0.0201806
0.318873 0.122731 0.0133701 0.00584728 0.118826 0.0129478 0.00537158 0.101187 0.0283048 0.0206322
0.323935 0.12491 0.0135599 0.0060824 0.121 0.013105 0.00567079 0.102405 0.0284448 0.0210993
0.328997 0.127158 0.0137885 0.00608409 0.123247 0.0133447 0.00580155 0.103856 0.0282596 0.0215135
0.33406 0.128536 0.0137135 0.00550619 0.12463 0.0133202 0.00531149 0.104767 0.0285814 0.0218301
0.339122 0.129905 0.0134842 0.0060394 0.126008 0.0130648 0.00592778 0.105832 0.0288631 0.0223201
0.344185 0.130945 0.0131348 0.00610032 0.127056 0.0130712 0.00574274 0.10678 0.0294257 0.0227283
0.349247 0.131559 0.0131503 0.00574484 0.127685 0.0128966 0.00532801 0.107521 0.0296131 0.0231125
0.35431 0.131497 0.0129512 0.0051883 0.127632 0.012682 0.00494002 0.107837 0.029734 0.023326
0.359372 0.131324 0.0131039 0.00481628 0.12749 0.0125089 0.00405126 0.108174 0.0297639 0.0236208
