#Model: 0.104160800000 1.830857660000 -0.278375930000 2.482630900000 2.060239220000 0.322896640000 -0.099136200000 0.696256730000 -6.783021920000 -0.740212860000 -0.243005030000 2.357406780000 -0.670161000000 0.032409440000 0.705463040000 0.078203160000 -1.313028390000 3.345707840000 -0.969087940000 -0.340795970000 1.677667720000 0.422031030000 3.105399340000 0.361458860000 2.955837030000 -0.110232830000 4.023850140000 2.321001140000 -0.161718440000 0.208850790000 0.446655700000 -1.141828020000 1.067118400000 0.102460660000 -0.229540280000 0.209918420000 0.070000000000 0.040711970000 -0.160329600000 -0.125858630000 0.332955620000 8.977376730000 -0.043766440000 0.426113490000 0.600463510000 0 356.934366097907
#Type Subtype Z1 Z2 step1 step2 SM1 SM2 smb1 smb2 R1 R2 Val Err_h Err_l Model_Val MV+ MV- Chi2 Chi2+ Chi2-
smf a 2.500000 3.000000 49 56 11.150000 11.350000 83 87 0.000000 0.000000 -4.102233e+00 0.170294 0.280179 -4.191635e+00 4.231370e-02 2.872471e-02 9.204019e-02 0.000000e+00 0.000000e+00
smf a 2.500000 3.000000 49 56 11.400000 11.600000 88 92 0.000000 0.000000 -4.692233e+00 0.310161 2.000025 -4.808286e+00 7.435582e-02 5.103515e-02 2.501591e-02 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 9.000000 9.200000 40 44 0.000000 0.000000 -8.920000e+00 0.280179 0.280179 -8.852774e+00 4.581452e-02 4.973204e-03 2.841190e-02 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 9.200000 9.400000 44 48 0.000000 0.000000 -8.940000e+00 0.280179 0.280179 -8.810647e+00 4.337981e-02 7.378752e-03 1.523314e-01 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 9.400000 9.600000 48 52 0.000000 0.000000 -8.840000e+00 0.280179 0.280179 -8.779751e+00 3.984979e-02 1.156857e-02 2.063698e-02 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 9.600000 9.800000 52 56 0.000000 0.000000 -8.860000e+00 0.280179 0.280179 -8.769083e+00 3.668591e-02 9.102313e-03 6.406604e-02 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 9.800000 10.000000 56 60 0.000000 0.000000 -8.820000e+00 0.280179 0.280179 -8.786185e+00 4.208924e-02 4.547248e-03 2.431222e-03 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 10.000000 10.200000 60 64 0.000000 0.000000 -8.870000e+00 0.280179 0.280179 -8.836249e+00 4.184043e-02 6.184343e-03 2.408816e-03 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 10.200000 10.400000 64 68 0.000000 0.000000 -8.940000e+00 0.280179 0.280179 -8.922152e+00 3.701580e-02 9.190909e-03 0.000000e+00 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 10.400000 10.600000 68 72 0.000000 0.000000 -9.040000e+00 0.280179 0.280179 -9.038897e+00 3.285287e-02 1.739118e-02 0.000000e+00 0.000000e+00 0.000000e+00
