#type: correlation
#pca: yes
#zlow: 0.090000
#zhigh: 0.120121
#ref: Behroozi+ 2016
#note: Errors increased by sqrt(2) to account for limited volume of Bolshoi-Planck.
a 11 13. 0.15849 0.25119 2.71540 0.036953400384809 0.036953400384809
s 11 13. 0.15849 0.25119 2.43516 0.120363716293574 0.120363716293574
q 11 13. 0.15849 0.25119 2.84476 0.0379433498784701 0.0379433498784701
a 11 13. 0.25119 0.39811 2.55104 0.0389615836433788 0.0389615836433788
s 11 13. 0.25119 0.39811 2.13532 0.10837118528465 0.10837118528465
q 11 13. 0.25119 0.39811 2.65483 0.0389050151008838 0.0389050151008838
a 11 13. 0.39811 0.63096 2.32237 0.0336017142419847 0.0336017142419847
s 11 13. 0.39811 0.63096 2.02108 0.0871014133065589 0.0871014133065589
q 11 13. 0.39811 0.63096 2.42225 0.0426526810411725 0.0426526810411725
a 11 13. 0.63096 1.00000 2.16139 0.0338421305475882 0.0338421305475882
s 11 13. 0.63096 1.00000 1.95495 0.0842729861818127 0.0842729861818127
q 11 13. 0.63096 1.00000 2.24083 0.0399091067301687 0.0399091067301687
a 11 13. 1.00000 1.58489 1.97667 0.0366139891298394 0.0366139891298394
s 11 13. 1.00000 1.58489 1.73978 0.0651528188185285 0.0651528188185285
q 11 13. 1.00000 1.58489 2.04554 0.0405172185619892 0.0405172185619892
a 11 13. 1.58489 2.51189 1.79799 0.0372221009616599 0.0372221009616599
s 11 13. 1.58489 2.51189 1.62931 0.0780787307786186 0.0780787307786186
q 11 13. 1.58489 2.51189 1.86600 0.03805648696346 0.03805648696346
a 11 13. 2.51189 3.98107 1.66377 0.0424546911424403 0.0424546911424403
s 11 13. 2.51189 3.98107 1.49833 0.07706049701371 0.07706049701371
q 11 13. 2.51189 3.98107 1.72838 0.0395838376108229 0.0395838376108229
a 11 13. 3.98107 6.30957 1.49852 0.0479418397644479 0.0479418397644479
s 11 13. 3.98107 6.30957 1.37177 0.070908668017387 0.070908668017387
q 11 13. 3.98107 6.30957 1.55148 0.0482671088837937 0.0482671088837937
a 11 13. 6.30957 10.00000 1.28823 0.0618859854894466 0.0618859854894466
s 11 13. 6.30957 10.00000 1.20753 0.0711773685942379 0.0711773685942379
q 11 13. 6.30957 10.00000 1.32413 0.0604859140626973 0.0604859140626973
