#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.0619105 0 8.625 8.875 90857
9.00 0 0.0986479 0 8.875 9.125 155685
9.25 1.55982e-06 0.0841911 0 9.125 9.375 641101
9.50 3.1832e-06 0.0610861 9.09486e-07 9.375 9.625 2.19904e+06
9.75 3.35635e-05 0.0714804 1.40605e-05 9.625 9.875 4.40955e+06
10.00 2.19182e-05 0.0645563 6.26407e-06 9.875 10.125 4.15179e+06
10.25 6.88892e-06 0.0609004 3.36742e-07 10.125 10.375 2.75805e+06
10.50 6.38733e-06 0.0629428 2.24412e-06 10.375 10.625 1.72216e+06
10.75 8.85788e-05 0.0636233 5.49719e-05 10.625 10.875 1.03862e+06
11.00 0.000632865 0.0616504 0.000352581 10.875 11.125 576742
11.25 0.00354612 0.0592857 0.00152568 11.125 11.375 315274
11.50 0.0153363 0.0601828 0.00425936 11.375 11.625 171749
11.75 0.0501646 0.0571158 0.00917183 11.625 11.875 92017
12.00 0.136393 0.0610675 0.0194497 11.875 12.125 48133
12.25 0.298798 0.0553178 0.0376686 12.125 12.375 24458
12.50 0.542246 0.079182 0.0624868 12.375 12.625 12013
12.75 0.765831 0.0889672 0.0914626 12.625 12.875 5543
13.00 0.90365 0.0483871 0.0772496 12.875 13.125 2356
13.25 0.961864 0.0127119 0.0509418 13.125 13.375 944
13.50 0.978261 0.00927806 0.0124224 13.375 13.625 322
13.75 0.975904 0.0120482 0.0120482 13.625 13.875 83
14.00 1 0 0 13.875 14.125 16
14.25 1 0 0 14.125 14.375 1
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
