#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00144213 0.0363982 0.00126574 0.0174599 0.150403 0.0150634 0.029084 0.198904 0.0252421 0.0329268 0.220045 0.0255094 0 0 0 7.2 7.4 513619 386929 126690 20011 1640 0
7.5 0.00199897 0.0375848 0.00180134 0.0208965 0.149163 0.0174701 0.0310157 0.196371 0.0263392 0.0454255 0.203791 0.0374647 0 0 0 7.4 7.6 400685 292150 108535 19474 1563 0
7.7 0.0030553 0.0367337 0.00273984 0.0245077 0.138853 0.0197455 0.040066 0.177772 0.0322893 0.0344101 0.204627 0.0254872 0 0 0 7.6 7.8 304690 218309 86381 17571 1424 0
7.9 0.00455999 0.0410819 0.00407662 0.0310247 0.129282 0.0241781 0.0462536 0.161415 0.0364152 0.0530179 0.199272 0.0413168 0 0 0 7.8 8 227804 163597 64207 15415 1226 0
8.1 0.00630201 0.0439192 0.00548577 0.0391451 0.128888 0.0290816 0.0571249 0.163023 0.0409092 0.087344 0.175973 0.0665971 0 0 0 8 8.2 168622 122818 45804 12744 1122 0
8.3 0.00899125 0.0454365 0.00758711 0.0511069 0.132542 0.0352963 0.0687179 0.162674 0.0455729 0.0931677 0.173011 0.059449 0 0 0 8.2 8.4 125243 92312 32931 10725 966 0
8.5 0.0126083 0.0471404 0.0099665 0.0611255 0.137893 0.0396036 0.080823 0.158244 0.0543261 0.115962 0.182568 0.0739328 0 0 0 8.4 8.6 91071 67971 23100 8797 733 0
8.7 0.0172782 0.0468664 0.0127766 0.0726699 0.147937 0.0432968 0.084438 0.168331 0.050063 0.131833 0.210048 0.077823 0 0 0 8.6 8.8 67737 51568 16169 6940 622 0
8.9 0.0235495 0.0464853 0.0160781 0.0970395 0.150441 0.0559832 0.100248 0.153429 0.0580685 0.159844 0.194407 0.0860576 0 0 0 8.8 9 49034 38090 10944 5247 513 0
9.1 0.0299797 0.0490744 0.0179744 0.121566 0.147765 0.0654236 0.107059 0.140341 0.0578745 0.2 0.172998 0.0902439 0 0 0 9 9.2 35654 28119 7535 3811 465 0
9.3 0.0402857 0.0498249 0.020897 0.135802 0.147433 0.0564021 0.101426 0.14457 0.0496607 0.233333 0.18124 0.0983936 0 0 0 9.2 9.4 25519 20578 4941 2524 360 0
9.5 0.0510513 0.051273 0.0206245 0.156541 0.147739 0.0623164 0.104594 0.132849 0.0436474 0.245098 0.173084 0.0987566 0 0 0 9.4 9.6 17998 14887 3111 1415 306 0
9.7 0.059249 0.0584215 0.0194054 0.171401 0.14254 0.0600989 0.0982587 0.112656 0.0456999 0.265823 0.180011 0.080478 0 0 0 9.6 9.8 12862 10785 2077 804 237 0
9.9 0.0736939 0.0571989 0.0240642 0.188988 0.140233 0.0646358 0.0803109 0.123957 0.0228396 0.337963 0.146573 0.124765 0 0 0 9.8 10 8943 7599 1344 386 216 0
10.1 0.0924385 0.053338 0.0243462 0.215205 0.135354 0.0660521 0.0722222 0.12398 0.0236111 0.28022 0.19907 0.0271334 0 0 0 10 10.2 6264 5409 855 180 182 0
10.3 0.104847 0.0594943 0.02185 0.256324 0.114855 0.0783577 0.109589 0.0877794 0.0641345 0.401316 0.113836 0.11473 0 0 0 10.2 10.4 4389 3796 593 73 152 0
10.5 0.115512 0.0592898 0.0169608 0.258929 0.125026 0.0675705 0.136364 0.113636 0.0454545 0.423423 0.10755 0.132514 0 0 0 10.4 10.6 3063 2727 336 22 111 0
10.7 0.135922 0.0623641 0.0201705 0.268421 0.115545 0.0655225 0.125 0.208333 0.0583333 0.453333 0.0835088 0.142989 0 0 0 10.6 10.8 1941 1751 190 16 75 0
10.9 0.163981 0.0494719 0.041941 0.300885 0.139975 0.115401 0.333333 0.166667 0.333333 0.318182 0.173882 0.0990037 0 0 0 10.8 11 1168 1055 113 3 66 0
11.1 0.170732 0.0613217 0.0390703 0.358491 0.150943 0.150943 0 0 0 0.342857 0.129365 0.142857 0 0 0 11 11.2 627 574 53 0 35 0
11.3 0.101382 0.153247 -0.00842144 0.266667 0.278788 0.1 0 0 0 0.181818 0.318182 0.0707071 0 0 0 11.2 11.4 232 217 15 0 11 0
11.5 0.111111 0.0934343 0.0125196 0.6 0.15 0.35 0 0 0 0.5 0.166667 0.5 0 0 0 11.4 11.6 77 72 5 0 4 0
11.7 0 0.272727 0 0 1 0 0 0 0 0 1 0 0 0 0 11.6 11.8 16 16 0 0 0 0
11.9 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 11.8 12 2 2 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
