#Peak halo mass range: 13.875 < log10(Mh/Msun) < 14.125
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 0 38 648
0.994717 0.342105 0.131579 0.240982 0.979938 0.0138117 0.00719553 38 648
0.987123 0.368421 0.0633971 0.19893 0.969136 0.0204008 0.00735235 38 648
0.979529 0.421053 0.0789474 0.230576 0.969136 0.0187061 0.0125467 38 648
0.971935 0.421053 0.0637959 0.190283 0.969136 0.0156897 0.0223439 38 648
0.964342 0.394737 0.134675 0.123904 0.969136 0.0158717 0.0221661 38 648
0.956748 0.394737 0.134675 0.100619 0.96142 0.021812 0.0193414 38 648
0.949154 0.447368 0.104356 0.114035 0.95216 0.0252151 0.0213913 38 648
0.941560 0.368421 0.194079 0.0154799 0.944444 0.0285714 0.0249453 38 648
0.933967 0.394737 0.196172 0.00764009 0.962963 0.0126095 0.0442513 38 648
0.926373 0.5 0.112245 0.1 0.959877 0.0118917 0.041051 38 648
0.918779 0.552632 0.106459 0.0910931 0.959877 0.0112919 0.03598 38 648
0.911185 0.552632 0.161654 0.0526316 0.959877 0.0111158 0.0342951 38 648
0.903592 0.578947 0.125598 0.0704728 0.967593 0.00450724 0.0400778 38 648
0.895998 0.5 0.22973 0.0294118 0.95216 0.0154821 0.0309483 38 648
0.888404 0.657895 0.105263 0.157895 0.953704 0.0146507 0.0351517 38 648
0.880810 0.710526 0.0773525 0.127193 0.955247 0.0113667 0.0379537 38 648
0.873217 0.789474 0.00362974 0.189474 0.96142 0.007379 0.0418966 38 648
0.865623 0.789474 0.0394737 0.189474 0.962963 0.00583345 0.040691 38 648
0.858029 0.789474 0.013805 0.170426 0.964506 0.00726205 0.0491348 38 648
0.850435 0.815789 0.0279605 0.149123 0.964506 0.0142496 0.0433315 38 648
0.842842 0.763158 0.0701754 0.120301 0.953704 0.0165786 0.0278923 38 648
0.835248 0.789474 0.083944 0.122807 0.966049 0.00708497 0.0360646 38 648
0.827654 0.894737 -0.00584793 0.22807 0.972222 0.00548953 0.0432192 38 648
0.820060 0.894737 0.00690252 0.240891 0.975309 0.00789744 0.0418671 38 648
0.812467 0.894737 -0.00140351 0.22807 0.975309 0.00689197 0.0412757 38 648
0.804873 0.894737 0 0.240891 0.978395 0.00502121 0.0415719 38 648
0.797279 0.921053 -0.0245009 0.254386 0.972222 0.0101778 0.0348176 38 648
0.789685 0.842105 0.051228 0.162105 0.983025 0.00161427 0.0359748 38 648
0.782092 0.894737 0.0124061 0.210526 0.978395 0.00578219 0.0369393 38 648
0.774498 0.868421 0.0315789 0.176113 0.973765 0.0104617 0.032589 38 648
0.766904 0.842105 0.0467836 0.154605 0.978395 0.00601041 0.0352813 38 648
0.759310 0.894737 -0.00140351 0.205848 0.978395 0.00578219 0.0353571 38 648
0.751717 0.894737 0.00848895 0.22807 0.975309 0.00856233 0.0259416 38 648
0.744123 0.868421 0.0464725 0.188421 0.983025 0.00159067 0.0340294 38 648
0.736529 0.894737 0.0183067 0.180451 0.981481 0.00508565 0.0234605 38 648
0.728935 0.894737 0.0100251 0.22807 0.979938 0.00460577 0.026625 38 648
0.721342 0.921053 -0.00555968 0.233553 0.979938 0.00769699 0.0182818 38 648
0.713748 0.894737 0.0118052 0.186404 0.975309 0.00817484 0.0213916 38 648
0.706154 0.894737 0.0131579 0.180451 0.978395 0.00890654 0.0180292 38 648
0.698560 0.894737 0.0197931 0.144737 0.976852 0.00886238 0.0134373 38 648
0.690967 0.894737 0.0187247 0.207237 0.979938 0.00504673 0.0163019 38 648
0.683373 0.921053 0.0116397 0.151822 0.983025 0.00635314 0.0120323 38 648
0.678310 0.921053 -0.00169778 0.151822 0.978395 0.007788 0.0135096 38 648
0.673248 0.947368 -0.0290011 0.197368 0.973765 0.00956792 0.0122862 38 648
0.668185 0.947368 -0.0237573 0.197368 0.976852 0.00961429 0.013999 38 648
0.663123 0.921053 0.00255847 0.171053 0.978395 0.0085544 0.010763 38 648
