#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0308561 0.0476388 0.0308561 8.625 8.875 26575
9.00 0.0465292 0.0695835 0.0465082 8.875 9.125 47540
9.25 0.0423792 0.0686351 0.0423481 9.125 9.375 225016
9.50 0.0355019 0.0574201 0.0353261 9.375 9.625 830180
9.75 0.0449564 0.0731524 0.0436377 9.625 9.875 2.32574e+06
10.00 0.0358501 0.0595941 0.0326596 9.875 10.125 3.52118e+06
10.25 0.0327128 0.054859 0.0262172 10.125 10.375 2.57816e+06
10.50 0.0315398 0.0493411 0.0182397 10.375 10.625 1.62642e+06
10.75 0.0362291 0.0468322 0.0109509 10.625 10.875 1.01084e+06
11.00 0.0511487 0.0424445 0.00231348 10.875 11.125 621560
11.25 0.0786096 0.0357194 -0.00467239 11.125 11.375 364739
11.50 0.130768 0.0290297 -0.00193386 11.375 11.625 213752
11.75 0.215421 0.0253269 0.00605094 11.625 11.875 124570
12.00 0.345793 0.0203866 0.0169463 11.875 12.125 72396
12.25 0.506085 0.0177271 0.0316365 12.125 12.375 41744
12.50 0.673737 0.023836 0.0534956 12.375 12.625 23524
12.75 0.810119 0.0264868 0.0634414 12.625 12.875 13440
13.00 0.903265 0.0176128 0.0546799 12.875 13.125 7381
13.25 0.950388 0.00781983 0.0446948 13.125 13.375 3991
13.50 0.971022 0.0049116 0.0318524 13.375 13.625 2036
13.75 0.982625 0.00474089 0.0309814 13.625 13.875 1036
14.00 0.978022 0.00870371 0.0195975 13.875 14.125 455
14.25 0.975369 0.00985223 0.0147783 14.125 14.375 203
14.50 0.976744 0 0.0232558 14.375 14.625 43
14.75 1 0 0.0666667 14.625 14.875 15
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
