#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.0644832 0 8.625 8.875 51936
9.00 2.16319e-05 0.100491 1.0816e-05 8.875 9.125 92456
9.25 7.10594e-06 0.0868227 2.36865e-06 9.125 9.375 422182
9.50 8.62823e-06 0.0653841 1.23261e-06 9.375 9.625 1.62258e+06
9.75 7.42349e-05 0.0750563 2.20047e-05 9.625 9.875 3.77181e+06
10.00 5.90348e-05 0.0664886 3.15601e-05 9.875 10.125 4.1501e+06
10.25 6.72039e-06 0.0599791 7.06818e-07 10.125 10.375 2.82722e+06
10.50 4.54295e-06 0.0601254 -1.10805e-06 10.375 10.625 1.76097e+06
10.75 1.74761e-05 0.0615373 -3.78363e-06 10.625 10.875 1.0872e+06
11.00 0.000130814 0.0602112 -4.20623e-05 10.875 11.125 626844
11.25 0.00120922 0.0595835 -0.00039443 11.125 11.375 352294
11.50 0.00892469 0.057827 0 11.375 11.625 197654
11.75 0.0435036 0.0605822 0.00269272 11.625 11.875 109968
12.00 0.151085 0.0600497 0.0231665 11.875 12.125 60648
12.25 0.404673 0.0458567 0.0381963 12.125 12.375 32488
12.50 0.723479 0.0919774 0.0999343 12.375 12.625 17109
12.75 0.912731 0.0462647 0.0897486 12.625 12.875 8617
13.00 0.968683 0.00581014 0.036299 12.875 13.125 4215
13.25 0.97614 0.00104839 0.00634664 13.125 13.375 1886
13.50 0.975672 0.00128043 0.00508398 13.375 13.625 781
13.75 0.971429 0.00714284 0.00714284 13.625 13.875 280
14.00 0.963855 0 0.0120482 13.875 14.125 83
14.25 1 0 0 14.125 14.375 14
14.50 1 0 0 14.375 14.625 1
14.75 1 0 0 14.625 14.875 1
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
