#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.00171127 0.0536113 0.00165315 8.625 8.875 309711
9.00 0.0025504 0.0682249 0.00242626 8.875 9.125 459143
9.25 0.00333742 0.0638215 0.00315895 9.125 9.375 1.17666e+06
9.50 0.00596113 0.0704078 0.0055271 9.375 9.625 2.14959e+06
9.75 0.00819933 0.0811664 0.00745255 9.625 9.875 2.11322e+06
10.00 0.01181 0.093401 0.01061 9.875 10.125 1.32498e+06
10.25 0.0200902 0.100565 0.0176534 10.125 10.375 682373
10.50 0.0254521 0.0973015 0.0214801 10.375 10.625 308737
10.75 0.0329922 0.103981 0.0266262 10.625 10.875 133486
11.00 0.0447538 0.110895 0.0341294 10.875 11.125 53381
11.25 0.0583883 0.114017 0.0426672 11.125 11.375 19867
11.50 0.0777692 0.109992 0.0560806 11.375 11.625 6455
11.75 0.107675 0.122032 0.0657095 11.625 11.875 1811
12.00 0.142857 0.106122 0.0714286 11.875 12.125 490
12.25 0.128205 0.141026 0.0384615 12.125 12.375 78
12.50 0.35 0.1 0.15 12.375 12.625 20
12.75 1 0 1 12.625 12.875 2
13.00 0 0 0 12.875 13.125 0
13.25 0 0 0 13.125 13.375 0
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
