#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0578125 0.0599085 0.057622 8.625 8.875 26240
9.00 0.0844949 0.0944115 0.0842153 8.875 9.125 46488
9.25 0.0694425 0.085929 0.069123 9.125 9.375 215934
9.50 0.0449554 0.0542153 0.0433861 9.375 9.625 777438
9.75 0.0671163 0.0793453 0.059095 9.625 9.875 2.15478e+06
10.00 0.0546698 0.065159 0.0407203 9.875 10.125 3.36206e+06
10.25 0.0501451 0.057749 0.0276456 10.125 10.375 2.50784e+06
10.50 0.0529452 0.052088 0.0184313 10.375 10.625 1.58947e+06
10.75 0.0660758 0.0445745 0.0105461 10.625 10.875 988274
11.00 0.0927775 0.037246 0.00500855 10.875 11.125 609814
11.25 0.130345 0.0283163 0.00398567 11.125 11.375 361656
11.50 0.187766 0.0232536 0.00712037 11.375 11.625 212818
11.75 0.26989 0.0185279 0.0137651 11.625 11.875 124810
12.00 0.373995 0.0178038 0.0198383 11.875 12.125 72771
12.25 0.494596 0.0221718 0.0352503 12.125 12.375 42099
12.50 0.631474 0.0346371 0.0525806 12.375 12.625 24172
12.75 0.751813 0.0416141 0.061142 12.625 12.875 13788
13.00 0.846651 0.037388 0.0622863 12.875 13.125 7734
13.25 0.900308 0.0286021 0.0567591 13.125 13.375 4223
13.50 0.951121 0.0107623 0.0482743 13.375 13.625 2230
13.75 0.974539 0.00351191 0.0387996 13.625 13.875 1139
14.00 0.97723 0.0056926 0.0325731 13.875 14.125 527
14.25 0.983264 0.00413132 0.0258168 14.125 14.375 239
14.50 0.952381 0.031746 0.047619 14.375 14.625 63
14.75 1 0 0.0384616 14.625 14.875 26
15.00 1 0 0 14.875 15.125 2
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
