#Peak halo mass range: 9.125 < log10(Mh/Msun) < 9.375
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 0 216830 37261
0.994717 0.027736 0.0212431 0.0174943 0.832828 0.0240612 0.0800264 216830 37261
0.987123 0.0402435 0.0319998 0.0257929 0.760125 0.0361339 0.120559 216830 37261
0.979529 0.0473735 0.0397493 0.0326452 0.698425 0.0462058 0.157285 216830 37261
0.971935 0.0515427 0.0450516 0.036875 0.63702 0.0597945 0.179417 216830 37261
0.964342 0.0432735 0.0371841 0.0317671 0.542068 0.0646802 0.187757 216830 37261
0.956748 0.0565789 0.0459318 0.0425266 0.533587 0.0621502 0.191926 216830 37261
0.949154 0.0434073 0.0388612 0.0335548 0.43928 0.0642393 0.186889 216830 37261
0.941560 0.0437163 0.0391955 0.0342532 0.402539 0.0569771 0.182431 216830 37261
0.933967 0.0431259 0.0382731 0.0344333 0.366281 0.0556349 0.184413 216830 37261
0.926373 0.0534843 0.0461571 0.043167 0.367033 0.0559947 0.192046 216830 37261
0.918779 0.0508002 0.0445988 0.0414906 0.329218 0.0558859 0.184421 216830 37261
0.911185 0.0482083 0.0428804 0.0404179 0.298167 0.0537834 0.178053 216830 37261
0.903592 0.0466494 0.0427387 0.039762 0.268484 0.0538056 0.169843 216830 37261
0.895998 0.045764 0.0420386 0.0400381 0.24535 0.0527692 0.16139 216830 37261
0.888404 0.0436794 0.040612 0.0387162 0.224363 0.0461673 0.155898 216830 37261
0.880810 0.0419084 0.0375168 0.037837 0.201417 0.0457183 0.145611 216830 37261
0.873217 0.0402989 0.0358492 0.0366643 0.181799 0.0423956 0.137522 216830 37261
0.865623 0.0380298 0.03515 0.0349825 0.158557 0.041798 0.124336 216830 37261
0.858029 0.0352211 0.0328935 0.0327799 0.147446 0.041665 0.119276 216830 37261
0.850435 0.0318129 0.0306244 0.0299067 0.13443 0.038886 0.112701 216830 37261
0.842842 0.0291749 0.028147 0.0278506 0.122729 0.0367188 0.105718 216830 37261
0.835248 0.026643 0.0257634 0.0256074 0.11304 0.0338578 0.101662 216830 37261
0.827654 0.0240188 0.0238451 0.0232936 0.101017 0.0344242 0.0924835 216830 37261
0.820060 0.0219342 0.0216112 0.0214789 0.0939588 0.0305629 0.0879027 216830 37261
0.812467 0.0195407 0.0203823 0.0192232 0.0822308 0.0309086 0.077551 216830 37261
0.804873 0.0183462 0.0189298 0.0181142 0.075575 0.0298935 0.0725469 216830 37261
0.797279 0.0165291 0.0169761 0.0163667 0.0670943 0.0278698 0.0650756 216830 37261
0.789685 0.0153623 0.0160779 0.0152466 0.0614047 0.0271396 0.0604651 216830 37261
0.782092 0.0138034 0.0142945 0.0137258 0.0550441 0.0245324 0.0544018 216830 37261
0.774498 0.0123461 0.0126962 0.0122974 0.0483347 0.0231852 0.0478178 216830 37261
0.766904 0.0112162 0.0118405 0.0111837 0.0421889 0.0232446 0.0420054 216830 37261
0.759310 0.00957432 0.0110792 0.00956179 0.0366335 0.021201 0.0365423 216830 37261
0.751717 0.00883642 0.0106033 0.00882018 0.0333324 0.0202554 0.0332101 216830 37261
0.744123 0.00756814 0.00930792 0.00756388 0.0291994 0.0181256 0.0291027 216830 37261
0.736529 0.00671033 0.00823269 0.00670625 0.025791 0.0169826 0.0256735 216830 37261
0.728935 0.00605544 0.00750039 0.00605544 0.0234562 0.0154617 0.0233823 216830 37261
0.721342 0.00434442 0.00578697 0.00434034 0.0176861 0.0141913 0.0176861 216830 37261
0.713748 0.00353272 0.00555511 0.00352864 0.0148949 0.0135388 0.0148949 216830 37261
0.706154 0.00308998 0.00476127 0.00308998 0.01256 0.011751 0.01256 216830 37261
0.698560 0.00332519 0.00511937 0.00332519 0.0121306 0.0121006 0.0121306 216830 37261
0.690967 0.00297929 0.00460013 0.00297929 0.0106546 0.0107249 0.0106546 216830 37261
0.683373 0.00221372 0.00355383 0.00221372 0.00789029 0.00932737 0.00789029 216830 37261
0.678310 0.00198773 0.00326174 0.00198773 0.00700464 0.00886084 0.00700464 216830 37261
0.673248 0.00170179 0.00295595 0.00170179 0.00598481 0.00854859 0.00598481 216830 37261
0.668185 0.00185399 0.00334651 0.00185399 0.00622635 0.00901613 0.00622635 216830 37261
0.663123 0.00130978 0.00274169 0.00130978 0.00526019 0.00722294 0.00526019 216830 37261
0.658060 0.00143892 0.00290271 0.00143892 0.00528703 0.00751278 0.00528703 216830 37261
0.652998 0.00111147 0.00235867 0.00111147 0.00373044 0.00652571 0.00373044 216830 37261
0.647935 0.00114375 0.00243025 0.00114375 0.00381096 0.0064818 0.00381096 216830 37261
0.642873 0.00101462 0.0023692 0.00101462 0.00364993 0.00634101 0.00364993 216830 37261
0.637810 0.000885486 0.00212693 0.000885486 0.00359625 0.00526077 0.00359625 216830 37261
0.632748 0.00070101 0.00191898 0.00070101 0.00273745 0.00520792 0.00273745 216830 37261
0.627685 0.000475027 0.00161031 0.000475027 0.00225437 0.00441018 0.00225437 216830 37261
0.622623 0.00048425 0.00165636 0.00048425 0.00225437 0.00456886 0.00225437 216830 37261
0.617560 0.000424296 0.00134057 0.000424296 0.00174445 0.00430184 0.00174445 216830 37261
0.612498 0.000364341 0.00142934 0.000364341 0.00152975 0.00410841 0.00152975 216830 37261
0.607435 0.000336669 0.00130343 0.000336669 0.0014224 0.0038745 0.0014224 216830 37261
0.602373 0.000258267 0.00115914 0.000258267 0.00115402 0.00338866 0.00115402 216830 37261
0.597310 0.000142969 0.000989137 0.000142969 0.000751456 0.00308015 0.000751456 216830 37261
0.592248 0.000166029 0.00100759 0.000166029 0.000778294 0.00300419 0.000778294 216830 37261
0.587185 0.000152193 0.000882512 0.000152193 0.000617267 0.00281977 0.000617267 216830 37261
0.582123 0.000124522 0.000838989 0.000124522 0.000509917 0.00261466 0.000509917 216830 37261
0.577060 8.76262e-05 0.000774919 8.76262e-05 0.000375728 0.00243074 0.000375728 216830 37261
0.571997 6.91786e-05 0.000724983 6.91786e-05 0.000295215 0.00232698 0.000295215 216830 37261
0.566935 3.68953e-05 0.000693634 3.68953e-05 0.000241539 0.0022232 0.000241539 216830 37261
0.561872 1.84476e-05 0.000618095 1.84476e-05 0.000161026 0.00205827 0.000161026 216830 37261
0.556810 0 0.000554957 0 8.05131e-05 0.00216015 8.05131e-05 216830 37261
0.551747 0 0.000483675 0 0 0.00188934 0 216830 37261
0.546685 0 0.00049482 0 0 0.00181075 0 216830 37261
0.541622 0 0.000441411 0 0 0.00152658 0 216830 37261
0.536560 0 0.000381419 0 0 0.00140001 0 216830 37261
0.531497 0 0.000351794 0 0 0.00128526 0 216830 37261
0.526435 0 0.000290205 0 0 0.00110648 0 216830 37261
0.521372 0 0.000275469 0 0 0.000947296 0 216830 37261
0.516310 0 0.000262755 0 0 0.000967561 0 216830 37261
0.511247 0 0.000243038 0 0 0.000792971 0 216830 37261
0.506185 0 0.000236958 0 0 0.00074224 0 216830 37261
0.501122 0 0.000204914 0 0 0.000693505 0 216830 37261
0.496060 0 0.000175874 0 0 0.000607287 0 216830 37261
0.490997 0 0.000133432 0 0 0.000504923 0 216830 37261
0.485935 0 0.000128667 0 0 0.000529677 0 216830 37261
0.480872 0 0.000116536 0 0 0.000412345 0 216830 37261
0.475810 0 9.65863e-05 0 0 0.000336776 0 216830 37261
0.470747 0 8.98457e-05 0 0 0.000293169 0 216830 37261
0.465685 0 7.65185e-05 0 0 0.000117343 0 216830 37261
0.460622 0 6.83954e-05 0 0 8.92857e-05 0 216830 37261
0.455560 0 6.78347e-05 0 0 7.24061e-05 0 216830 37261
0.450497 0 6.50352e-05 0 0 4.29904e-05 0 216830 37261
0.445435 0 5.49333e-05 0 0 3.79463e-05 0 216830 37261
0.440372 0 4.11444e-05 0 0 4.68933e-05 0 216830 37261
0.435310 0 4.43552e-05 0 0 6.26488e-05 0 216830 37261
0.430247 0 4.48644e-05 0 0 4.46429e-05 0 216830 37261
0.425185 0 4.54488e-05 0 0 2.02237e-05 0 216830 37261
0.420122 0 3.7163e-05 0 0 4.75647e-05 0 216830 37261
0.415060 0 2.8226e-05 0 0 4.52008e-05 0 216830 37261
0.409997 0 2.04049e-05 0 0 4.04866e-05 0 216830 37261
0.404935 0 2.44269e-05 0 0 1.72334e-05 0 216830 37261
0.399872 0 1.21351e-05 0 0 1.67633e-05 0 216830 37261
0.394810 0 8.53151e-06 0 0 1.46066e-05 0 216830 37261
0.389747 0 8.06458e-06 0 0 1.46066e-05 0 216830 37261
0.384685 0 4.87455e-06 0 0 0 0 216830 37261
0.379622 0 4.1994e-06 0 0 0 0 216830 37261
0.374560 0 4.10485e-06 0 0 1.33204e-05 0 216830 37261
0.369497 0 4.15716e-06 0 0 1.38706e-05 0 216830 37261
0.364435 0 0 0 0 0 0 216830 37261
0.359372 0 4.03569e-06 0 0 0 0 216830 37261
0.354310 0 4.01632e-06 0 0 0 0 216830 37261
0.349247 0 0 0 0 0 0 216830 37261
0.344185 0 0 0 0 1.58549e-05 0 216830 37261
0.339122 0 0 0 0 2.57579e-05 0 216830 37261
0.334060 0 0 0 0 1.73376e-05 0 216830 37261
0.328997 0 0 0 0 2.04315e-05 0 216830 37261
0.323935 0 0 0 0 0 0 216830 37261
0.318873 0 0 0 0 0 0 216830 37261
0.313810 0 0 0 0 0 0 216830 37261
0.308748 0 0 0 0 0 0 216830 37261
0.303685 0 0 0 0 0 0 216830 37261
0.298623 0 0 0 0 0 0 216830 37261
0.293560 0 0 0 0 0 0 216830 37261
0.288498 0 0 0 0 0 0 216830 37261
0.283435 0 4.06688e-06 0 0 0 0 216830 37261
0.278373 0 4.35591e-06 0 0 0 0 216830 37261
0.273310 0 4.31609e-06 0 0 0 0 216830 37261
0.268248 0 0 0 0 0 0 216830 37261
0.263185 0 0 0 0 0 0 216830 37261
0.258123 0 0 0 0 0 0 216830 37261
0.253060 0 0 0 0 0 0 216830 37261
0.247998 0 0 0 0 0 0 216830 37261
0.242935 0 0 0 0 0 0 216830 37261
0.237873 0 0 0 0 0 0 216830 37261
0.232810 0 0 0 0 0 0 216830 37261
0.227748 0 0 0 0 0 0 216830 37261
0.222685 0 0 0 0 0 0 216830 37261
0.217623 0 0 0 0 0 0 216830 37261
0.212560 0 0 0 0 0 0 216830 37261
0.207498 0 0 0 0 0 0 216830 37261
0.202435 0 0 0 0 0 0 216830 37261
0.197373 0 0 0 0 0 0 216830 37261
0.192310 0 0 0 0 0 0 216830 37261
0.187248 0 0 0 0 0 0 216830 37261
0.182185 0 0 0 0 0 0 216830 37261
0.177123 0 0 0 0 0 0 216830 37261
0.172060 0 0 0 0 0 0 216830 37261
0.166998 0 0 0 0 0 0 216830 37261
0.161935 0 0 0 0 0 0 216830 37261
0.156873 0 0 0 0 0 0 216830 37261
0.151810 0 0 0 0 0 0 216830 37261
0.146748 0 0 0 0 0 0 216830 37261
0.141685 0 0 0 0 0 0 216830 37261
0.136623 0 0 0 0 0 0 216830 37261
0.133248 0 0 0 0 0 0 216830 37261
0.129873 0 0 0 0 0 0 216830 37261
0.126498 0 0 0 0 0 0 216830 37261
0.123123 0 0 0 0 0 0 216830 37261
0.119748 0 0 0 0 0 0 216830 37261
0.116373 0 0 0 0 0 0 216830 37261
0.112998 0 0 0 0 0 0 216830 37261
0.109623 0 0 0 0 0 0 216830 37261
0.106248 0 0 0 0 0 0 216830 37261
0.102873 0 0 0 0 0 0 216830 37261
0.099498 0 0 0 0 0 0 216830 37261
0.096123 0 0 0 0 0 0 216830 37261
0.092748 0 0 0 0 0 0 216830 37261
0.089373 0 0 0 0 0 0 216830 37261
0.085998 0 0 0 0 0 0 216830 37261
0.082623 0 0 0 0 0 0 216830 37261
0.080373 0 0 0 0 0 0 216830 37261
0.078123 0 0 0 0 0 0 216830 37261
0.075873 0 0 0 0 0 0 216830 37261
0.073623 0 0 0 0 0 0 216830 37261
0.071373 0 0 0 0 0 0 216830 37261
0.069123 0 0 0 0 0 0 216830 37261
0.066873 0 0 0 0 0 0 216830 37261
0.064623 0 0 0 0 0 0 216830 37261
0.062373 0 0 0 0 0 0 216830 37261
0.060123 0 0 0 0 0 0 216830 37261
0.055623 0 0 0 0 0 0 216830 37261
