#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0729094 0.0630159 0.0677736 8.625 8.875 31738
9.00 0.117394 0.100475 0.108159 8.875 9.125 52839
9.25 0.104839 0.0999091 0.0939473 9.125 9.375 229799
9.50 0.0617916 0.0635388 0.0500069 9.375 9.625 755475
9.75 0.100698 0.0903508 0.0582287 9.625 9.875 2.0179e+06
10.00 0.0889691 0.0676891 0.039255 9.875 10.125 3.16475e+06
10.25 0.0899407 0.0578333 0.0296952 10.125 10.375 2.41726e+06
10.50 0.101301 0.0502488 0.0249069 10.375 10.625 1.54281e+06
10.75 0.125054 0.0442845 0.0224915 10.625 10.875 960017
11.00 0.161707 0.0367374 0.0189059 10.875 11.125 594105
11.25 0.204403 0.0277674 0.0187385 11.125 11.375 355656
11.50 0.257807 0.0215972 0.0196391 11.375 11.625 210599
11.75 0.324529 0.0165282 0.0236253 11.625 11.875 124451
12.00 0.407984 0.0177968 0.030962 11.875 12.125 72792
12.25 0.490941 0.0302614 0.0378308 12.125 12.375 42280
12.50 0.593399 0.0432434 0.049458 12.375 12.625 24572
12.75 0.689923 0.0442393 0.0564899 12.625 12.875 14290
13.00 0.766511 0.0509838 0.0641444 12.875 13.125 7949
13.25 0.826512 0.0457659 0.0651437 13.125 13.375 4496
13.50 0.88751 0.0354699 0.0656379 13.375 13.625 2418
13.75 0.924255 0.0249798 0.051674 13.625 13.875 1241
14.00 0.973641 0.00483596 0.0477759 13.875 14.125 607
14.25 0.986207 4.73857e-05 0.0482758 14.125 14.375 290
14.50 0.971154 0.0192308 0.0480769 14.375 14.625 104
14.75 1 0 0.025 14.625 14.875 40
15.00 1 0 0 14.875 15.125 3
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
