#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0117643 0.0689738 0.01173 8.625 8.875 29156
9.00 0.01677 0.0910999 0.0167509 8.875 9.125 52415
9.25 0.0120479 0.0794086 0.0120399 9.125 9.375 249255
9.50 0.00998565 0.0671462 0.00994442 9.375 9.625 994427
9.75 0.0116925 0.0798736 0.0114278 9.625 9.875 2.81761e+06
10.00 0.00911253 0.0695546 0.00891048 9.875 10.125 3.80586e+06
10.25 0.00764268 0.0638922 0.00748703 10.125 10.375 2.70546e+06
10.50 0.00689851 0.0595498 0.00648996 10.375 10.625 1.69414e+06
10.75 0.00701304 0.0598435 0.00513036 10.625 10.875 1.05232e+06
11.00 0.00847779 0.0612587 0.00161695 10.875 11.125 637548
11.25 0.0162165 0.0561605 -0.00538313 11.125 11.375 368144
11.50 0.0425809 0.0488904 -0.0104937 11.375 11.625 213100
11.75 0.113391 0.0470602 0 11.625 11.875 122990
12.00 0.265003 0.0399799 0.0111641 11.875 12.125 70154
12.25 0.505154 0.0265167 0.0331514 12.125 12.375 39873
12.50 0.752749 0.0423207 0.0709285 12.375 12.625 22192
12.75 0.905181 0.0289094 0.0627582 12.625 12.875 12160
13.00 0.961355 0.00894362 0.0318638 12.875 13.125 6495
13.25 0.967287 0.00770551 0.0133435 13.125 13.375 3332
13.50 0.968343 0.00804019 0.00447971 13.375 13.625 1611
13.75 0.976032 0.011984 0.00146705 13.625 13.875 751
14.00 0.976821 0.0165563 0 13.875 14.125 302
14.25 0.990826 0.00917429 0.0183486 14.125 14.375 109
14.50 1 0 0 14.375 14.625 21
14.75 1 0 0 14.625 14.875 4
15.00 1 0 0 14.875 15.125 1
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
