#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0 0.989432 0 0 1 0 0 0.983051 0 7.2 7.4 659590 32926 19712 4483
7.5 0 1 0 0.5 0.5 -0.166667 0 0.987952 0 7.4 7.6 532541 31684 17982 4069
7.7 0 1 -0.5 1 0 0.166667 1 0 1 7.6 7.8 435989 30919 16556 3682
7.9 1 0 0.252204 0 1 -0.4 0.5 0.5 0 7.8 8 357848 29801 14903 3258
8.1 1 0 0.154404 1 -0.00151747 0.210526 1 0 0.333333 8 8.2 285460 25981 13010 2831
8.3 0.9 0.0868421 0.0615542 0.818182 0.160985 0.0192172 0.5 0.5 -0.0454546 8.2 8.4 225066 22328 11179 2339
8.5 0.941176 0.0409664 0.100085 0.842105 0.125637 0.0535807 0.428571 0.508929 -0.207792 8.4 8.6 176326 18697 9128 1965
8.7 0.951219 0.0402335 0.0861592 0.795918 0.150748 0.0181406 0.75 0.166667 0.0733083 8.6 8.8 137027 15554 7519 1568
8.9 0.875 0.0925456 0.0280055 0.731959 0.196311 -0.0266619 0.736842 0.165936 0.0249777 8.8 9 106272 12289 6423 1398
9.1 0.923077 0.0398861 0.0369842 0.757576 0.152681 0.0335799 0.666667 0.199475 0.00757575 9 9.2 82598 9359 5365 1064
9.3 0.913793 0.0394394 0.0320363 0.714286 0.151455 0.047619 0.648148 0.202319 -0.00957 9.2 9.4 64628 6534 4256 911
9.5 0.916168 0.0331994 0.0370693 0.680171 0.150887 0.026816 0.670588 0.185412 0.0367854 9.4 9.6 52261 4538 3955 782
9.7 0.946565 0.00884908 0.0445549 0.698676 0.0954812 0.0498744 0.645161 0.164895 0.0583844 9.6 9.8 44055 2823 3410 715
9.9 0.923913 0.0163854 0.04699 0.69409 0.0655155 0.0658418 0.641975 0.102518 0.0778727 9.8 10 38469 1721 3331 616
10.1 0.911765 0.0224459 0.0438402 0.686256 0.0471272 0.0542786 0.618026 0.0541734 0.0663016 10 10.2 35176 900 3174 586
10.3 0.888889 0.0416667 0.0336257 0.671654 0.0310491 0.0405856 0.586957 0.0385117 0.0828581 10.2 10.4 32415 466 2913 591
10.5 0.888889 0.03003 0.062802 0.684505 0.0262072 0.0418819 0.586806 0.0275735 0.077648 10.4 10.6 28138 214 2512 530
10.7 0.931035 0.0254872 0.0872845 0.666364 0.0242392 0.0314156 0.513514 0.0546683 0.0309738 10.6 10.8 22551 103 2014 442
10.9 1 0 0 0.71108 -0.00210559 0.0594406 0.458042 0.0176135 0.0407191 10.8 11 15161 22 1254 388
11.1 1 0 0 0.718101 0.00689912 0.0523184 0.411043 0.0245399 0.0397855 11 11.2 7783 5 572 214
11.3 1 0 0 0.78 0.0106977 0.0900775 0.4 0.00789472 0.105128 11.2 11.4 2838 2 167 91
11.5 0 0 0 0.823529 0.0653595 0.127877 0.333333 0.0666667 0.115942 11.4 11.6 729 1 23 23
11.7 0 0 0 0 1 0 0.5 0.5 0.5 11.6 11.8 101 0 0 2
11.9 0 0 0 0 0 0 1 0 1 11.8 12 8 0 0 1
12.1 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
